Channel_c2,Channel_c3,Channel_cebp,Channel_dapi,Count_nuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06ConvertObjectsToImage,ExecutionTime_07SaveImages,ExecutionTime_08MeasureObjectIntensity,ExecutionTime_09MeasureObjectSizeShape,FileName_c2,FileName_c3,FileName_cebp,FileName_dapi,Frame_c2,Frame_c3,Frame_cebp,Frame_dapi,Group_Index,Group_Number,Height_c2,Height_c3,Height_cebp,Height_dapi,ImageNumber,ImageSet_ImageSet,MD5Digest_c2,MD5Digest_c3,MD5Digest_cebp,MD5Digest_dapi,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_Well,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06ConvertObjectsToImage,ModuleError_07SaveImages,ModuleError_08MeasureObjectIntensity,ModuleError_09MeasureObjectSizeShape,PathName_c2,PathName_c3,PathName_cebp,PathName_dapi,ProcessingStatus,Scaling_c2,Scaling_c3,Scaling_cebp,Scaling_dapi,Series_c2,Series_c3,Series_cebp,Series_dapi,Threshold_FinalThreshold_nuclei,Threshold_OrigThreshold_nuclei,Threshold_SumOfEntropies_nuclei,Threshold_WeightedVariance_nuclei,URL_c2,URL_c3,URL_cebp,URL_dapi,Width_c2,Width_c3,Width_cebp,Width_dapi
-1,-1,-1,-1,22.0,0,0,4.140625,0.0,11.359375,2.015625,0.53125,5.265625,5.71875,stad436-xy01_c2_mid.tif,stad436-xy01_c3_mid.tif,stad436-xy01_c1_mid.tif,stad436-xy01_c4_mid.tif,0,0,0,0,1,1,2048,2048,2048,2048,1,eLsnNWttG63BadazHa3BKQi80TqcgsAbrcUpDEATKgYgqCi0AwDh7K5Q,b839c52065e389b847455af9214a6a4b,7c1a4bbd85a206f6a3acae5d53c0b0a5,2a8017784b1d3a02a036b9ddadb3d5c3,d21ef0a49ceec4145458e29d8dc5d83b,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.02627362695056945,0.02627362695056945,-12.358229956352659,0.14471013411942715,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy01_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy01_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy01_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy01_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,25.0,0,0,7.40625,0.0,14.078125,3.5,1.015625,11.921875,15.0625,stad436-xy02_c2_mid.tif,stad436-xy02_c3_mid.tif,stad436-xy02_c1_mid.tif,stad436-xy02_c4_mid.tif,0,0,0,0,2,1,2048,2048,2048,2048,2,eLsnNWttG63BadOzNRqtwSkKvNE6nILAG63FKQxAEyoGIKgotAMA6rauVA==,56d70825185451bd8ccdbbf7b3f7c13b,dc9434a3919461d5510921745b0daf67,c4f12eb449c0de712267a808db36ecb1,4513c8c0ff24f996f8d91216ede1cdab,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.027391249663196504,0.027391249663196504,-12.265255428038074,0.13593581964582285,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy02_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy02_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy02_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy02_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,19.0,0,0,10.546875,0.0,16.8125,4.84375,1.171875,14.09375,12.5,stad436-xy03_c2_mid.tif,stad436-xy03_c3_mid.tif,stad436-xy03_c1_mid.tif,stad436-xy03_c4_mid.tif,0,0,0,0,3,1,2048,2048,2048,2048,3,eLsnNWttG63BadOzNR6twSkKvNE6nILAG63FKQxAEyoGIKgotAMA84CuWA==,fb43debf017e81eaa70eb8cb10b1f592,5689d85bdf36e34e3db61f0f6dd0d90d,3ca1a9cafac09eb42fefd783b70bf320,cc46ef77f8ef7da0f44d5fe1898e843a,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.028070977074094117,0.028070977074094117,-12.089809472844781,0.12494640649337593,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy03_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy03_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy03_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy03_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,21.0,0,0,7.03125,0.0,14.9375,3.9375,1.0,13.0,14.96875,stad436-xy04_c2_mid.tif,stad436-xy04_c3_mid.tif,stad436-xy04_c1_mid.tif,stad436-xy04_c4_mid.tif,0,0,0,0,4,1,2048,2048,2048,2048,4,eLsnNWttG63BadOzNRmtwSkKvNE6nILAG63FKQxAEyoGIKgotAMA/EquXA==,4975702603f2980abb2ec3122181d118,836bdb76848bbf7fd48848fda64be4ce,84b1107120939bfe2ca82dcabe97a3ea,5dbb56e40d7bfc8f20a63ec68d1b41c3,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.026774018886499107,0.026774018886499107,-12.1482297392206,0.1318022589728788,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy04_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy04_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy04_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy04_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,25.0,0,0,7.5625,0.0,14.828125,4.34375,1.078125,12.890625,15.5625,stad436-xy05_c2_mid.tif,stad436-xy05_c3_mid.tif,stad436-xy05_c1_mid.tif,stad436-xy05_c4_mid.tif,0,0,0,0,5,1,2048,2048,2048,2048,5,eLsnNWttG63BadOzNR2twSkKvNE6nILAG63FKQxAEyoGIKgotAMABSOuYA==,4417ffeb5013094e157de8b6b63dbb56,5cecd036d1bd55347bbd250f49282a54,8ffa0757a5a9088138a2977969b2ac5f,78823a81e17bc9a09acdb603af61f162,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.03064925770740956,0.03064925770740956,-12.277417996885461,0.13646442924823576,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy05_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy05_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy05_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy05_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,15.0,0,0,8.296875,0.0,14.5,3.875,1.125,9.9375,13.453125,stad436-xy06_c2_mid.tif,stad436-xy06_c3_mid.tif,stad436-xy06_c1_mid.tif,stad436-xy06_c4_mid.tif,0,0,0,0,6,1,2048,2048,2048,2048,6,eLsnNWttG63BadOzNRutwSkKvNE6nILAG63FKQxAEyoGIKgotAMADe2uZA==,9969075e20bb0e52fbe756666eff5e55,5547cc8ce20990d9de69a0b4d15e2c0a,ff99ac77bd287eb92f09b34b82cff812,c5382cc62665d6c9b9293b3276ee1805,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.02694634295767173,0.02694634295767173,-12.389939748038548,0.08512710156755146,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy06_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy06_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy06_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy06_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,23.0,0,0,7.234375,0.0,14.625,3.875,1.03125,13.3125,15.9375,stad436-xy07_c2_mid.tif,stad436-xy07_c3_mid.tif,stad436-xy07_c1_mid.tif,stad436-xy07_c4_mid.tif,0,0,0,0,7,1,2048,2048,2048,2048,7,eLsnNWttG63BadOzNR+twSkKvNE6nILAG63FKQxAEyoGIKgotAMAFreuaA==,6e214d4b7dab8a2f42965605af2ca13b,811c5ea8660be2bffcd794c9fac5a4b8,ec47f4c186f15a6b36ea593cf641aee2,98d27286d5e9e9ea5c760f9e56d82d4b,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.02962552080862224,0.02962552080862224,-12.36828999555854,0.15690891140256688,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy07_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy07_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy07_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy07_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,19.0,0,0,7.8125,0.0,16.46875,4.203125,1.109375,12.609375,15.1875,stad436-xy08_c2_mid.tif,stad436-xy08_c3_mid.tif,stad436-xy08_c1_mid.tif,stad436-xy08_c4_mid.tif,0,0,0,0,8,1,2048,2048,2048,2048,8,eLsnNWttG63BadOztRitwSkKvNE6nILAG63FKQxAEyoGIKgotAMAH4GubA==,86ac4680fa790888fd295ac945b6452a,c738ed2f06285220271db7e4ecce3b36,56f2176ca1ee7c24c56ccf58e1ca53cc,4e1e5b0f0697b2b100f891e4ac5761d8,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.029302045702934265,0.029302045702934265,-12.301174579699804,0.1268808453195901,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy08_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy08_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy08_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy08_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,28.0,0,0,21.296875,0.0,15.984375,4.5625,1.125,13.578125,15.078125,stad436-xy09_c2_mid.tif,stad436-xy09_c3_mid.tif,stad436-xy09_c1_mid.tif,stad436-xy09_c4_mid.tif,0,0,0,0,9,1,2048,2048,2048,2048,9,eLsnNWttG63BadOztRytwSkKvNE6nILAG63FKQxAEyoGIKgotAMAKEuucA==,688d626001e15ffea409d84503bb2a39,81def091438598e929b000f6b7a59ce4,aa322999ab5ea2d5b0dd8e3881efcee4,114a1e25d205a1d018e6e28270e880bf,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.031994679011404514,0.031994679011404514,-12.357387356805459,0.16109872301470057,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy09_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy09_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy09_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy09_c4_mid.tif,2044,2044,2044,2044
-1,-1,-1,-1,24.0,0,0,7.859375,0.0,14.625,4.09375,1.0,12.1875,14.265625,stad436-xy10_c2_mid.tif,stad436-xy10_c3_mid.tif,stad436-xy10_c1_mid.tif,stad436-xy10_c4_mid.tif,0,0,0,0,10,1,2048,2048,2048,2048,10,eLsnNWttG63BadKzNTQYrcEpCrzROpyCwButxSkMQBMqBiCoKLQDAOHwrlA=,0653fea04109c04576478741be7627ee,300b6b1f4b82ddc0f92432499a1a2c11,e6f097d7abe1aa4277a84480ffacbbb4,c2e238ba9ec93fe9f063ca5f784740bf,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Z:\TAD\200217_adipogen_z_stacks\mid_slice_dcts,Done,65535,65535,65535,65535,0,0,0,0,0.027361667482182384,0.027361667482182384,-12.295183100576043,0.11296295596506051,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy10_c2_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy10_c3_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy10_c1_mid.tif,file:///Z:/TAD/200217_adipogen_z_stacks/mid_slice_dcts/stad436-xy10_c4_mid.tif,2044,2044,2044,2044
