Channel_cebp,Channel_dapi,Channel_ppar,Count_nuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06ConvertObjectsToImage,ExecutionTime_07SaveImages,ExecutionTime_08MeasureObjectIntensity,ExecutionTime_09MeasureObjectSizeShape,FileName_cebp,FileName_dapi,FileName_ppar,Frame_cebp,Frame_dapi,Frame_ppar,Group_Index,Group_Number,Height_cebp,Height_dapi,Height_ppar,ImageNumber,ImageSet_ImageSet,MD5Digest_cebp,MD5Digest_dapi,MD5Digest_ppar,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_Well,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06ConvertObjectsToImage,ModuleError_07SaveImages,ModuleError_08MeasureObjectIntensity,ModuleError_09MeasureObjectSizeShape,PathName_cebp,PathName_dapi,PathName_ppar,ProcessingStatus,Scaling_cebp,Scaling_dapi,Scaling_ppar,Series_cebp,Series_dapi,Series_ppar,Threshold_FinalThreshold_nuclei,Threshold_OrigThreshold_nuclei,Threshold_SumOfEntropies_nuclei,Threshold_WeightedVariance_nuclei,URL_cebp,URL_dapi,URL_ppar,Width_cebp,Width_dapi,Width_ppar
-1,-1,-1,32.0,0,0,3.609375,0,11.34375,2.53125,0.53125,5.78125,8.734375,img1801-c2.tiff,img1801-c1.tiff,img1801-c3.tiff,0,0,0,1,1,2048,2048,2048,1,eLtRSwkLG61eRnt1gyLURmscckLNmFqhBsqwdgBaGj4p,3abb3366ffb889b97b7729f7f925a978,6b84ec802ed8af2bf8beb45babab43db,f4b323d65a867145300fed4d04e92bb2,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.05258518969640136,0.05258518969640136,-12.634222721957133,0.45082636654987596,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1801-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1801-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1801-c3.tiff,2048,2048,2048
-1,-1,-1,30.0,0,0,5.546875,0,16.109375,5.984375,1.34375,12.90625,21.015625,img1803-c2.tiff,img1803-c1.tiff,img1803-c3.tiff,0,0,0,2,1,2048,2048,2048,2,eLtRSwkLG61eqNvUNh6tXsgLtdEah5xQM6ZWqIEyrB0AY0Q+Lw==,fc7a8b70532c7a9b1dc9dd71fb458633,e5957307545e8b852093833bab4918a3,3d08f0710684bba5fd0c82bfef9935ac,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.05132125096861273,0.05132125096861273,-12.779871813729716,0.4476444807784077,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1803-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1803-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1803-c3.tiff,2048,2048,2048
-1,-1,-1,34.0,0,0,5.4375,0,16.28125,7.171875,1.625,12.734375,20.09375,img1804-c2.tiff,img1804-c1.tiff,img1804-c3.tiff,0,0,0,3,1,2048,2048,2048,3,eLtRSwkLG61eqNvUNhmtXsgLtdEah5xQM6ZWqIEyrB0AZ9k+Mg==,dfede0f14f9202b6063ae11ec236668c,36093552d0d4ad8c1b121c2043c98aba,332a7c915bec0d24c891e086c6ae6e99,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.0515653210459277,0.0515653210459277,-12.6247431025633,0.31943619367083187,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1804-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1804-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1804-c3.tiff,2048,2048,2048
-1,-1,-1,32.0,0,0,5.375,0,17.9375,6.859375,1.5625,11.796875,19.796875,img1805-c2.tiff,img1805-c1.tiff,img1805-c3.tiff,0,0,0,4,1,2048,2048,2048,4,eLtRSwkLG61eqNvUNh2tXsgLtdEah5xQM6ZWqIEyrB0AbG4+NQ==,087baa7b228c44ea87d6b2a817fa289d,b3a8e84f13592e76261598fdd8b02d78,fcc099190ddcfa119121b88ffe21de93,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.05610483011696488,0.05610483011696488,-12.865420697813681,0.3990094019508206,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1805-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1805-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1805-c3.tiff,2048,2048,2048
-1,-1,-1,32.0,0,0,5.8125,0,18.234375,6.59375,1.0625,11.703125,19.28125,img1806-c2.tiff,img1806-c1.tiff,img1806-c3.tiff,0,0,0,5,1,2048,2048,2048,5,eLtRSwkLG61eqNvUHq1eyAy10RqHnFAzplaogTKsHQBxAz44,4f5ba83ed4c8a070519247db52da7553,480d1b39ad85827c56f4baf4cdef2cd4,30f44d84ce5d440d16c7e91b81cee3d8,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.052163865650072694,0.052163865650072694,-12.329335793936918,0.5255665716560856,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1806-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1806-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1806-c3.tiff,2048,2048,2048
-1,-1,-1,22.0,0,0,5.515625,0,18.328125,6.640625,1.125,10.609375,19.1875,img181-c2.tiff,img181-c1.tiff,img181-c3.tiff,0,0,0,6,1,2048,2048,2048,6,eLtRSwkLG61eRhuGgyDQRusbMgLNmFqBBsqtdgAm8z2Z,f795a83dededf8ead9d1dcc9eb11d40f,2658b1e8db6155657d2dc7baa8f7f466,9f4f62805e852a804cf67fdaa2f92d77,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.0598508509574458,0.0598508509574458,-12.643930953398506,0.5837601855564003,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img181-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img181-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img181-c3.tiff,2048,2048,2048
-1,-1,-1,23.0,0,0,6.0,0,16.640625,6.5,1.640625,9.5,19.265625,img1811-c2.tiff,img1811-c1.tiff,img1811-c3.tiff,0,0,0,7,1,2048,2048,2048,7,eLtRSwkLG61eqFu9jLYMyQy10RqHnFAzplaogTKsHQBesj4s,6f31a2c885d2abae92331f450e632348,36483bd23cdef76a2b2eab8fba872128,677382ab2cf0abb88eb56f182f0af55a,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.04272726026829332,0.04272726026829332,-12.713778053015458,0.3549320101277331,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1811-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1811-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1811-c3.tiff,2048,2048,2048
-1,-1,-1,27.0,0,0,6.234375,0,18.5,6.484375,0.921875,11.453125,19.71875,img1813-c2.tiff,img1813-c1.tiff,img1813-c3.tiff,0,0,0,8,1,2048,2048,2048,8,eLtRSwkLG61eqFu9GI9WL+SF2miNQ06oGVMr1EAZ1g4AZ9w+Mg==,21e592ec312f7ed9d71a0e3a704a88b4,b9eb2989cad9b4abbcab6fd0f1643ec1,e7798e0725e2d98e712426cede0b44ea,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.059440488810651004,0.059440488810651004,-12.598296987365725,0.467837128196237,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1813-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1813-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1813-c3.tiff,2048,2048,2048
-1,-1,-1,30.0,0,0,5.265625,0,17.734375,6.28125,1.375,10.484375,18.78125,img1814-c2.tiff,img1814-c1.tiff,img1814-c3.tiff,0,0,0,9,1,2048,2048,2048,9,eLtRSwkLG61eqFu9mIxWL+SF2miNQ06oGVMr1EAZ1g4AbHE+NQ==,be1349cb31e368564a6addf0573326ba,13d60acee9d5d4a5e7a5ea1fe8186011,5fd3a1446af1455045268f83d1f6de39,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.04851226008031517,0.04851226008031517,-12.435120632307978,0.4794382122527452,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1814-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1814-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1814-c3.tiff,2048,2048,2048
-1,-1,-1,39.0,0,0,5.6875,0,17.484375,6.578125,1.359375,14.5,19.5,img1815-c2.tiff,img1815-c1.tiff,img1815-c3.tiff,0,0,0,10,1,2048,2048,2048,10,eLtRSwkLG61eqFu9mI5WL+SF2miNQ06oGVMr1EAZ1g4AcQY+OA==,24d7fecf50deb250df5ac792e8f5baca,a66be3a81c4ccf7724904e48e4a44f7c,8c3b749213e3b47b3d4d6e01afe783aa,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\8kb_imgs,Done,65535,65535,65535,0,0,0,0.06573189399205148,0.06573189399205148,-12.37730316391516,0.39486356476240303,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1815-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1815-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/8kb_imgs/img1815-c3.tiff,2048,2048,2048
