,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number
465,17,1,9553,22.0,0.0,1.0,1.3366223970762778,0.8346723855660733,1.0,0.6390821514583891,0.4667971160518577,157.6677278395738,164.20109622045769,83.67795408588813,29.887083199109057,26.1725046566048,98.51875936057024,86.8349924289043,-21.189969611310524,507.1199999999991,0.9198844487241212,0.4474281781747037,0.07840547394059884,0.15236819553867298,0.07150256610585423,0.04857306746204778,0.021270487493730884,0.017525521278994247,0.04074023531164151,0.0220078781170607,0.012371155140498346,0.01922686238082491,0.012241749633493356,0.008183340340622298,0.019077341796719174,0.015240223449221216,0.021933840363910655,0.002154696385703757,0.00840094430846003,0.0055995415269496215,0.00227092233294312,0.002988822898387844,0.012364432687911923,0.008231080933589869,0.015957985223187234,0.008584755978581039,0.006426893598656999,0.009102850839416976,0.00285004268157047,0.00048624244556076375,0.0068680432301085215,23.78933400288224,21.917738653719425,3.120058009400964,1101.9911659359932,1129.8648365363479,135.45722243376076,0.10106431692838667,0.10626383125782013,0.013248645700514315,0.013885714113712309,0.013923861086368559,0.0009155413135886193,1.7225693804127131,2.5697251143700712,1.4903682081986502,0.13867399096488953,0.11654841154813765,0.017059586942195892,0.19497978687286374,0.18410010635852814,0.021637292578816414,0.10166382052513777,0.09366554980221976,0.013333581236756256,0.11535550779189713,0.11827330017129152,0.014179548040799829,0.11844053119421005,0.1165102645754814,0.014221408404409884,0.060807202011346824,0.06211947649717331,0.010116731747984886,0.060807202011346824,0.06211947649717331,0.009643701836466791,0.024801247122059944,0.017998988715114538,0.001507462717756869,0.022609238612783533,0.02124758749602943,0.0015170522880426946,0.13063248991966248,0.13394369184970856,0.015106432139873503,55.99856973223882,55.06605415665966,55.62085938243799,35.72623931728604,35.476978595759476,36.824983902342595,0.0,0.0,0.0,57.09316445095782,37.05631738720821,0,25.0,56.0,62.0,19.0,7.0,17.0,0.0,0.0,0.0,1
466,17,2,16542,1244.0,22.0,1.0,1.1651189482000683,0.8019639239396096,1.0,0.8447985291864563,0.7688967644118139,189.82417058716288,184.1765457380499,82.28000972289685,31.57680958393139,28.442925306655784,106.0,113.39573313862414,5.223810507443657,519.9539999999986,0.9885854299886452,0.6177917204314525,0.050981892569537966,0.16472084252894084,0.1053701584502253,0.03151477508137584,0.006178770103009426,0.004166384370170922,0.024808612667490938,0.02231569957250446,0.007994294679193565,0.011548572339863205,0.014336826678557587,0.008524457376767991,0.019751362521037825,0.004766508173302885,0.0031438283119689147,0.0172733801914006,0.010128969215639544,0.010214718851625918,0.008999202415607022,0.0071530622323784125,0.003851272744961862,0.011371039561008578,0.006938835073347025,0.005124761662979184,0.0027080798327429267,0.006091406843529948,0.004979965612270379,0.0018070914817410128,0.0031928655013158764,36.54699020832778,20.39482714608312,3.812268286943436,2634.5454048216347,1632.7404152043164,272.59165522176767,0.14544899761676788,0.08085756003856659,0.01437399908900261,0.011734187602996826,0.01774623990058899,0.0020141908898949623,1.7623189037377147,3.284795278858515,1.0526899694219627,0.13385213911533356,0.07040512561798096,0.014999618753790855,0.287113755941391,0.14607462286949158,0.03755245357751846,0.11751443796889957,0.0655782223346724,0.012258097385670212,0.1592640191525592,0.09870272126733867,0.016478760441407794,0.16308842599391934,0.0972304865717888,0.016372930258512497,0.10434119403362274,0.06152437627315521,0.010345617309212685,0.10434119403362274,0.06152437627315521,0.010025177150964735,0.005605432628601356,0.0015281668070882574,0.0008486558264743592,0.021377274877036317,0.020432667133996336,0.002742830286077945,0.17186236381530762,0.1166323348879814,0.018387122079730037,1248.8185598238433,1250.7820647382089,1248.6216015018722,46.442396912482174,46.10586003821413,47.13165205691641,0.0,0.0,0.0,1248.1520372385444,48.07381211461735,0,1286.0,1247.0,1303.0,43.0,2.0,49.0,0.0,0.0,0.0,2
467,17,3,14004,1722.0,0.0,1.0,1.4439188000848235,0.8994441882945369,1.0,0.7516908212560387,0.606457349070772,207.52213582575428,206.08736011701444,85.47514258543241,29.97739261625963,26.41968962724581,89.0,90.6945698039855,-0.5964740488334432,538.6799999999985,0.9765690376569036,0.4194938267584584,0.0853397779512954,0.13070667310778344,0.06906472638880443,0.07606920899831625,0.025866877848825583,0.00036944483153131117,0.0232071997713885,0.03154998259312061,0.02113730691774464,0.022529656291384426,0.014257461096259498,0.0013092224255838256,0.005223157746171867,0.014923218860773713,0.014889553075024391,0.007207681902789646,0.00042510986875999484,0.01293186389246515,0.006344277833521748,0.009074646284933315,0.011200094648597394,0.002308749176203672,0.0048530159470062464,0.008594776765184059,0.004302798296393338,0.0031075864853865897,0.0019498339829507976,0.0033032396133851377,0.0031820748761343205,19.778423819690946,19.661509130150076,3.7421073047444224,1544.1767314076426,1329.1022212095559,268.55391936004156,0.08734264224767685,0.0798352062702179,0.015304799191653728,0.02143892645835876,0.01297016441822052,0.003570610657334328,5.1442423304895755,2.4583291019623217,4.533801438628242,0.10034333169460297,0.08929579704999924,0.016342412680387497,0.2657358646392822,0.1732509285211563,0.04422064498066902,0.06867508270726022,0.06826912892413223,0.012993428141473688,0.11026683314821782,0.09490875615606656,0.019176943684664497,0.10643167793750764,0.0946059376001358,0.018570229411125183,0.043121997267007835,0.061158161610364914,0.009781032800674437,0.042069122195243835,0.061158161610364914,0.00939955748617649,0.014217978685573682,0.006507210945325022,0.0012568697238310089,0.034115321068993926,0.018741755833901357,0.004826719414640695,0.13028152287006378,0.10557717084884644,0.02243076264858246,1720.0341120032683,1725.4607639232559,1721.0329458296976,35.769407997553614,33.66557557178545,34.245575880931696,0.0,0.0,0.0,1725.1673093401887,36.10632676378178,0,1686.0,1728.0,1694.0,26.0,35.0,18.0,0.0,0.0,0.0,3
469,17,5,26192,1922.0,51.0,1.0,1.0651602040434125,0.661943839808323,1.0,0.8230266465560583,0.755762632906463,212.85066710508264,225.14439810930233,94.3716058992322,37.88677323157323,34.655446902326915,152.0,159.54294881541188,11.745637445339586,659.9279999999981,0.9783355744808012,0.6578948541271133,0.08906471866783164,0.1727513390824934,0.059224810525755824,0.024424720742808548,0.00891395224767582,0.03611959307328234,0.02795309989936251,0.011819749883769772,0.02644337379214766,0.021926773331139415,0.008478033466270815,0.003876393205668464,0.010238787954551002,0.005435644171815366,0.00880740740015324,0.011325194403048085,0.005872074601009089,0.008830582531194939,0.002096000909207564,0.004394944278638244,0.012142691130973686,0.0070767626560088,0.0053502739166323325,0.0023959281930866004,0.008165737736531177,0.005739081372750658,0.0014268372940994007,0.0024544846116191297,0.002670333045657013,27.79658206552267,27.684290930628773,5.95010304171592,4122.0697967894375,3596.9525311179464,807.1647543497384,0.08905164897441864,0.10481422394514084,0.020355535671114918,0.056778818368911736,0.0323338657617569,0.008911266922950745,8.525961706489653,1.2331724462713431,4.812141636881731,0.10154879093170166,0.0948653370141983,0.020309757441282272,0.3388418257236481,0.24428167939186096,0.0630960538983345,0.06812887761157517,0.0678536542417372,0.014583585886558628,0.1573789629195723,0.13733019743119831,0.030817224891178163,0.17027541995048526,0.13801784813404086,0.032593272626399994,0.04031433537602425,0.062134739011526115,0.011017014272511005,0.03920042887330055,0.062134739011526115,0.010391393676400185,0.014381179746518018,0.005362276917236293,0.0016995041057889099,0.0699628829796492,0.03881032137271586,0.010943979789722844,0.21420614421367645,0.16981765627861026,0.03942931443452835,1931.1076590404712,1927.1898461874584,1928.7853060634186,75.90215174716097,68.6172716684125,72.99814539882891,0.0,0.0,0.0,1926.034896151497,69.04948075748321,0,1966.0,1931.0,1938.0,110.0,51.0,82.0,0.0,0.0,0.0,5
470,17,6,85243,219.0,228.0,1.0,1.0658652693696178,0.6696539886021162,1.0,0.6495991586904835,0.6506218218965568,385.2999773584636,406.1182093922901,138.80922159568507,49.75326677419013,44.10215414239989,297.4519039183845,286.15198103591666,39.177451525066814,1283.127999999995,0.9662219602597959,0.6580576147252171,0.059657625620809826,0.18567872553397827,0.07018795015756273,0.013202182624106976,0.011114982804490107,0.03251679040269733,0.016246958789098345,0.0190810542756042,0.018663785896649902,0.02146903494250287,0.0041101638343514785,0.013641714991998313,0.02387463619673242,0.005577535694712432,0.008986025835535896,0.010646254502924104,0.00582838081221345,0.0032846141318511124,0.004540155186529477,0.0009965642839154846,0.0022961115432225897,0.005752197386278931,0.0040951675576564725,0.005842877612361849,0.004079175972847237,0.012569585795036812,0.003924683101980847,0.00979361959036946,0.002661730816864273,78.94471661746502,77.88834983855486,14.22250717226416,12466.411481324585,13396.92019982636,2539.567354986444,0.08744945377111435,0.10164034366607666,0.014038300141692163,0.038452737033367164,0.0482948049902916,0.00781261920928955,20.930027820826922,12.053468925311865,36.13958584319885,0.14026093482971191,0.11795224249362946,0.02117952331900597,0.5911497473716736,0.3152818977832794,0.09039444476366043,0.0741961622344596,0.07320333631443125,0.013367018019045263,0.1462455741975832,0.15716152880384734,0.029792092664341286,0.11813534796237946,0.1425040066242218,0.020401312038302418,0.05551232025027275,0.06105134636163712,0.009140154346823692,0.05551232025027275,0.06105134636163712,0.00857557076960802,0.019819713341593687,0.01487156805461688,0.002718465205533896,0.07838912683535784,0.06745131475243557,0.019906362591288997,0.19156557321548465,0.2064393013715744,0.04312581196427345,221.56522675597182,212.61792625205726,235.3839282999334,207.8712633982708,207.79564818715,216.01569465940426,0.0,0.0,0.0,200.7482608542637,205.69870839834357,0,272.0,242.0,288.0,210.0,233.0,265.0,0.0,0.0,0.0,6
471,17,7,29716,1469.0,228.0,1.0,1.036308715655596,0.5896018609397018,1.0,0.740530303030303,0.8263753510220523,217.40862378282628,221.2781055594972,83.24061508662703,30.456435994206807,27.202941017470888,171.06789623952852,175.59964742975853,-27.586185980133482,672.2199999999978,0.9796268213885408,0.7618134098787537,0.08017476361578578,0.14353251089376468,0.056697722006284625,0.014329516422433485,0.014216236788859806,0.04319789099774525,0.004000443951831919,0.026641267091720062,0.028534890411703512,0.007332238632624486,0.014915736504576928,0.002424889778611677,0.015194902555650137,0.003221696958388839,0.012034822070065723,0.01251998038827402,0.004139503923694242,0.007762788530661998,0.004399496924373842,0.003615011088420497,0.003549064516745286,0.006521536758150435,0.007709921597237655,0.0035293952354180616,0.0093263984089433,0.0072802083376088105,0.0018175347278225156,0.0017848820082608683,0.003534805781193133,51.44652482867241,37.99414068460465,7.144045229069889,4843.475672803819,5004.380195491016,443.9261953956448,0.1111162006855011,0.10482948273420334,0.012924391776323318,0.040527962148189545,0.060013726353645325,0.001937896013259888,1.505093278171766,3.714744891674712,2.1499597341585903,0.12228579819202424,0.07318226993083954,0.02249179780483246,0.3752498626708984,0.3205462694168091,0.0316472128033638,0.08931688338311182,0.06596204979966085,0.012402856300468557,0.1629921817473354,0.1684069254102509,0.014938962020313798,0.143327996134758,0.16467536985874176,0.014587624929845331,0.0644388496875763,0.05999847501516342,0.007888914085924625,0.0644388496875763,0.05999847501516342,0.0069886320270597935,0.013265447169203838,0.0017842928742379965,0.0024900504827674304,0.0648668237403582,0.06917841090639806,0.0028338867634724913,0.21197833120822904,0.22496375441551208,0.016998549923300743,1477.9773243754773,1478.0944231452688,1477.7363132045155,223.33285524788997,225.5395108940912,223.97684025747432,0.0,0.0,0.0,1477.8741418764303,221.83130300174992,0,1461.0,1461.0,1488.0,224.0,224.0,185.0,0.0,0.0,0.0,7
473,17,9,16735,0.0,331.0,1.0,1.111591721814607,0.6548741728724842,1.0,0.6580551295662774,0.6128506331088526,173.31141220565124,190.2629759044045,78.0,29.46620515840177,26.83281572999748,143.68121050126155,130.9780077754056,63.53273625089925,585.7879999999988,0.9624453646192777,0.5530218454409502,0.09081583943936768,0.18328423899842336,0.05375336270825607,0.02088499633104104,0.02824518356804404,0.00021058067770777389,0.034230741678228746,0.015394868912669444,0.027186633392454043,0.018037703959472403,0.01152351300977775,0.002347348821228677,0.017068110958968208,0.01551568543884455,0.006723764833478691,0.006531820848289128,0.00950735083622084,0.009434283661837007,0.009727177056752936,0.012254182494194498,0.009940445920894677,0.0035446067741942686,0.0045669730240792674,0.0021773878724526932,0.008079063776373161,0.0021973885638567527,0.005101661316863859,0.010278778625340658,0.004960568589434983,24.487678326666355,25.09106582775712,4.221942522097379,1777.2357840761542,1933.7753574959934,217.81873995205387,0.0795605406165123,0.08292897045612335,0.0120088504627347,0.020012207329273224,0.03127336502075195,0.0009613176807761193,4.992124757766809,4.952045750181037,1.4460601248868712,0.08397039771080017,0.09048599749803543,0.015350576490163803,0.26166170835494995,0.21402303874492645,0.03482108935713768,0.0685929364892615,0.07028309755674263,0.011826169529684537,0.10619873224237553,0.11555275515362973,0.013015759782016963,0.09491874277591704,0.10947585105895996,0.012970169074833391,0.05360494554042816,0.06152437627315521,0.00735484855249524,0.05360494554042816,0.06152437627315521,0.00735484855249524,0.007362562460393063,0.008293449021665344,0.001681625583241667,0.035067186785632566,0.03638920586206811,0.001884222079560437,0.12843137979507446,0.14969100058078766,0.013931486755609512,50.860714620696214,52.21216834346575,55.25410272376642,342.36729688067766,340.67113576206583,345.9104679994087,0.0,0.0,0.0,55.38810875410815,344.4706304152973,0,24.0,77.0,39.0,322.0,348.0,321.0,0.0,0.0,0.0,9
475,17,11,18605,476.0,427.0,1.0,1.0097561894829774,0.4800078081152052,1.0,0.7665210942649967,0.8588051616613182,164.11043919167915,165.41160781517118,70.57619995437554,25.235530051406062,22.203603311174522,141.63212005308142,143.96821572573646,15.79606466859828,521.7619999999984,0.983714905091736,0.8617685965997366,0.014942842146668163,0.1113734536946133,0.04866269666867554,0.007614999415599613,0.004890863092964585,0.06971191237802565,0.021718623485085686,0.006635669980379427,0.004525925263237404,0.003958013529474435,0.004041997392395239,0.02995406726971525,0.002742245034722689,0.008937557706516592,0.004330465077869195,0.005093183993147187,0.004161621158410376,0.0023437976572118113,0.006273166803830052,0.004076622446068668,0.012189230631511849,0.008768641996124345,0.002011731974307571,0.0025663238322232314,0.0024856592159162444,0.0014004945490030238,0.0011087259576058974,0.0006936367352960152,0.0018894484292962962,28.190920989960432,28.91921877488494,4.6898756846785545,1469.7160156965256,1579.1844223253431,241.53045151382682,0.07142747938632965,0.07548638433218002,0.011673151515424252,0.007095441222190856,0.008514538407325745,0.001266499049961567,1.0422111314912896,0.22005191534648816,1.1155054616273876,0.07621881365776062,0.06964217871427536,0.01347371656447649,0.1104142814874649,0.11689936369657515,0.020981155335903168,0.06363639049652467,0.06528040355504501,0.010586626827716827,0.07899575467328812,0.08487957120802703,0.012982018356024016,0.0794689878821373,0.08570992946624756,0.012985427863895891,0.054551001638174064,0.060700390487909324,0.008651865646243095,0.05389486625790596,0.060700390487909324,0.008468757383525372,0.004113077527374244,0.0014448301537116346,0.0008461516058657678,0.009923028710195606,0.01140754980720086,0.001719169633663123,0.08575570583343506,0.09303425997495653,0.014221408404409884,475.9438528723628,476.71142736654366,476.5666119284585,427.6645622820381,428.3361972313117,427.09232144311835,0.0,0.0,0.0,476.8554152109648,428.16979306638,0,471.0,506.0,499.0,409.0,433.0,423.0,0.0,0.0,0.0,11
478,17,14,32856,85.0,563.0,1.0,1.0788573076423509,0.5787088865906436,1.0,0.6531878093874873,0.6216891442893869,232.35194941510056,252.4836628378161,87.0,33.144225505903236,30.59411708155671,204.45386084755063,189.49096021761918,-11.697542720054145,814.9399999999976,0.9191646500958164,0.6239447971704526,0.0656768709964328,0.19014468279060515,0.04792798903834331,0.005511143164403275,0.029176037397156383,0.025017728757967563,0.02127940881103036,0.01345395227343498,0.02607222300689971,0.029344295517903667,0.015387858774172869,0.009886325470204864,0.016669080571048222,0.010090229215232943,0.009947450920403745,0.004394229513405111,0.0015519477769188922,0.008013373723719084,0.015393845590587946,0.005486284212433602,0.006779087225371445,0.005865034915004425,0.0061387026649334115,0.00251494609866223,0.007993617872419598,0.012237118655865391,0.0036197641829265955,0.008453434131479745,0.003466860453305697,93.4135804399848,45.7076828815043,18.12590224668384,8247.557674080133,4321.057589974254,1655.5124778281895,0.18535134196281436,0.093019001185894,0.03721675276756287,0.0639658272266388,0.033890292048454285,0.01271076500415802,4.155289155331797,5.619730114700348,2.179898984179776,0.2903029024600983,0.13163958489894867,0.05268940329551697,0.4298466444015503,0.2551918923854828,0.09147783368825912,0.16133606293607047,0.07894245748100914,0.031305530650576584,0.2510213560409098,0.13151502282609734,0.05038691495703037,0.24966812133789065,0.12387274205684662,0.0484473928809166,0.09204242378473282,0.061203937977552414,0.019150072708725933,0.09192034602165222,0.061203937977552414,0.019150072708725933,0.051297006519758895,0.02160824259530376,0.008737318563523354,0.07806306830818525,0.046646301746507496,0.016189419863920584,0.31323719024658203,0.16227969527244568,0.0628213956952095,104.74797678258145,96.17301460224495,102.47272607154099,562.2550268963266,563.1660705942784,562.015654781099,0.0,0.0,0.0,101.04623204285366,560.3672997321646,0,110.0,93.0,94.0,589.0,562.0,580.0,0.0,0.0,0.0,14
481,17,17,39032,234.0,675.0,1.0,1.0502530433414123,0.661894294575074,1.0,0.6992225287521049,0.6920352569294724,257.9844142229987,265.1377000729998,94.26027795418386,34.614782726902234,30.870698080866266,192.58176490271583,193.38439120011898,-36.16574233308421,841.8819999999972,0.9639673013756148,0.7069184481069334,0.048666039419777034,0.17537103245090774,0.07522477065881604,0.013077638230276115,0.010660694963950659,0.044171575983936416,0.002350409266313216,0.016537378954396376,0.012894794807996456,0.014984515119829876,0.004863836475174389,0.012619405773557442,0.025204047622743343,0.010994573038625331,0.007583896842164914,0.009316129035647549,0.009902542836545234,0.001988218877737241,0.0026734233990555532,0.004572153611863325,0.00726757675322741,0.00523174718664306,0.00536838845108423,0.004890773053508609,0.0038476675215318727,0.007441937390339056,0.007347815451909736,0.001788537463782154,0.0031165920136924465,84.19041751325129,54.531364902853966,16.195330795831982,7560.049836926162,5612.393121428788,1592.313165344298,0.10589761286973952,0.10267795622348784,0.020401312038302418,0.07605098187923431,0.039978645741939545,0.018463417887687683,15.674197900316921,5.970785098897514,18.235693989071137,0.286320298910141,0.13098344206809998,0.05282673239707947,0.6240024566650391,0.3100785911083221,0.10556191205978394,0.11841127638994554,0.07669671575647534,0.022778243032112486,0.19368850781220956,0.1437895347773311,0.040795069823332086,0.1888456493616104,0.1412375122308731,0.04235904663801193,0.058487832546234124,0.061173420399427414,0.009170671924948692,0.058487832546234124,0.061173420399427414,0.009033340960741043,0.06597571107306903,0.01991780060678443,0.01234245468603498,0.09625075777634567,0.04883302674771766,0.02055588336941517,0.2571450471878052,0.18231479823589325,0.05728236958384514,228.01929470995097,225.85910449631982,231.22776046724715,667.1631253858967,676.9202795124182,665.834474228741,0.0,0.0,0.0,222.4260350481656,681.8053904488626,0,231.0,219.0,208.0,632.0,679.0,650.0,0.0,0.0,0.0,17
