,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number
3796,165,5,89835,728.0,317.0,1.0,1.0129418987730583,0.5054244959772448,1.0,0.7921957671957672,0.8515980735210736,363.6452854988028,372.17469016578764,154.76756766196203,54.895058002692146,48.507731342539614,315.1093105545319,313.77891134709955,30.661255287772605,1151.3579999999956,0.9866069222278964,0.8257755497731879,0.03284230599013658,0.13243276888594865,0.04939320573020668,0.011200648972019368,0.012263758275401007,0.07150184367362505,0.017037620224543134,0.012005478773759164,0.007692111366504653,0.006955255496410297,0.0047603726480481105,0.020346017243230964,0.006716507472051658,0.007484034930972995,0.008610152540154074,0.013062058834338171,0.0033721604386826773,0.002411569559432874,0.0032305563246623173,0.0048073307734346725,0.01345499906107004,0.002306508560751751,0.0043173349533517456,0.003105822968640225,0.006751216866270254,0.003637377022539074,0.003075599178510112,0.0013262022042287356,0.000851787935056635,23.02658131159842,51.55120173469186,34.1606775932014,4019.396499510855,11323.525880280882,3581.209851162508,0.03700312972068786,0.07548638433218002,0.03440909460186958,0.007354848086833955,0.048538953065872185,0.004272524267435074,5.1685587837046825,9.204545152669409,6.022307283354556,0.0472419336438179,0.056763563305139535,0.0798504650592804,0.1415732055902481,0.252079039812088,0.32364386320114136,0.02344865714012059,0.052496132112720834,0.03478684072627434,0.04474198808382985,0.12604804230289846,0.039864305127873416,0.043198291212320335,0.11709773540496825,0.03926146402955055,0.014206149615347384,0.0476844422519207,0.024505989626049995,0.014206149615347384,0.0476844422519207,0.0240024421364069,0.006258590547561654,0.0013074750679211555,0.009782873957180787,0.01441493431833234,0.05368912211405753,0.009637011496369205,0.051483940333127975,0.17958343029022214,0.04284733533859253,722.0698394261459,709.7940177992501,714.8988919537875,305.3055885366285,306.0704958789923,304.22302622919517,0.0,0.0,0.0,718.5039906495241,309.04707519341014,0,809.0,658.0,590.0,294.0,321.0,294.0,0.0,0.0,0.0,5
3797,165,6,32473,1214.0,397.0,1.0,1.0593473485152964,0.6922676614958336,1.0,0.7130654369784805,0.7405264792947555,239.5120073380539,238.53720883753127,83.73768566183328,31.56516132972795,28.23118842698621,170.96670551860936,172.84164332631832,-64.78357124701874,742.3279999999976,0.9756339382285782,0.7229340624434069,0.036171443445632924,0.16568441509404394,0.0863193161556904,0.005936224270265634,0.012631507909703276,0.04482381328767264,0.005825047314108897,0.013142512777916835,0.013637777480954663,0.012096596405492094,0.004880723117429493,0.0067753499628660785,0.0257287887454432,0.015508657033755141,0.0047619675006055,0.0036321138156365854,0.008278050696804628,0.00191987502448395,0.0040862247089621185,0.0034876685719676297,0.010096936785069463,0.004614094851745726,0.004830476741060693,0.00285504169912339,0.005531226382901801,0.009745474814431715,0.004884730353400116,0.005837624962292488,0.0030977117504214827,24.89044024609029,33.08149853721261,49.70095375180245,3311.4567969199265,2802.423059411347,5034.131321467459,0.05311665683984757,0.0626382827758789,0.0972915217280388,0.040711071342229836,0.02214084565639496,0.04660105705261231,7.654363224704522,3.6531698883029895,7.446724007779722,0.051224537193775184,0.06105134636163712,0.09895475953817368,0.3548333048820496,0.16137941181659698,0.4702678024768829,0.03988852603540111,0.0530152220147638,0.07964896434583725,0.10197569663781994,0.08630009729348526,0.15502513846787974,0.08722057193517685,0.08326848596334457,0.13754482567310333,0.026199741289019585,0.047745481133461,0.0638132318854332,0.026199741289019585,0.047745481133461,0.0638132318854332,0.005909586216335156,0.002132857885489955,0.007655301798460117,0.05570787655841143,0.02493755223435186,0.06640790127904547,0.14735637605190274,0.10791180282831192,0.20535209774971008,1229.3785201852827,1225.8485363591865,1227.6061195740472,372.6283109030433,374.52877284982213,370.55264363010787,0.0,0.0,0.0,1222.4882517784006,375.96199919933485,0,1225.0,1263.0,1244.0,412.0,367.0,392.0,0.0,0.0,0.0,6
3798,165,7,33662,1031.0,447.0,1.0,1.0457873532151247,0.6633615355489116,1.0,0.7338245552842693,0.7304024213831182,239.2282128306108,246.84002916869053,87.09190547921202,32.584455028886104,29.017236257093817,175.065755713473,179.01424518132148,16.31735162884998,761.0159999999976,0.9709678815062665,0.7009657492346695,0.05925539069309866,0.17709683282628258,0.07029482008778468,0.01863750015291265,0.0142178611339513,0.046360070788845485,0.007550392221222583,0.012552668023728194,0.02326115951664267,0.013125111490810129,0.0008474760013911638,0.00958880567152462,0.020011022911496663,0.009477679077033344,0.0035424393911982345,0.003772485730632122,0.006388962713732732,0.008047389483563974,0.0030595691564154768,0.009349936579607565,0.0032805137157102342,0.00469216776583909,0.005996997504211115,0.0016643333333937614,0.013331024389202578,0.009125943643208777,0.005745307484755883,0.0022601723811655245,0.0038591958539265538,16.801632761955258,34.429114278405905,33.255832865834236,2354.558529037051,2891.0334205739196,2337.6762676760554,0.03709468245506287,0.07215991616249083,0.05365072190761566,0.026184480637311932,0.013565272092819214,0.011627376079559326,8.339514963281042,3.0132378300104685,4.236811025544712,0.04153505712747574,0.06158541142940521,0.08047608286142349,0.2657663822174072,0.1899137794971466,0.4174105525016785,0.026008719445751182,0.05329584253623205,0.051479617439371884,0.06994707768513607,0.08588418455748084,0.06944555485936829,0.06041046604514123,0.08456549793481828,0.06584268063306807,0.014312963001430038,0.048645760864019394,0.035339895635843284,0.014312963001430038,0.048645760864019394,0.035339895635843284,0.007445668437465645,0.0021973387446754,0.011551400208057231,0.04294239491915907,0.020572253494313096,0.0248409698578341,0.09103532135486604,0.09878690540790558,0.07673761993646623,1017.7486893590848,1016.8658420640606,1020.7639911267662,433.28090961043574,440.77142586628713,437.22817115873374,0.0,0.0,0.0,1019.8212821579228,441.35877250311927,0,1002.0,993.0,1011.0,384.0,433.0,390.0,0.0,0.0,0.0,7
3800,165,9,31272,963.0,775.0,1.0,1.1380980795281082,0.7991380984584237,1.0,0.7070953737620405,0.761223130908489,257.48368641047347,254.91174943497603,74.33034373659251,29.30877495085317,26.683328128252672,156.07045107733194,154.78567070059617,26.256157583485503,718.4999999999974,0.969253657327052,0.6124208164413162,0.01662174588453636,0.18466433363654391,0.10017430638933424,0.008164948213410912,0.001000695662522294,0.009596540593392268,0.02571453379846857,0.02894544087931212,0.0018067658077100977,0.010258485125806727,0.0021126917004379133,0.018899282294217237,0.025724308901770118,0.006862062067745522,0.00975620150793398,0.006284651160292336,0.005255363794513882,0.002791302049272701,0.001265915147768552,0.00768991180299663,0.006871997105988633,0.01718508628592079,0.0092525344256348,0.0030502623475500037,0.0030394439397961165,0.0032319639943856177,0.002700208069836966,0.001647642750032468,0.0007208717665103114,12.81078820116818,32.33846042305231,20.37291528098285,1614.9360983781517,2358.6107153855264,1516.8957837969065,0.027740901336073875,0.06485084444284439,0.03503471612930298,0.01966887898743153,0.009231708943843842,0.009246967732906342,6.631498658648707,0.6302989293435587,5.404073232799356,0.056916151195764535,0.05761806666851044,0.08580148220062256,0.1895475685596466,0.14935530722141266,0.7361257076263428,0.020898512563080233,0.052754421571047816,0.033234772073381484,0.05164159946207955,0.07542244549071138,0.04850651649388931,0.04446478933095932,0.07406729459762572,0.043610285967588425,0.010681315325200558,0.0486762784421444,0.022919051349163052,0.010681315325200558,0.0486762784421444,0.021194782108068463,0.008069136477980169,0.001353963745130641,0.008511413977997349,0.029445448428310775,0.0148720725269979,0.02431920429181258,0.06965743750333786,0.08332952111959457,0.05401693657040596,952.0270082962784,949.3129883801604,946.9253350973278,757.1057596268845,762.5086460321721,757.8615651165616,0.0,0.0,0.0,948.8333653108213,762.9175940138142,0,949.0,963.0,937.0,745.0,788.0,740.0,0.0,0.0,0.0,9
3803,165,12,31872,1518.0,1106.0,1.0,1.0667623695563628,0.7160916641900249,1.0,0.7351062112231013,0.8351791144852323,240.7856456323765,238.15961034566715,82.68010643437755,31.70352174546465,28.442925306655784,166.32098488870008,168.0698861547596,-28.1293736836994,692.4999999999973,0.9865965020894596,0.7152195892963632,0.00911268244205228,0.1692967574069511,0.0940796665643978,0.00044054590280220466,0.0049217103816446475,0.04106764847222994,0.0013387482508022456,0.01845390089649413,0.003915949234570347,0.0036548755811414385,0.0009621117219514693,0.013796329117596436,0.028895809258587143,0.01769319509364109,0.004483897383485289,0.0013373895675575034,0.0018995388577610715,0.003223522652468867,0.0008529647843510402,0.005204203725261274,0.008775274780379509,0.00495669795596857,0.010112573820467569,0.002416254146498338,0.0015652595993936125,0.0029689519189472803,0.0020521048884300872,0.0012305930312805945,0.0005456219625201943,14.233890375122428,30.85803009569645,22.95385678112507,1472.533504657447,2632.0784346610308,1706.5189018659296,0.033966582268476486,0.06675822287797928,0.043610285967588425,0.011566337198019028,0.015411615371704103,0.008346684277057648,0.926547526645472,0.5749646622222455,3.883747472872127,0.028946364298462868,0.056656748056411736,0.05091935768723488,0.09837491065263748,0.14012359082698822,0.11328297853469847,0.024248535562389144,0.052569046159619166,0.03910367424382465,0.046201477932274325,0.08258278221200523,0.05354288723223925,0.04565499350428581,0.08116273581981659,0.051941711455583565,0.02078278735280037,0.04917982593178749,0.031448844820261,0.020370794460177418,0.04917982593178749,0.031448844820261,0.0015438086713640859,0.0013659063328055672,0.0029639328994713445,0.01429142868251108,0.01880382485646586,0.01191424224236206,0.05714503675699234,0.09779506921768187,0.06030365452170373,1536.5431997876474,1535.5794981051513,1539.2519552859421,1096.4495000035158,1096.8932142749966,1095.0400685581455,0.0,0.0,0.0,1536.0449924698794,1097.2307040662652,0,1557.0,1560.0,1552.0,1084.0,1121.0,1054.0,0.0,0.0,0.0,12
3805,165,14,30073,1191.0,1149.0,1.0,1.1314860104241813,0.7842148558816944,1.0,0.7149173897539522,0.7952331183538563,249.6108000457724,246.4345754962156,75.16648189186455,29.13937578880727,26.47640458974745,153.28685276307903,154.88084837363485,22.934788849357,689.3599999999975,0.97369315698305,0.6304372036821069,0.03975759917319156,0.17573381309388447,0.09793440622316267,0.02581103190797343,0.004897821033333302,0.017658408900369155,0.02192685706841271,0.02745345247585191,0.009762073130102458,0.01152258368809956,0.004833350071067026,0.010509748828189091,0.022870949624281062,0.007468024807190181,0.008208204907377392,0.01686056740843231,0.009152882918639514,0.006087758589640503,0.0027626038690950834,0.0013909925567562435,0.002363895998688393,0.01365508038723835,0.010044232413876027,0.0031942142378603108,0.001524538186465977,0.0012121918648339133,0.003385509167882785,0.0011658883720153759,0.0016075812434687249,10.693003798834981,31.124879896640774,20.28250557743013,1465.2634957265107,3268.2572086118157,1226.1111804284155,0.02180514298379421,0.08569467067718506,0.03625543788075447,0.02236972749233246,0.020157173275947567,0.00329594686627388,16.88539015598841,1.4354218499472111,2.1034224733565847,0.032684825360774994,0.058442052453756325,0.047928586602211,0.22613871097564694,0.21472495794296265,0.347600519657135,0.01812373525226268,0.052754033723119965,0.0343771280973392,0.048723555871596144,0.10867745847144668,0.04077116285134225,0.04164187237620354,0.11349660158157347,0.04045166820287705,0.009292744100093842,0.0480354018509388,0.024383917450904846,0.009246967732906342,0.0480354018509388,0.024383917450904846,0.005386233307606878,0.0013642149263688942,0.005436476604363139,0.03218566170534247,0.030633302274602987,0.011097484467628869,0.06880293041467668,0.13011367619037628,0.04299992322921753,1191.3355558310752,1205.5951385908845,1208.12782975483,1144.3206652821843,1151.3533827258834,1149.0856903981635,0.0,0.0,0.0,1206.9239517174874,1150.8105277158913,0,1179.0,1217.0,1191.0,1105.0,1157.0,1145.0,0.0,0.0,0.0,14
3807,165,16,38900,451.0,1451.0,1.0,1.0223197307236092,0.5799558637929638,1.0,0.7677429541327859,0.8701059815553642,246.2083717708965,249.11041728518703,100.22474744293447,36.26001041884637,32.202484376209235,201.75331471874264,200.57313228176196,-27.110939661246995,749.5379999999969,0.989029149663755,0.7981342382718484,0.054375861840405326,0.13948878445724278,0.06228366998689897,0.009464412930334669,0.008901874290450938,0.06073809010745579,0.012857640531713314,0.01119608149600233,0.018995453769037832,0.012773622729072715,0.0008677344268073035,0.011180353184523371,0.012655595580741377,0.009636339920422171,0.0036158968045494977,0.01590681203673495,0.004120148438873455,0.004626543535828422,0.0009319974587065457,0.0016935297010685648,0.01130236801536891,0.0033639822101378908,0.004461788455944308,0.002637252188124551,0.0011217803118356551,0.008661513599137109,0.005114340059560438,0.001097566269991523,0.002081463580711888,14.766414960846305,33.59308771416545,22.197467125952244,2655.594098011032,4004.873002242297,2155.2822500336915,0.03767452389001846,0.07620355486869812,0.040711071342229836,0.024917982518672943,0.024612806737422943,0.011505302041769028,1.0233142787884721,3.165906709193937,1.3542461656569864,0.033936064690351486,0.05636682733893395,0.04286259412765503,0.2672465145587921,0.21167315542697904,0.3347371518611908,0.02310863061165306,0.052571342275689284,0.03473782022840727,0.06826720046300852,0.10295303347666572,0.055405713368475364,0.06652933359146118,0.10292210429906844,0.05156023427844048,0.015243763104081154,0.0481269545853138,0.02937361784279346,0.015243763104081154,0.0481269545853138,0.02885480970144272,0.0038914389827200734,0.0013038344670843346,0.002200434331437173,0.03672989066228202,0.03151102709715686,0.020092391050974327,0.08630502969026567,0.125490203499794,0.06494239717721939,439.2827049015714,440.61468561905104,437.88142124630264,1459.025454238242,1455.2151903134345,1458.529705584928,0.0,0.0,0.0,439.133264781491,1458.0131105398457,0,506.0,446.0,407.0,1459.0,1408.0,1494.0,0.0,0.0,0.0,16
3808,165,17,30730,673.0,1461.0,1.0,1.164925078234066,0.819596165125489,1.0,0.6993309362341268,0.7586184938825495,261.43171283284505,260.4169733331528,75.29276193632427,28.943580984015565,26.248809496813372,151.15819527898574,149.7851150435249,69.86665547917283,713.4679999999972,0.981224854716138,0.5769437374655625,0.017407034931789727,0.18813164820613426,0.09852573563155267,0.0020339026852944013,0.007325575297721911,0.0028748326407876256,0.031647676735252935,0.03218260678440154,0.005156532409449937,0.008633489977870392,0.006337803701470691,0.020430138169015497,0.0211143375854775,0.002651080379898076,0.0138752527830533,0.0015091244324160296,0.004228921824311285,0.005614234509160614,0.003146290882790913,0.011844229990492764,0.012123633113229488,0.017568212834328863,0.0053941032662635545,0.006129331211240408,0.0027277126199362197,0.0032760889149444075,0.0023005859280935577,0.001645182373545008,0.0011379393033011953,8.668665666133165,31.965331569314003,19.36998555064201,1313.5506857801226,2760.7019178755577,1271.5752991680056,0.022751200944185257,0.07418936491012572,0.033051040023565285,0.013778895139694214,0.013412684202194214,0.0044708922505378714,7.107342284698764,2.640428984692892,2.26387785178542,0.030716411769390106,0.057907987385988235,0.05638208612799645,0.2616311907768249,0.17952239513397214,0.610177755355835,0.014352095473730406,0.05292273438628146,0.032069512501062936,0.04274489703156925,0.08983735495852778,0.04137895539108381,0.035446707159280784,0.08911269158124924,0.037079423666000366,0.010574501939117908,0.048813611268997185,0.02543678879737854,0.010528725571930408,0.048813611268997185,0.02543678879737854,0.0026090103062993693,0.0015261520911098387,0.0031351790099352467,0.030175253732864962,0.022548865100808096,0.01959903199995705,0.051148243248462684,0.10135042667388916,0.04259555973112583,688.9491802525258,686.5928904774514,685.2843803831504,1494.198842296803,1485.6499087602442,1490.2810404567854,0.0,0.0,0.0,685.433257403189,1488.0220631304917,0,692.0,731.0,708.0,1519.0,1512.0,1477.0,0.0,0.0,0.0,17
3810,165,19,28250,1524.0,1667.0,1.0,1.0134589140357482,0.5139808828282452,1.0,0.7710363274106826,0.8788398410289014,204.53065487541485,206.0218435020908,87.5956619930462,31.13731224944406,27.586228448267445,175.54032156283074,175.44673100362664,86.46270147181602,635.5639999999978,0.9876759024560792,0.8473626768207325,0.08392345262749462,0.10305928783828347,0.047146068261212086,0.031169055340529262,0.005627448773867848,0.04209205339150551,0.010476450367508994,0.009563843598022865,0.00981742594690181,0.01368214860884565,0.006584427671339928,0.007364682551606275,0.010756601193896995,0.004449257600755813,0.0038206751969099744,0.01887046928716026,0.009399819284400169,0.0034943851834660666,0.003124215435172519,0.0035428770487948265,0.005289648479269833,0.002935268699041934,0.005996478055526496,0.00310831773811088,0.00846887179843117,0.0023935239933781864,0.0040939466558620324,0.0012457147900841767,0.0010126523841016118,8.58655686955899,28.973525635898113,15.748744996264575,1281.5929840914905,2559.2206786312163,1020.6922896187751,0.026474403217434883,0.07473105937242508,0.030365454033017162,0.014160372316837309,0.015091173350811003,0.0032806918025016785,3.9119238197809603,0.4245516592789499,1.6174972423189864,0.02607766911387444,0.058442052453756325,0.051361866295337684,0.1917296051979065,0.1594720333814621,0.4028381705284119,0.015842355847894816,0.05345668936512567,0.029056725085358996,0.045366123330672234,0.09059188242942358,0.03613070051747877,0.03909361362457275,0.09188982844352722,0.03327992558479309,0.009216449223458769,0.04942397028207779,0.02142366766929626,0.009216449223458769,0.04942397028207779,0.021316854283213612,0.003883346159818358,0.0016225180931223895,0.003403573720027955,0.02707360605219209,0.019797111533365816,0.01454748649815865,0.056588083505630486,0.10565346479415894,0.03721675276756287,1527.6557203207715,1523.4263638319753,1523.8407176584174,1671.567246827861,1670.7985028926098,1672.321426377612,0.0,0.0,0.0,1523.8402477876107,1670.70392920354,0,1536.0,1528.0,1521.0,1665.0,1679.0,1725.0,0.0,0.0,0.0,19
3812,165,21,32797,843.0,1832.0,1.0,1.131175960097402,0.7858752340929949,1.0,0.7670556867881283,0.6144203267225528,260.87556989629957,258.65227623201,74.79304780526061,29.53526008278481,26.90724809414742,163.31522602862762,161.32156211628123,88.46039965314422,819.0099999999977,0.9510649712189532,0.6241825585369298,0.050526943625362086,0.1752918214743546,0.09440643895861801,0.02044752774575472,0.02228022316862704,0.016799225637416322,0.028124766746769697,0.016938944947593078,0.010619535615986726,0.008413727237932798,0.008870131646761764,0.008214215058224325,0.022701823795869214,0.006852858211867765,0.005994441963396742,0.011631760463942268,0.01785476169640793,0.008779682618094038,0.002565023467645634,0.004195805092600325,0.003255745502705376,0.012783209206217769,0.005047482259117558,0.004856273490074653,0.002012481086567796,0.003689329801393242,0.006448292358966516,0.0065709769217747295,0.0020283485500169,16.122469000518322,43.67602051794529,25.289875729009513,1455.7666469560934,3113.9157428368926,1417.3554622791708,0.029270619153976437,0.07817196846008301,0.037205308675765984,0.012390324845910072,0.01573967933654785,0.003524832427501678,2.8015750219806432,3.661940753996249,2.6455224474578714,0.04364080354571343,0.09050125628709793,0.0480354018509388,0.191805899143219,0.20190738141536715,0.33727017045021057,0.022933810811548112,0.062128051945868124,0.0359742186756892,0.04438718928426666,0.0949451395809645,0.043216009460596116,0.040787365287542336,0.09725337475538254,0.04034485295414925,0.011612115427851677,0.04937819391489029,0.026489662006497383,0.011612115427851677,0.04937819391489029,0.026489662006497383,0.009109095111046132,0.013198956430528605,0.003966227835215929,0.021498037673982274,0.02293471471944439,0.01388104241090275,0.054139010608196265,0.110673688352108,0.04473945125937462,841.2359007811273,841.381728843405,839.9481427603795,1788.1789897151048,1787.242352264264,1787.7900379847126,0.0,0.0,0.0,839.5316339909137,1790.4025673079855,0,821.0,880.0,840.0,1695.0,1739.0,1716.0,0.0,0.0,0.0,21
