,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,34999,43581,93,1185,35260,0.4828220252495122,211.09739654052098,0.8030793235584315,93,106,226.04486148014402,197.95166711737326,704.541197284454,0.992597844583097,3193.5174625985937,2449.0539071592098,0.1612209311625419,0.00045245523003354884,3.941761770642307e-05,2.6870804923406066e-07,7.722945393731783e-13,5.6685415742145375e-09,-4.102851301486116e-13
3,4,39030,53536,408,708,39557,0.6234525012021952,222.92272075993824,0.7290421398684998,113,121,252.4325791925776,197.3672461763447,762.0214280248092,0.9866774527896454,3982.63793986356,2434.614366452116,0.1644184551964047,0.0015731061798692184,2.329761993098697e-06,2.3810395672089975e-08,-5.0025545767730785e-15,-7.219293446463742e-10,2.5345171910782965e-15
5,6,44818,61642,470,1524,46148,0.5931206752659336,238.880827853431,0.7270692060608027,111,122,269.2334727510473,216.76352307454448,828.9503602129437,0.9711796827598163,4530.416428099308,2936.651558480536,0.16660868371145174,0.001264571980737348,0.0002356066600884058,8.910040484801593e-06,3.2429453402513183e-10,2.1280795674410553e-07,2.4797423234460126e-10
6,7,27159,32074,576,91,27444,0.6481887219015117,185.95674979807075,0.8467606160753258,75,91,215.6321451327173,164.1995078813543,649.747258045114,0.9896152164407521,2906.076375908579,1685.0923992799333,0.16904778435098905,0.002021121300046795,0.00018661481421624216,2.7450945462074044e-07,-8.34608172210847e-13,3.761976030698558e-09,-1.7786799494823839e-12
7,8,36986,51000,700,308,37484,0.7123026881034049,217.00699942991406,0.7252156862745098,100,130,259.5701539048114,182.18512959645759,749.7371567773474,0.9867143314480845,4211.041549885467,2074.4638403798776,0.16994282675242917,0.0033370495529812497,5.6559216579314695e-05,1.250199092850998e-06,-8.655188938980506e-12,-6.087412817568029e-08,-5.967220163573713e-12
8,9,36902,48375,913,1085,37180,0.33545091321513776,216.76043384302628,0.7628320413436692,111,112,223.58198042142382,210.62712323425004,723.6955262170047,0.992522861753631,3124.3063730728713,2772.736565120997,0.15980280034127875,9.07660287706517e-05,2.9445558530151654e-05,2.8170996604431587e-08,2.4933094982723494e-14,2.661624687323299e-10,-6.05348479627936e-15
11,12,37067,49266,1133,193,38038,0.5468435598305653,217.24449407222792,0.7523850119758048,119,104,237.833841385518,199.12277015120824,761.9797974644666,0.9744728955255271,3535.3085067619836,2478.1173495431817,0.1622312530365329,0.0008134524427337771,1.9327269480591108e-05,2.513867566435725e-07,-5.493180614937681e-13,-7.15032090609331e-09,7.274336217072978e-14
12,13,42982,60600,1128,1815,43461,0.8466680079085952,233.93670535383447,0.7092739273927393,100,149,320.9156988662204,170.76614113094828,840.5655839020934,0.988978624513932,6436.680361174665,1822.567184797184,0.1921559617042448,0.011523999903999842,7.467041530485249e-06,9.64741522194658e-07,2.46303413759495e-12,9.342402137129173e-08,7.988715204638686e-13
14,15,33957,45934,1458,1742,34565,0.6912029232768627,207.93122714150445,0.7392563242913746,97,115,246.01396996709926,177.78463311288576,714.38181771802,0.9824099522638507,3782.679588685801,1975.4609856927123,0.16957153383333368,0.002832453231008423,0.00014305795184855005,3.7114686099786897e-06,-8.37903770891725e-11,-1.963224652806298e-07,1.711954368482519e-11
15,16,39397,52138,1477,448,39978,0.7136216087942394,223.96834228062502,0.7556292914956462,97,134,267.8414506378139,187.63133818754164,777.6955262170047,0.9854670068537695,4483.690167485533,2200.3449418779765,0.1696584793096812,0.003359052970442141,2.100291010833936e-05,8.209593600442889e-07,2.5675652784367523e-12,2.970038626824708e-08,-2.2424615777148676e-12
20,21,38975,48510,1924,1655,39432,0.43909192238399847,222.76559711062427,0.8034425891568748,114,104,235.15125780749938,211.26979991240708,755.7188668141177,0.9884104280787178,3456.007128028065,2789.683022189283,0.16024862476503776,0.0002922798007616454,5.476532953802041e-07,3.4509607893771924e-09,-1.4336725108907815e-16,-5.899828753880648e-11,4.419564065545966e-17
