,segm_cebp_imagename,day,area_nucleus,xcoord_nucleus,ycoord_nucleus,dapi_nucleus,cebp_nucleus,ppar_nucleus,count_heteroc,area_heteroc,dapi_heteroc,cebp_heteroc,ppar_heteroc,area_n_heteroc,dapi_n_heteroc,cebp_n_heteroc,ppar_n_heteroc,area_p3_heteroc,dapi_p3_heteroc,cebp_p3_heteroc,ppar_p3_heteroc,area_n_p3_heteroc,dapi_n_p3_heteroc,cebp_n_p3_heteroc,ppar_n_p3_heteroc,area_blob,count_blob,dapi_blob,cebp_blob,ppar_blob,area_n_blob,dapi_n_blob,cebp_n_blob,ppar_n_blob,area_p1_blob,dapi_p1_blob,cebp_p1_blob,ppar_p1_blob,area_n_p1_blob,dapi_n_p1_blob,cebp_n_p1_blob,ppar_n_p1_blob,area_p2_blob,dapi_p2_blob,cebp_p2_blob,ppar_p2_blob,area_n_p2_blob,dapi_n_p2_blob,cebp_n_p2_blob,ppar_n_p2_blob,area_p3_blob,dapi_p3_blob,cebp_p3_blob,ppar_p3_blob,area_n_p3_blob,dapi_n_p3_blob,cebp_n_p3_blob,ppar_n_p3_blob,area_p5_blob,dapi_p5_blob,cebp_p5_blob,ppar_p5_blob,area_n_p5_blob,dapi_n_p5_blob,cebp_n_p5_blob,ppar_n_p5_blob,area_p7_blob,dapi_p7_blob,cebp_p7_blob,ppar_p7_blob,area_n_p7_blob,dapi_n_p7_blob,cebp_n_p7_blob,ppar_n_p7_blob
0,stad3-26-xy1_cebp_segm_cell1.tif,-3.0,44564,174.28139305268826,878.9881518714658,62284933,173551047,53114370,9,2013,3625763,7436131,2421716,42551.0,58659170.0,166114916.0,50692654.0,1582,2563646,5859105,1930080,40969.0,56095524.0,160255811.0,48762574.0,2796,21,3795238,23556695,3497432,41768.0,58489695.0,149994352.0,49616938.0,889,1207098,5786261,1100860,40889.0,57292581.0,144270878.0,48533671.0,964,1312818,5714333,1185291,39936.0,55990731.0,138622565.0,47364406.0,1277,1743983,6874411,1555283,38678.0,54265541.0,131851263.0,45832954.0,2858,3933927,13708257,3439218,35871.0,50382256.0,118342219.0,42450903.0,2827,3913116,12263457,3362349,33098.0,46522237.0,106227550.0,39144623.0
1,stad3-26-xy2_cebp_segm_cell1.tif,-3.0,54207,575.1514380061616,889.5584703082628,88347088,197379076,63531125,8,1853,4973157,6310648,2142075,52354.0,83373931.0,191068428.0,61389050.0,1349,3097954,4518502,1576559,51005.0,80275977.0,186549926.0,59812491.0,4998,32,7442464,42096008,6249869,49209.0,80904624.0,155283068.0,57281256.0,1442,2184225,8616068,1756168,47767.0,78720399.0,146667000.0,55525088.0,1565,2385726,8289604,1887264,46204.0,76336840.0,138384120.0,53639944.0,2051,3147062,9604420,2446999,44159.0,73195776.0,128798495.0,51198993.0,4584,7085519,18310646,5408137,39599.0,66133540.0,110548588.0,45815468.0,4439,6910040,15418569,5181882,35194.0,59256320.0,95189951.0,40667235.0
2,stad3-26-xy2_cebp_segm_cell2.tif,-3.0,91570,1624.4972152451676,1535.896581849951,187271923,523272627,177121669,19,2133,5860089,14096249,4266945,89437.0,181411834.0,509176378.0,172854724.0,2675,6841113,17843742,5252697,86762.0,174570721.0,491332636.0,167602027.0,2204,20,5066121,28630754,4660490,89366.0,182205802.0,494641873.0,172461179.0,828,1936539,8931200,1739568,88538.0,180269263.0,485710673.0,170721611.0,897,2110654,8957533,1883368,87641.0,178158609.0,476753140.0,168838243.0,1225,2886288,11365643,2570410,86416.0,175272321.0,465387497.0,166267833.0,2695,6399764,22721380,5671036,83721.0,168872557.0,442666117.0,160596797.0,2633,6285681,20708005,5528342,81088.0,162586876.0,421958112.0,155068455.0
3,stad3-26-xy3_cebp_segm_cell1.tif,-3.0,55377,302.9158856565,528.1552991314084,69673120,138283133,56079660,19,3223,5392560,6516660,3100623,52154.0,64280560.0,131766473.0,52979037.0,3069,4413820,6703266,3032509,49085.0,59866740.0,125063207.0,49946528.0,3525,32,4148962,21838816,3781958,51852.0,65524158.0,116444317.0,52297702.0,1336,1590795,6155690,1412721,50535.0,63951539.0,110379364.0,50903720.0,1446,1731681,5807690,1510309,49118.0,62247662.0,104709302.0,49421620.0,1888,2268594,6635329,1958029,47281.0,60027265.0,98302864.0,47513677.0,4148,5014423,12387496,4289899,43266.0,55139054.0,86438064.0,43355383.0,3943,4829292,10279257,4081812,39482.0,50458347.0,76673977.0,39426580.0
4,stad3-26-xy3_cebp_segm_cell2.tif,-3.0,109351,168.23203262887398,1534.095417508756,215435433,447226399,142149820,16,4634,12935598,19687973,6247371,104717.0,202499835.0,427538426.0,135902449.0,3202,8022085,13932597,4359466,101515.0,194477750.0,413605829.0,131542983.0,8629,56,17535850,69588212,12226707,100722.0,197899583.0,377638187.0,129923113.0,2611,5410931,16883904,3622568,98111.0,192488652.0,360754283.0,126300545.0,2816,5865672,16895587,3875060,95295.0,186622980.0,343858696.0,122425485.0,3674,7695727,20509172,5000161,91621.0,178927253.0,323349524.0,117425324.0,7947,16776643,40291521,10751000,83674.0,162150610.0,283058003.0,106674324.0,7475,15862511,35004296,10089107,76199.0,146288099.0,248053707.0,96585217.0
5,stad3-26-xy5_cebp_segm_cell1.tif,-3.0,77605,1144.7730558598028,275.6606790799562,97657688,235939936,97932823,22,3130,5251776,8741318,3919772,74475.0,92405912.0,227198618.0,94013051.0,3233,4807664,8899109,4096802,71242.0,87598248.0,218299509.0,89916249.0,6161,48,7635183,45894064,8060440,71444.0,90022505.0,190045872.0,89872383.0,1993,2499765,10579185,2548511,69451.0,87522740.0,179466687.0,87323872.0,2178,2749799,10163518,2757424,67273.0,84772941.0,169303169.0,84566448.0,2893,3670169,11961173,3642760,64380.0,81102772.0,157341996.0,80923688.0,6463,8224217,22790241,8086094,57924.0,72884531.0,134562514.0,72846073.0,6151,7847640,19005103,7667686,51793.0,65053073.0,115584876.0,65203442.0
6,stad3-26-xy5_cebp_segm_cell2.tif,-3.0,55117,110.47315710216449,620.394778380536,74885926,201737721,78182659,11,1754,3429428,8043429,2468582,53363.0,71456498.0,193694292.0,75714077.0,1675,2929245,8027171,2391470,51688.0,68527253.0,185667121.0,73322607.0,4270,31,6071405,36454942,6147506,50847.0,68814521.0,165282779.0,72035153.0,1395,2014182,9384729,1961218,49457.0,66804641.0,155924903.0,70079281.0,1506,2181578,9188293,2094451,47958.0,64628974.0,146771115.0,67992341.0,1955,2836355,10832602,2694900,46013.0,61801095.0,135982670.0,65308346.0,4307,6291719,20873707,5885928,41734.0,55532370.0,115219435.0,59453797.0,4031,5903908,17127809,5459583,37741.0,49659380.0,98218875.0,54036480.0
7,stad3-26-xy5_cebp_segm_cell3.tif,-3.0,77255,1488.5080836191833,722.9392013461912,117952281,292008523,110064058,15,3078,6923449,10443359,4394023,74177.0,111028832.0,281565164.0,105670035.0,2635,5180989,9334626,3866330,71542.0,105847843.0,272230538.0,101803705.0,5875,35,8717979,49855277,8967979,71380.0,109234302.0,242153246.0,101096079.0,1626,2487911,10687781,2451714,69754.0,106746391.0,231465465.0,98644365.0,1754,2705390,10613286,2620000,68000.0,104041001.0,220852179.0,96024365.0,2327,3608143,13011884,3435457,65673.0,100432858.0,207840295.0,92588908.0,5096,7980058,25376367,7446301,60577.0,92452800.0,182463928.0,85142607.0,4779,7581976,21296298,7001457,55798.0,84870824.0,161167630.0,78141150.0
8,stad3-26-xy6_cebp_segm_cell1.tif,-3.0,46314,443.9632940363605,1533.4841300686617,60238516,104814807,53553769,7,875,1580918,1741557,1007620,45439.0,58657598.0,103073250.0,52546149.0,937,1500124,1840186,1090867,44502.0,57157474.0,101233064.0,51455282.0,3786,37,4561428,17225811,4485551,42528.0,55677088.0,87588996.0,49068218.0,1425,1722618,4895216,1664142,41200.0,54040458.0,83220276.0,47519967.0,1551,1893597,4729305,1801103,39748.0,52233640.0,78979761.0,45837664.0,2093,2588896,5746900,2418844,37790.0,49761364.0,73821345.0,43579127.0,4620,5763001,11147731,5295954,33506.0,44286534.0,63852793.0,38677425.0,4380,5514540,9548783,4996152,29525.0,39109374.0,55391523.0,34133842.0
9,stad3-26-xy6_cebp_segm_cell2.tif,-3.0,44295,957.6974602099559,1801.0302517214132,61675835,115560520,53184482,15,1688,3144485,4187929,1991264,42607.0,58531350.0,111372591.0,51193218.0,2097,3522601,5195298,2489390,40510.0,55008749.0,106177293.0,48703828.0,4644,33,5755220,23931014,5763648,39651.0,55920615.0,91629506.0,47420834.0,1464,1850964,5287559,1792249,38212.0,54091714.0,86453119.0,45658071.0,1589,2033998,5057930,1936653,36653.0,52083836.0,81503217.0,43757810.0,2126,2735765,6010438,2574856,34575.0,49388946.0,75624941.0,41240728.0,4612,6040357,11347605,5532032,30099.0,43463754.0,64540620.0,35871966.0,4263,5634867,9371381,5056002,26038.0,37998548.0,55433571.0,31052137.0
