,segm_cebp_imagename,day,area_nucleus,xcoord_nucleus,ycoord_nucleus,dapi_nucleus,cebp_nucleus,ppar_nucleus,count_heteroc,area_heteroc,dapi_heteroc,cebp_heteroc,ppar_heteroc,area_n_heteroc,dapi_n_heteroc,cebp_n_heteroc,ppar_n_heteroc,area_p3_heteroc,dapi_p3_heteroc,cebp_p3_heteroc,ppar_p3_heteroc,area_n_p3_heteroc,dapi_n_p3_heteroc,cebp_n_p3_heteroc,ppar_n_p3_heteroc,area_blob,count_blob,dapi_blob,cebp_blob,ppar_blob,area_n_blob,dapi_n_blob,cebp_n_blob,ppar_n_blob,area_p1_blob,dapi_p1_blob,cebp_p1_blob,ppar_p1_blob,area_n_p1_blob,dapi_n_p1_blob,cebp_n_p1_blob,ppar_n_p1_blob,area_p2_blob,dapi_p2_blob,cebp_p2_blob,ppar_p2_blob,area_n_p2_blob,dapi_n_p2_blob,cebp_n_p2_blob,ppar_n_p2_blob,area_p3_blob,dapi_p3_blob,cebp_p3_blob,ppar_p3_blob,area_n_p3_blob,dapi_n_p3_blob,cebp_n_p3_blob,ppar_n_p3_blob,area_p4_blob,dapi_p4_blob,cebp_p4_blob,ppar_p4_blob,area_n_p4_blob,dapi_n_p4_blob,cebp_n_p4_blob,ppar_n_p4_blob,area_p5_blob,dapi_p5_blob,cebp_p5_blob,ppar_p5_blob,area_n_p5_blob,dapi_n_p5_blob,cebp_n_p5_blob,ppar_n_p5_blob,area_p6_blob,dapi_p6_blob,cebp_p6_blob,ppar_p6_blob,area_n_p6_blob,dapi_n_p6_blob,cebp_n_p6_blob,ppar_n_p6_blob,area_p7_blob,dapi_p7_blob,cebp_p7_blob,ppar_p7_blob,area_n_p7_blob,dapi_n_p7_blob,cebp_n_p7_blob,ppar_n_p7_blob
0,stad3-26-xy1_cebp_segm_cell1.tif,-3.0,44564,174.28139305268826,878.9881518714658,62284933,173551047,53114370,9,2013,3625763,7436131,2421716,42551.0,58659170.0,166114916.0,50692654.0,1582,2563646,5859105,1930080,40969.0,56095524.0,160255811.0,48762574.0,664,24,918152,6786489,838848,43900.0,61366781.0,166764558.0,52275522.0,487,661104,4338589,596608,43413.0,60705677.0,162425969.0,51678914.0,571,775710,4680237,697494,42842.0,59929967.0,157745732.0,50981420.0,799,1086284,5915435,972512,42043.0,58843683.0,151830297.0,50008908.0,1609,2192676,11332261,1963205,41233.0,57737291.0,146413471.0,49018215.0,1966,2689649,12345793,2402806,40077.0,56154034.0,139484504.0,47606102.0,2985,4094188,17916672,3646457,39059.0,54750460.0,133916559.0,46363380.0,2100,2902209,11090564,2552116,37983.0,53257894.0,128408870.0,45059546.0
1,stad3-26-xy2_cebp_segm_cell1.tif,-3.0,54207,575.1514380061616,889.5584703082628,88347088,197379076,63531125,8,1853,4973157,6310648,2142075,52354.0,83373931.0,191068428.0,61389050.0,1349,3097954,4518502,1576559,51005.0,80275977.0,186549926.0,59812491.0,1468,33,2138101,15436179,1879625,52739.0,86208987.0,181942897.0,61651500.0,839,1246242,7321339,1050665,51900.0,84962745.0,174621558.0,60600835.0,967,1441600,7655355,1202205,50933.0,83521145.0,166966203.0,59398630.0,1325,1987445,9254326,1629897,49608.0,81533700.0,157711877.0,57768733.0,2666,4008647,17448845,3267279,48267.0,79512498.0,149517358.0,56131351.0,3226,4885877,18176429,3908246,46386.0,76651981.0,139548385.0,53864660.0,4930,7490314,26175211,5945361,44688.0,74053535.0,131567881.0,51833496.0,3522,5404185,15749009,4193120,42879.0,71262517.0,123842172.0,49686904.0
2,stad3-26-xy2_cebp_segm_cell2.tif,-3.0,91570,1624.4972152451676,1535.896581849951,187271923,523272627,177121669,19,2133,5860089,14096249,4266945,89437.0,181411834.0,509176378.0,172854724.0,2675,6841113,17843742,5252697,86762.0,174570721.0,491332636.0,167602027.0,286,21,639520,4492668,603800,91284.0,186632403.0,518779959.0,176517869.0,309,692833,4431030,647114,90975.0,185939570.0,514348929.0,175870755.0,381,861617,5121209,796650,90594.0,185077953.0,509227720.0,175074105.0,586,1334542,7275432,1220539,90008.0,183743411.0,501952288.0,173853566.0,1184,2703502,14084444,2464706,89410.0,182374451.0,495143276.0,172609399.0,1514,3476967,16393298,3148928,88494.0,180266444.0,485558990.0,170704638.0,2326,5356683,24283292,4834833,87682.0,178386728.0,477668996.0,169018733.0,1695,3930773,16042763,3516438,86799.0,176335671.0,469516227.0,167188200.0
3,stad3-26-xy3_cebp_segm_cell1.tif,-3.0,55377,302.9158856565,528.1552991314084,69673120,138283133,56079660,19,3223,5392560,6516660,3100623,52154.0,64280560.0,131766473.0,52979037.0,3069,4413820,6703266,3032509,49085.0,59866740.0,125063207.0,49946528.0,521,33,599100,4093079,563196,54856.0,69074020.0,134190054.0,55516464.0,497,578935,3498802,536550,54359.0,68495085.0,130691252.0,54979914.0,609,714442,3947399,658917,53750.0,67780643.0,126743853.0,54320997.0,901,1064889,5228557,970514,52849.0,66715754.0,121515296.0,53350483.0,1855,2195317,10085239,1989448,51895.0,65585326.0,116658614.0,52331549.0,2357,2812561,11036686,2502777,50492.0,63903193.0,110478610.0,50847706.0,3628,4346574,15904242,3839061,49221.0,62369180.0,105611054.0,49511422.0,2637,3189188,9575664,2767239,47855.0,60714005.0,100902946.0,48080467.0
4,stad3-26-xy3_cebp_segm_cell2.tif,-3.0,109351,168.23203262887398,1534.095417508756,215435433,447226399,142149820,16,4634,12935598,19687973,6247371,104717.0,202499835.0,427538426.0,135902449.0,3202,8022085,13932597,4359466,101515.0,194477750.0,413605829.0,131542983.0,2227,60,4429477,21204617,3274623,107124.0,211005956.0,426021782.0,138875197.0,1475,2984065,12398417,2083860,105649.0,208021891.0,413623365.0,136791337.0,1706,3478211,13361485,2395122,103943.0,204543680.0,400261880.0,134396215.0,2363,4849494,17063623,3310964,101580.0,199694186.0,383198257.0,131085251.0,4755,9793977,32896477,6646021,99188.0,194749703.0,367365403.0,127750194.0,5798,12028362,36599045,8049484,95782.0,187665824.0,346599212.0,123035767.0,8800,18307377,53501961,12145311,92780.0,181386809.0,329696296.0,118939940.0,6149,12891875,33612405,8370417,89633.0,174773949.0,312986807.0,114665350.0
5,stad3-26-xy5_cebp_segm_cell1.tif,-3.0,77605,1144.7730558598028,275.6606790799562,97657688,235939936,97932823,22,3130,5251776,8741318,3919772,74475.0,92405912.0,227198618.0,94013051.0,3233,4807664,8899109,4096802,71242.0,87598248.0,218299509.0,89916249.0,1441,55,1767295,13580544,1921120,76164.0,95890393.0,222359392.0,96011703.0,1070,1322192,8549242,1408187,75094.0,94568201.0,213810150.0,94603516.0,1276,1580338,9194646,1669509,73818.0,92987863.0,204615504.0,92934007.0,1842,2291278,11667947,2381782,71976.0,90696585.0,192947557.0,90552225.0,3724,4645671,21982044,4793339,70094.0,88342192.0,182633460.0,88140668.0,4599,5769520,23187285,5852080,67377.0,84927065.0,169760272.0,84700145.0,7038,8856461,33323384,8921734,64938.0,81840124.0,159624173.0,81630491.0,5042,6392454,19976550,6329105,62335.0,78534611.0,149783722.0,78371040.0
6,stad3-26-xy5_cebp_segm_cell2.tif,-3.0,55117,110.47315710216449,620.394778380536,74885926,201737721,78182659,11,1754,3429428,8043429,2468582,53363.0,71456498.0,193694292.0,75714077.0,1675,2929245,8027171,2391470,51688.0,68527253.0,185667121.0,73322607.0,898,33,1248591,9243163,1327665,54219.0,73637335.0,192494558.0,76854994.0,711,1005803,6454186,1018613,53508.0,72631532.0,186040372.0,75836381.0,835,1188847,6998359,1189722,52673.0,71442685.0,179042013.0,74646659.0,1180,1687346,8971832,1664158,51493.0,69755339.0,170070181.0,72982501.0,2395,3436937,17330258,3362191,50281.0,68008300.0,161728526.0,71287697.0,2963,4286275,19228784,4120695,48540.0,65477640.0,150892666.0,68872368.0,4542,6579629,28146633,6297139,46969.0,63190946.0,142011917.0,66704653.0,3274,4766217,17829428,4503813,45283.0,60725622.0,133140645.0,64387108.0
7,stad3-26-xy5_cebp_segm_cell3.tif,-3.0,77255,1488.5080836191833,722.9392013461912,117952281,292008523,110064058,15,3078,6923449,10443359,4394023,74177.0,111028832.0,281565164.0,105670035.0,2635,5180989,9334626,3866330,71542.0,105847843.0,272230538.0,101803705.0,1829,39,2632641,18418897,2819095,75426.0,115319640.0,273589626.0,107244963.0,991,1471566,8507886,1520569,74435.0,113848074.0,265081740.0,105724394.0,1142,1709408,9105492,1727552,73293.0,112138666.0,255976248.0,103996842.0,1599,2407654,11747349,2409409,71694.0,109731012.0,244228899.0,101587433.0,3162,4792089,22168855,4771548,70131.0,107346577.0,233807393.0,99225294.0,3815,5840075,24124137,5729986,67879.0,103890937.0,220104762.0,95857447.0,5775,8885598,35043561,8630028,65919.0,100845414.0,209185338.0,92957405.0,4028,6273279,21670056,5942733,63851.0,97617658.0,198434706.0,89914714.0
8,stad3-26-xy6_cebp_segm_cell1.tif,-3.0,46314,443.9632940363605,1533.4841300686617,60238516,104814807,53553769,7,875,1580918,1741557,1007620,45439.0,58657598.0,103073250.0,52546149.0,937,1500124,1840186,1090867,44502.0,57157474.0,101233064.0,51455282.0,617,36,735213,3546433,742685,45697.0,59503303.0,101268374.0,52811084.0,578,703152,2947694,690793,45119.0,58800151.0,98320680.0,52120291.0,707,862548,3231943,838273,44412.0,57937603.0,95088737.0,51282018.0,1073,1320242,4299890,1267661,43339.0,56617361.0,90788847.0,50014357.0,2165,2671693,8095672,2543945,42261.0,55278259.0,87076468.0,48754087.0,2732,3398644,8785433,3180346,40649.0,53255745.0,82214845.0,46881079.0,4194,5243546,12788040,4869061,39217.0,51437086.0,78322861.0,45225568.0,3022,3828408,7964131,3483325,37692.0,49484119.0,74476179.0,43469076.0
9,stad3-26-xy6_cebp_segm_cell2.tif,-3.0,44295,957.6974602099559,1801.0302517214132,61675835,115560520,53184482,15,1688,3144485,4187929,1991264,42607.0,58531350.0,111372591.0,51193218.0,2097,3522601,5195298,2489390,40510.0,55008749.0,106177293.0,48703828.0,1076,38,1316696,7153884,1346839,43219.0,60359139.0,108406636.0,51837643.0,789,985004,4410026,984059,42430.0,59374135.0,103996610.0,50853584.0,935,1169727,4657317,1163299,41495.0,58204408.0,99339293.0,49690285.0,1349,1697933,5853058,1667277,40146.0,56506475.0,93486235.0,48023008.0,2719,3434063,11022421,3348270,38794.0,54786280.0,88400479.0,46362991.0,3323,4242616,11551160,4055918,36877.0,52310905.0,82152818.0,44030603.0,5059,6488127,16582668,6167063,35180.0,50098899.0,77232291.0,41967758.0,3574,4648017,9916536,4333398,33390.0,47737036.0,72457665.0,39805281.0
10,stad3-26-xy7_cebp_segm_cell1.tif,-3.0,68488,423.2581036093914,1324.06761768485,79986501,225927657,76443656,17,1800,2764076,4722443,1914274,66688.0,77222425.0,221205214.0,74529382.0,2138,2863013,5925719,2342810,64550.0,74359412.0,215279495.0,72186572.0,984,44,1113856,11163121,1195611,67504.0,78872645.0,214764536.0,75248045.0,809,914437,7878874,965687,66695.0,77958208.0,206885662.0,74282358.0,965,1094843,8439613,1132059,65730.0,76863365.0,198446049.0,73150299.0,1373,1569055,10443125,1590557,64357.0,75294310.0,188002924.0,71559742.0,2807,3214371,19825291,3240576,62926.0,73651591.0,178655902.0,69913425.0,3501,4043202,20883741,4019056,60868.0,71261407.0,167255622.0,67555475.0,5352,6204351,29751904,6122919,59026.0,69107989.0,158479435.0,65462497.0,3828,4485471,17397557,4334745,57063.0,66795676.0,150066459.0,63248411.0
11,stad3-26-xy8_cebp_segm_cell1.tif,-3.0,46972,456.3011155582049,251.87479775185216,67228923,183346705,70132084,8,1052,1870317,3139055,1528882,45920.0,65358606.0,180207650.0,68603202.0,1040,1743104,3372435,1516955,44880.0,63615502.0,176835215.0,67086247.0,264,11,411906,2422794,417183,46708.0,66817017.0,180923911.0,69714901.0,198,308152,1681804,313435,46510.0,66508865.0,179242107.0,69401466.0,238,371694,1919481,377362,46272.0,66137171.0,177322626.0,69024104.0,348,546915,2650181,552789,45924.0,65590256.0,174672445.0,68471315.0,706,1109755,5216440,1122389,45566.0,65027416.0,172106186.0,67901715.0,872,1371234,6028086,1386114,45052.0,64219022.0,168644359.0,67085201.0,1339,2106079,8997217,2127030,44585.0,63484177.0,165675228.0,66344285.0,967,1522824,5997765,1532144,44085.0,62696198.0,162646594.0,65553057.0
12,stad3-26-xy8_cebp_segm_cell2.tif,-3.0,69099,382.9190002749678,684.7275503263434,101401222,186990468,93672225,17,4248,9015091,13138240,5909354,64851.0,92386131.0,173852228.0,87762871.0,3389,6443129,10508737,4718706,61462.0,85943002.0,163343491.0,83044165.0,243,19,357290,1361492,321995,68856.0,101043932.0,185628976.0,93350230.0,248,356130,1296073,327434,68608.0,100687802.0,184332903.0,93022796.0,311,445036,1531104,412019,68297.0,100242766.0,182801799.0,92610777.0,473,677605,2166561,626195,67824.0,99565161.0,180635238.0,91984582.0,963,1381515,4260198,1274624,67334.0,98861251.0,178541601.0,91336153.0,1225,1755608,5022881,1617825,66599.0,97809553.0,175612357.0,90366757.0,1894,2718034,7544001,2499780,65930.0,96847127.0,173091237.0,89484802.0,1398,2011248,5160101,1843959,65201.0,95798305.0,170452256.0,88522798.0
13,stad3-26-xy8_cebp_segm_cell3.tif,-3.0,65854,633.4049564187445,1343.0897591642117,102960395,252894097,91411260,20,2387,5075242,8381131,3264667,63467.0,97885153.0,244512966.0,88146593.0,2715,5239428,9749186,3741842,60752.0,92645725.0,234763780.0,84404751.0,289,24,439102,2931356,429171,65565.0,102521293.0,249962741.0,90982089.0,334,508958,3070016,498624,65231.0,102012335.0,246892725.0,90483465.0,425,651172,3650779,634531,64806.0,101361163.0,243241946.0,89848934.0,650,1005726,5142150,963931,64156.0,100355437.0,238099796.0,88885003.0,1341,2080839,10184034,1981750,63465.0,99280324.0,233057912.0,87867184.0,1708,2669179,11868567,2494840,62448.0,97686258.0,226231229.0,86390163.0,2651,4158470,17747133,3850837,61505.0,96196967.0,220352663.0,85034166.0,1948,3083928,11756975,2789986,60500.0,94602330.0,214474254.0,83600177.0
14,stad3-26-xy8_cebp_segm_cell4.tif,-3.0,45488,1450.6928420682377,1622.870691171298,68533365,154979208,67155213,7,733,1537130,2714995,1105831,44755.0,66996235.0,152264213.0,66049382.0,815,1563560,3042528,1243003,43940.0,65432675.0,149221685.0,64806379.0,246,12,390829,2121410,395707,45242.0,68142536.0,152857798.0,66759506.0,204,324070,1605664,324724,45038.0,67818466.0,151252134.0,66434782.0,248,393363,1855841,394606,44790.0,67425103.0,149396293.0,66040176.0,365,582609,2583259,581165,44425.0,66842494.0,146813034.0,65459011.0,731,1170711,5023191,1162859,44059.0,66254392.0,144373102.0,64877317.0,909,1467656,5828245,1442617,43516.0,65374838.0,140984789.0,64016394.0,1395,2256489,8701025,2207322,43030.0,64586005.0,138112009.0,63251689.0,1011,1647009,5838394,1586675,42505.0,63727829.0,135146395.0,62429719.0
15,stad3-26-xy8_cebp_segm_cell5.tif,-3.0,38452,1045.9411994174554,1689.0024446062623,60303543,142378370,57125826,5,418,964152,1816488,641931,38034.0,59339391.0,140561882.0,56483895.0,561,1183246,2325614,865727,37473.0,58156145.0,138236268.0,55618168.0,81,3,154004,1346308,133785,38371.0,60149539.0,141032062.0,56992041.0,45,85686,630804,73959,38326.0,60063853.0,140401258.0,56918082.0,53,100460,687621,86922,38273.0,59963393.0,139713637.0,56831160.0,78,147374,944108,126586,38195.0,59816019.0,138769529.0,56704574.0,155,292112,1788944,251012,38118.0,59671281.0,137924693.0,56580148.0,188,354806,1962021,302175,38007.0,59461213.0,136807508.0,56402399.0,289,545572,2894359,464016,37906.0,59270447.0,135875170.0,56240558.0,210,396138,1871333,337586,37797.0,59065075.0,134936175.0,56064813.0
16,stad3-26-xy9_cebp_segm_cell2.tif,-3.0,35306,1320.866170056081,589.4194754432674,60987573,131459044,54219127,3,162,401215,811697,274568,35144.0,60586358.0,130647347.0,53944559.0,230,532815,1169714,383079,34914.0,60053543.0,129477633.0,53561480.0,69,13,161072,543068,118192,35237.0,60826501.0,130915976.0,54100935.0,111,264966,862202,192119,35126.0,60561535.0,130053774.0,53908816.0,151,358248,1152237,261136,34975.0,60203287.0,128901537.0,53647680.0,243,577598,1801859,417965,34732.0,59625689.0,127099678.0,53229715.0,500,1188291,3650788,858501,34475.0,59014996.0,125250749.0,52789179.0,633,1504456,4473388,1084741,34099.0,58121233.0,122626290.0,52144974.0,982,2334289,6843383,1680824,33750.0,57291400.0,120256295.0,51548891.0,722,1715569,4844712,1233930,33377.0,56405664.0,117781578.0,50911044.0
17,stad3-26-xy9_cebp_segm_cell3.tif,-3.0,36868,733.0781707714007,618.8618313985028,60596720,115539375,58158144,3,398,1078373,2152758,692334,36470.0,59518347.0,113386617.0,57465810.0,372,963420,2105859,650756,36098.0,58554927.0,111280758.0,56815054.0,51,5,121307,401654,90869,36817.0,60475413.0,115137721.0,58067275.0,76,177332,568212,132558,36741.0,60298081.0,114569509.0,57934717.0,92,214529,673720,162290,36649.0,60083552.0,113895789.0,57772427.0,132,309793,946240,234955,36517.0,59773759.0,112949549.0,57537472.0,272,639765,1916051,485891,36377.0,59443787.0,111979738.0,57286536.0,348,822888,2357986,624260,36169.0,58950871.0,110591563.0,56913212.0,536,1270574,3574991,962769,35981.0,58503185.0,109374558.0,56574703.0,392,936704,2506019,705839,35777.0,58014167.0,108085544.0,56207373.0
18,stad3-26-xy9_cebp_segm_cell4.tif,-3.0,105269,180.36888352696425,850.7447966637851,152968690,496220750,167236820,24,3373,6656768,13951589,5382427,101896.0,146311922.0,482269161.0,161854393.0,3396,6064179,14715346,5517007,98500.0,140247743.0,467553815.0,156337386.0,3576,55,4906274,36291175,5963051,101693.0,148062416.0,459929575.0,161273769.0,1701,2402350,14985515,2857259,99992.0,145660066.0,444944060.0,158416510.0,1902,2698781,15899638,3181082,98090.0,142961285.0,429044422.0,155235428.0,2547,3632770,20030530,4204484,95543.0,139328515.0,409013892.0,151030944.0,5048,7221322,38532592,8313010,93052.0,135749403.0,390547375.0,146936661.0,5992,8622411,42787805,9812378,89590.0,130742604.0,366366072.0,141271652.0,8992,12958606,62390675,14733269,86619.0,126433606.0,346860821.0,136388420.0,6130,8875989,39096023,10065361,83528.0,121929623.0,327504040.0,131294763.0
19,stad3-26-xy9_cebp_segm_cell5.tif,-3.0,63543,510.6736697984042,1689.3290055552932,102470437,192094585,72578253,12,1770,3911213,4664615,2047940,61773.0,98559224.0,187429970.0,70530313.0,1733,3456883,4785340,2022329,60040.0,95102341.0,182644630.0,68507984.0,1054,24,1635105,7153090,1262597,62489.0,100835332.0,184941495.0,71315656.0,605,976810,3738372,724227,61884.0,99858522.0,181203123.0,70591429.0,696,1135053,4059358,825236,61188.0,98723469.0,177143765.0,69766193.0,982,1614367,5339627,1160820,60206.0,97109102.0,171804138.0,68605373.0,1955,3224008,10271330,2308343,59233.0,95499461.0,166872435.0,67457850.0,2366,3927968,11486490,2782944,57840.0,93181134.0,160317648.0,65822429.0,3594,5984672,16904378,4225967,56612.0,91124430.0,154899760.0,64379406.0,2528,4239462,10846873,2971405,55312.0,88941672.0,149470775.0,62851024.0
20,stad3-26-xy9_cebp_segm_cell6.tif,-3.0,87418,1235.974307350889,1908.965922350088,132915754,422216135,122408532,22,2526,5074905,11494000,3535644,84892.0,127840849.0,410722135.0,118872888.0,3062,5604448,14464850,4361180,81830.0,122236401.0,396257285.0,114511708.0,2772,31,4100492,32508869,4103784,84646.0,128815262.0,389707266.0,118304748.0,1177,1761342,12307055,1736442,83469.0,127053920.0,377400211.0,116568306.0,1291,1934140,12805855,1892131,82178.0,125119780.0,364594356.0,114676175.0,1713,2568787,15899376,2500018,80465.0,122550993.0,348694980.0,112176157.0,3361,5057199,30237675,4907122,78817.0,120062581.0,334356681.0,109769053.0,3980,6019929,33262877,5793980,76485.0,116531064.0,315432103.0,106382177.0,5957,9027760,48258560,8660136,74508.0,113523233.0,300436420.0,103516021.0,4024,6134352,29660626,5828356,72461.0,110396712.0,285771477.0,100553821.0
21,stad3-27-xy1_cebp_segm_cell1.tif,-1.0,44271,581.2236452756883,396.71493754376456,175473563,135709326,83666660,2,134,782548,603067,277036,44137.0,174691015.0,135106259.0,83389624.0,146,792233,653283,304881,43991.0,173898782.0,134452976.0,83084743.0,687,15,2932644,3499375,1308916,43584.0,172540919.0,132209951.0,82357744.0,370,1578045,1787797,710470,43214.0,170962874.0,130422154.0,81647274.0,426,1819330,2006458,813871,42788.0,169143544.0,128415696.0,80833403.0,605,2585869,2750846,1157428,42183.0,166557675.0,125664850.0,79675975.0,1199,5120225,5371675,2294538,41589.0,164023319.0,123044021.0,78538865.0,1453,6212471,6285955,2776333,40730.0,160345204.0,119378895.0,76899642.0,2215,9471290,9440287,4234100,39968.0,157086385.0,116224563.0,75441875.0,1579,6757652,6448760,3017597,39151.0,153587552.0,112930135.0,73882045.0
22,stad3-27-xy1_cebp_segm_cell10.tif,-1.0,36230,1033.559701904499,1863.0248964946177,139856223,110155285,75868619,11,1933,11413061,5212921,4125841,34297.0,128443162.0,104942364.0,71742778.0,1768,8933248,5003137,3775080,32529.0,119509914.0,99939227.0,67967698.0,333,9,1238432,3213250,840031,35897.0,138617791.0,106942035.0,75028588.0,206,787943,1754525,539294,35691.0,137829848.0,105187510.0,74489294.0,238,913098,1882462,629403,35453.0,136916750.0,103305048.0,73859891.0,343,1333589,2481856,953070,35110.0,135583161.0,100823192.0,72906821.0,671,2621942,4634708,1832274,34782.0,134294808.0,98670340.0,72027617.0,805,3191872,4990649,2175851,34305.0,132391289.0,95832543.0,70730970.0,1214,4836409,7210272,3210869,33896.0,130746752.0,93612920.0,69695952.0,846,3421121,4435792,2110552,33459.0,128970168.0,91396751.0,68620418.0
23,stad3-27-xy1_cebp_segm_cell2.tif,-1.0,44216,1286.7752171159761,534.6734666184186,321681561,178630926,114548485,11,1159,13782815,5382126,2917138,43057.0,307898746.0,173248800.0,111631347.0,1532,17162016,7191301,3922902,41525.0,290736730.0,166057499.0,107708445.0,115,23,1145405,802831,297397,44101.0,320536156.0,177828095.0,114251088.0,203,2038218,1386194,521223,43898.0,318497938.0,176441901.0,113729865.0,289,2936693,1906127,739242,43609.0,315561245.0,174535774.0,112990623.0,473,4851958,2984526,1201979,43136.0,310709287.0,171551248.0,111788644.0,981,10076963,6033629,2487495,42628.0,305484282.0,168502145.0,110503128.0,1242,12807326,7251134,3130340,41894.0,297901961.0,164300114.0,108658304.0,1908,19684985,10914167,4796315,41229.0,291027024.0,160640646.0,106995163.0,1360,14028893,7361705,3401768,40541.0,283891909.0,156961015.0,105275897.0
24,stad3-27-xy1_cebp_segm_cell4.tif,-1.0,39480,361.53214285714284,954.088475177305,162544103,112035417,72257414,8,1252,8038405,3903938,2381079,38228.0,154505698.0,108131479.0,69876335.0,1197,6751140,3860351,2282788,37031.0,147754558.0,104271128.0,67593547.0,300,10,1224884,2121090,567885,39180.0,161319219.0,109914327.0,71689529.0,197,806347,1240386,372561,38983.0,160512872.0,108673941.0,71316968.0,233,963870,1385566,439176,38750.0,159549002.0,107288375.0,70877792.0,342,1420204,1890272,645054,38408.0,158128798.0,105398103.0,70232738.0,683,2841241,3652389,1288402,38067.0,156707761.0,103635986.0,69589390.0,843,3521355,4168157,1584586,37565.0,154607443.0,101229946.0,68648152.0,1292,5410046,6189488,2427494,37116.0,152718752.0,99208615.0,67805244.0,934,3941138,4091986,1750225,36631.0,150666305.0,97137960.0,66897927.0
25,stad3-27-xy1_cebp_segm_cell5.tif,-1.0,53902,1599.0649512077473,971.036510704612,277500034,220680270,116614548,7,825,7468237,3777488,1768470,53077.0,270031797.0,216902782.0,114846078.0,904,7316413,4263454,1960581,52173.0,262715384.0,212639328.0,112885497.0,170,14,898303,2327627,391770,53732.0,276601731.0,218352643.0,116222778.0,195,1025814,2456222,448631,53537.0,275575917.0,215896421.0,115774147.0,245,1291473,2850369,560978,53292.0,274284444.0,213046052.0,115213169.0,370,1956669,3877653,836628,52922.0,272327775.0,209168399.0,114376541.0,751,3974747,7371653,1686869,52541.0,270309697.0,205674399.0,113526300.0,947,5048647,8032618,2102513,51975.0,267279128.0,201135781.0,112274028.0,1459,7804819,11636331,3223911,51463.0,264522956.0,197532068.0,111152630.0,1066,5755643,7149482,2329651,50909.0,261523485.0,193986299.0,109944377.0
26,stad3-27-xy1_cebp_segm_cell6.tif,-1.0,36858,1741.7648271745618,1137.2671875847848,152766436,100350254,75208597,5,412,2620256,1248202,826331,36446.0,150146180.0,99102052.0,74382266.0,508,2981133,1581967,1028280,35938.0,147165047.0,97520085.0,73353986.0,47,7,218999,329144,100659,36811.0,152547437.0,100021110.0,75107938.0,65,297066,428464,137177,36746.0,152250371.0,99592646.0,74970761.0,85,389998,538874,179917,36661.0,151860373.0,99053772.0,74790844.0,139,632473,828728,294187,36522.0,151227900.0,98225044.0,74496657.0,284,1295909,1648183,600957,36377.0,150564464.0,97405589.0,74189887.0,367,1681766,1996870,775057,36155.0,149546134.0,96228174.0,73721600.0,572,2629624,3032054,1203770,35950.0,148598276.0,95192990.0,73292887.0,430,1994792,2121820,899875,35725.0,147551342.0,94106354.0,72821725.0
27,stad3-27-xy1_cebp_segm_cell7.tif,-1.0,36431,402.6436551288738,1395.1991984848069,151053631,118690737,73237326,7,896,6523148,2569282,1733953,35535.0,144530483.0,116121455.0,71503373.0,910,5547274,2611066,1783766,34625.0,138983209.0,113510389.0,69719607.0,227,17,861361,2341424,470583,36204.0,150192270.0,116349313.0,72766743.0,255,997023,2466997,532246,35949.0,149195247.0,113882316.0,72234497.0,319,1261992,2863534,667405,35630.0,147933255.0,111018782.0,71567092.0,482,1920191,3903880,1015755,35148.0,146013064.0,107114902.0,70551337.0,976,3909861,7442526,2068034,34654.0,144023394.0,103576256.0,69499058.0,1228,4964282,8119546,2643143,33920.0,141048782.0,98995356.0,67908194.0,1886,7661598,11730270,4053024,33262.0,138351466.0,95384632.0,66498313.0,1370,5641360,7135998,2926003,32550.0,135407422.0,91859358.0,64982191.0
28,stad3-27-xy1_cebp_segm_cell8.tif,-1.0,38280,1486.6488766980146,1488.5368077324974,158039703,171423671,153458596,5,827,6560291,4775753,3828915,37453.0,151479412.0,166647918.0,149629681.0,679,4268845,3796504,3731122,36774.0,147210567.0,162851414.0,145898559.0,142,19,574838,1691001,715387,38138.0,157464865.0,169732670.0,152743209.0,195,802949,2115932,965431,37943.0,156661916.0,167616738.0,151777778.0,256,1051275,2582850,1222434,37687.0,155610641.0,165033888.0,150555344.0,403,1660482,3705273,1947894,37284.0,153950159.0,161328615.0,148607450.0,830,3427999,7222089,4043759,36857.0,152182642.0,157811799.0,146511585.0,1061,4404650,8184253,5374111,36223.0,149545509.0,153144362.0,143233339.0,1639,6813977,12047670,8236795,35645.0,147136182.0,149280945.0,140370655.0,1206,5024542,7761496,5844379,35017.0,144520967.0,145382866.0,137388960.0
