,cebp_used_number,dapi_used_number
0,9,22
1,29,34
2,20,21
3,8,23
4,29,29
5,17,9
6,0,1
7,14,8
8,7,21
9,28,28
10,35,14
11,22,15
12,31,13
13,6,8
14,5,7
15,20,14
16,10,16
17,14,14
18,9,9
19,9,8
20,23,23
21,29,21
22,17,27
23,15,41
24,9,40
25,14,39
26,15,21
27,22,22
28,16,22
29,33,32
30,27,21
31,9,14
32,15,27
33,32,32
34,38,19
35,20,14
36,41,20
37,14,14
38,22,14
39,19,27
40,14,13
41,8,20
42,8,15
43,15,8
44,15,26
45,26,19
46,33,13
47,8,20
48,8,14
49,16,41
50,19,38
51,17,41
52,14,8
53,14,14
54,15,14
55,15,27
56,15,16
57,8,9
58,15,22
59,27,9
60,15,8
61,20,22
62,20,29
63,14,16
64,20,10
65,14,15
66,6,23
67,13,14
68,18,9
69,0,0
70,20,16
71,12,14
72,20,22
73,26,20
74,20,8
75,6,21
76,18,13
77,25,14
78,25,16
79,7,9
80,14,9
81,6,8
82,7,9
83,20,14
84,13,22
85,13,9
86,14,14
87,0,2
88,14,9
89,13,9
90,6,10
91,7,8
92,6,7
93,32,10
94,13,15
95,7,9
96,13,7
97,7,8
98,15,28
99,15,8
100,14,15
101,28,35
102,14,14
103,15,8
104,8,27
105,7,14
106,13,9
107,7,26
108,8,7
