,cebp_used_number,dapi_used_number
0,6,7
1,13,14
2,7,15
3,24,12
4,19,13
5,14,8
6,19,13
7,12,13
8,6,7
9,19,7
10,28,29
11,28,35
12,35,27
13,8,22
14,7,14
15,16,16
16,15,16
17,15,9
18,15,8
19,15,8
20,14,14
21,20,15
22,29,15
23,34,8
24,7,9
25,7,8
26,14,8
27,7,21
28,8,8
29,8,15
30,35,23
31,15,8
32,8,15
33,23,16
34,15,28
35,15,28
36,28,22
37,20,21
38,14,21
39,41,28
40,39,40
41,7,15
42,20,14
43,14,29
44,9,9
45,9,8
46,16,8
47,16,22
48,28,15
49,22,8
50,14,8
51,34,15
52,21,15
53,34,22
54,15,8
55,22,15
56,14,21
57,20,14
58,23,16
59,14,14
60,14,8
61,8,8
62,7,34
63,7,20
64,19,33
65,20,20
66,18,6
67,22,26
68,13,21
69,0,0
70,7,13
71,6,39
72,31,19
73,0,0
74,32,13
75,18,24
76,0,0
77,6,27
78,19,33
79,6,19
80,0,5
81,0,0
82,29,20
83,25,13
84,13,13
85,20,20
86,14,26
87,13,21
88,14,13
89,13,13
90,6,27
91,7,7
92,0,5
93,7,13
94,5,5
95,6,26
96,31,19
97,19,7
98,13,7
99,12,13
100,7,14
101,5,5
102,7,7
103,19,13
104,20,33
105,6,33
106,12,32
107,7,7
108,7,7
109,24,14
110,18,22
111,12,35
112,12,8
113,19,21
114,6,7
115,6,15
116,6,7
117,6,14
118,26,21
119,6,21
120,6,7
121,18,26
122,20,7
123,7,14
124,26,13
125,12,13
126,18,12
127,14,21
128,13,13
129,19,26
130,21,21
131,5,5
132,36,24
133,6,20
134,18,26
135,6,32
136,6,26
137,25,13
138,13,33
139,13,33
140,13,33
141,13,20
142,30,18
143,18,19
144,19,13
145,36,13
146,18,26
147,0,5
148,30,19
149,24,27
150,30,13
151,24,19
152,12,33
153,36,13
154,5,5
155,15,13
156,7,14
157,26,12
158,6,14
159,24,12
160,12,13
161,13,21
162,18,31
163,18,12
164,13,13
165,5,5
166,30,37
167,12,12
168,20,41
169,8,34
170,13,13
171,12,13
172,12,13
173,5,5
174,6,21
175,30,27
176,36,19
177,19,13
178,6,8
179,5,5
180,5,5
181,15,14
182,19,14
183,36,31
184,7,7
185,13,13
186,13,13
187,7,14
188,13,14
189,20,14
190,7,27
191,12,21
192,13,14
193,7,14
194,13,7
195,20,14
196,21,6
197,5,5
198,13,13
199,14,21
200,14,7
201,14,8
202,20,8
203,8,8
204,7,15
205,14,8
206,14,15
207,7,14
208,14,8
209,13,14
210,5,5
211,7,7
212,20,40
213,27,20
214,7,7
215,6,13
216,13,13
217,12,25
218,7,5
219,14,13
220,5,5
221,5,5
222,5,5
223,6,39
224,26,33
225,12,19
226,31,13
227,6,6
228,6,14
229,5,5
230,19,14
231,6,14
232,18,27
233,20,15
234,14,21
235,5,5
236,5,5
237,33,21
238,14,14
239,13,19
240,14,14
241,39,26
242,23,14
243,22,28
244,21,15
245,7,8
246,20,7
247,21,14
248,14,21
249,40,27
250,5,5
251,5,5
252,13,32
253,5,5
254,5,5
255,13,13
256,5,5
257,26,19
258,14,26
259,14,7
260,21,14
261,14,21
262,20,34
263,5,5
264,13,13
265,19,14
266,5,5
267,22,13
268,5,5
269,24,27
270,18,6
271,24,12
272,12,20
273,37,14
274,19,20
275,15,21
276,18,27
277,19,9
278,30,32
279,19,14
280,20,14
281,34,27
282,21,33
283,20,14
284,14,8
285,7,21
286,14,39
287,21,14
288,14,28
289,21,22
290,7,14
291,15,8
292,7,14
293,13,7
