,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
0,1,44564,878,174,-3.0,62284933,173551047,53114370
0,1,54207,889,575,-3.0,88347088,197379076,63531125
1,2,91570,1535,1624,-3.0,187271923,523272627,177121669
0,1,55377,528,302,-3.0,69673120,138283133,56079660
1,2,109351,1534,168,-3.0,215435433,447226399,142149820
0,1,35734,152,1200,-3.0,51498839,132670988,51739680
0,1,77605,275,1144,-3.0,97657688,235939936,97932823
1,2,55117,620,110,-3.0,74885926,201737721,78182659
2,3,77255,722,1488,-3.0,117952281,292008523,110064058
3,4,34233,1664,315,-3.0,44573220,84282740,48253304
0,1,46314,1533,443,-3.0,60238516,104814807,53553769
1,2,44295,1801,957,-3.0,61675835,115560520,53184482
0,1,68488,1324,423,-3.0,79986501,225927657,76443656
0,1,46972,251,456,-3.0,67228923,183346705,70132084
1,2,69099,684,382,-3.0,101401222,186990468,93672225
2,3,65854,1343,633,-3.0,102960395,252894097,91411260
3,4,45488,1622,1450,-3.0,68533365,154979208,67155213
4,5,38452,1689,1045,-3.0,60303543,142378370,57125826
0,1,32415,491,504,-3.0,53455828,100076265,52102438
1,2,35306,589,1320,-3.0,60987573,131459044,54219127
2,3,36868,618,733,-3.0,60596720,115539375,58158144
3,4,105269,850,180,-3.0,152968690,496220750,167236820
4,5,63543,1689,510,-3.0,102470437,192094585,72578253
5,6,87418,1908,1235,-3.0,132915754,422216135,122408532
0,1,44271,396,581,-1.0,175473563,135709326,83666660
1,2,44216,534,1286,-1.0,321681561,178630926,114548485
2,3,67623,978,661,-1.0,312962066,255911118,146970052
3,4,39480,954,361,-1.0,162544103,112035417,72257414
4,5,53902,971,1599,-1.0,277500034,220680270,116614548
5,6,36858,1137,1741,-1.0,152766436,100350254,75208597
6,7,36431,1395,402,-1.0,151053631,118690737,73237326
7,8,38280,1488,1486,-1.0,158039703,171423671,153458596
8,9,36889,1648,383,-1.0,145594657,128352260,83087895
9,10,36230,1863,1033,-1.0,139856223,110155285,75868619
0,1,29813,87,1458,-1.0,115381406,100444235,60973953
1,2,34864,309,472,-1.0,147483705,96331727,60290565
2,3,62278,319,1513,-1.0,272285586,256588970,161855551
3,4,85610,636,198,-1.0,331155742,273105068,172751721
4,5,77768,698,1906,-1.0,395459092,429996739,232870755
5,6,36351,740,1279,-1.0,144177825,104162318,73136737
6,7,35177,798,712,-1.0,158831186,118264124,68099341
7,8,41428,879,1607,-1.0,141374422,152636988,100906495
8,9,39550,993,232,-1.0,181120000,122509678,76230337
9,10,54729,1246,1778,-1.0,231408930,264677995,170661550
10,11,35412,1547,351,-1.0,150678755,117362299,70666590
11,12,38875,1613,1320,-1.0,141656627,105135606,93768081
12,13,52776,1778,677,-1.0,174747097,169388156,116266934
13,14,41827,1751,401,-1.0,171810502,124027200,88747398
14,15,41171,1955,1246,-1.0,156402393,127128589,101796714
0,1,88161,154,1849,-1.0,282404722,411141772,235565803
1,2,33406,215,1567,-1.0,119750455,93527210,78513905
2,3,38312,268,569,-1.0,164418984,123420723,81951389
3,4,39974,297,238,-1.0,161563404,149088325,82101200
4,5,37985,548,88,-1.0,142777657,115532904,70522652
5,6,39399,553,1326,-1.0,137318756,138020346,97952112
6,7,44385,611,1052,-1.0,166883452,188670523,103501744
7,8,45704,611,711,-1.0,166869205,147546982,102592434
8,9,29687,639,1696,-1.0,116075260,97468469,75097239
9,10,35913,819,1299,-1.0,136942498,142403995,90163398
10,11,42779,899,103,-1.0,165570954,160580560,82984667
11,12,42689,930,450,-1.0,174187905,159681083,86348233
12,13,41487,970,1399,-1.0,143995672,130038780,99212184
13,14,38997,1034,703,-1.0,164249935,131967561,80326603
14,15,36421,1210,1359,-1.0,144634219,105049290,88004933
15,16,33266,1306,1692,-1.0,116370418,132172122,83471136
16,17,37779,1358,297,-1.0,149686201,110871488,70588352
