,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_gr,Intensity_IntegratedIntensityEdge_h3k4me1,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_gr,Intensity_IntegratedIntensity_h3k4me1,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_gr,Intensity_LowerQuartileIntensity_h3k4me1,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_gr,Intensity_MADIntensity_h3k4me1,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_gr,Intensity_MassDisplacement_h3k4me1,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_gr,Intensity_MaxIntensityEdge_h3k4me1,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_gr,Intensity_MaxIntensity_h3k4me1,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_gr,Intensity_MeanIntensityEdge_h3k4me1,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_gr,Intensity_MeanIntensity_h3k4me1,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_gr,Intensity_MedianIntensity_h3k4me1,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_gr,Intensity_MinIntensityEdge_h3k4me1,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_gr,Intensity_MinIntensity_h3k4me1,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_gr,Intensity_StdIntensityEdge_h3k4me1,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_gr,Intensity_StdIntensity_h3k4me1,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_gr,Intensity_UpperQuartileIntensity_h3k4me1,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_gr,Location_CenterMassIntensity_X_h3k4me1,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_gr,Location_CenterMassIntensity_Y_h3k4me1,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_gr,Location_CenterMassIntensity_Z_h3k4me1,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_gr,Location_MaxIntensity_X_h3k4me1,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_gr,Location_MaxIntensity_Y_h3k4me1,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_gr,Location_MaxIntensity_Z_h3k4me1,Number_Object_Number
580,30,4,40333,1520.0,79.0,1.0,1.0737493068404185,0.7264293591741611,1.0,0.7900530841707313,0.8389575541583693,273.111265100782,272.73430293969255,101.53324578678652,39.195891539476094,36.6742416417845,186.0,187.69329749686142,-4.794097578218698,777.257999999997,0.986040485038138,0.6903332818774081,0.023169969012186768,0.17709851113580696,0.0909904632644934,0.008907155681873525,0.0008837585653487109,0.03714185515361737,0.005217766968263692,0.023161337775040515,0.010777700411378243,0.006587106426074511,0.0008916174683964235,0.01633484398058909,0.027458677672282432,0.013960041814257642,0.008611647725462322,0.005079840986130263,0.004810165220708693,0.0008866381797423043,0.0016464205095279686,0.005674671692930066,0.00519007487628074,0.00887843874105662,0.010013849547129436,0.003937818073677728,0.006433509469973496,0.005128987819250192,0.0031364857696442863,0.0019691932194435733,0.000861188062390208,5.239993955474347,30.29562833532691,22.30600451119244,19.46968805231154,830.0309650520793,3186.3627265430987,2924.43485603109,3138.4585215058173,0.013550011441111565,0.07060349732637405,0.058289464563131325,0.0639658197760582,0.004730295389890671,0.00666818767786026,0.014007784426212309,0.01469443738460541,9.880233173184239,0.7264608423848664,7.335185912171624,6.476578589691317,0.031113145872950557,0.06095979362726212,0.0797436460852623,0.08902113139629364,0.11621271073818208,0.1427328884601593,0.16148622334003448,0.15211719274520874,0.009650080949308191,0.05579305402454311,0.041079197994829536,0.03585577910186287,0.02057945020335902,0.07900138166124758,0.07250724855654403,0.07781366428249369,0.01751735806465149,0.07774471491575241,0.07359426468610764,0.0800183117389679,0.00555428396910429,0.05146868154406548,0.026016632094979286,0.01893644593656063,0.00553902518004179,0.05146868154406548,0.026016632094979286,0.01893644593656063,0.004341208823526193,0.0015021218765823455,0.013047873016975905,0.01620222249337386,0.01202399460167192,0.01391738651488485,0.020711889857411372,0.02333913893977922,0.02371251955628395,0.08401617407798767,0.08645761758089067,0.09355306625366212,1516.0803706105896,1506.576774664387,1513.285167684794,1512.605090799242,86.42258256859688,87.82967704101215,85.93137794153448,86.58828725267921,0.0,0.0,0.0,0.0,1506.4299457020306,88.54114496814024,0,1573.0,1504.0,1549.0,1576.0,51.0,37.0,98.0,52.0,0.0,0.0,0.0,0.0,4
582,30,6,32038,719.0,249.0,1.0,1.0071956145017784,0.4563284638975675,1.0,0.7861121334805545,0.8876649453986376,213.715387273458,215.17667159801502,95.07891459203769,33.416129764239386,29.427877939124322,190.39046565352137,190.1663886078625,27.662106421599933,673.4619999999975,0.9891629874340055,0.8805589550744847,0.0004673275950843461,0.09959502079249906,0.04540212903651319,0.0008713350381183595,0.005405736170622472,0.06713755107662403,0.02529489050242791,0.00799835403267079,0.001862585737751852,0.0019701165881761376,0.0007852698512505901,0.033084197297846965,0.005731042481010764,0.008287137896834341,0.002292218051756301,0.002338396938082105,0.00044458619769765763,0.0014362212978193615,0.0017283885623335905,0.00722574539868921,0.007930290360814666,0.006837920945918817,0.0032124441303135673,0.0016156506363785405,0.002011994238873437,0.0011736074655447689,0.001278412482002983,0.001122611455099893,0.0025249785115565343,5.018860221374781,32.468146845698364,19.049347756430507,19.03724731504917,616.3667543474585,3003.381905764341,1626.9368002153933,2613.548427220434,0.014450293965637684,0.07747768610715866,0.04132143035531044,0.06693369895219803,0.0038605323061347008,0.0160219743847847,0.009140152484178543,0.0156862735748291,6.704581236170026,1.1839466097850606,3.648234820000903,6.1744098881725815,0.0161440446972847,0.0628519132733345,0.06099031120538712,0.07223621010780333,0.07751583307981491,0.16173037886619568,0.13682764768600464,0.16850538551807406,0.008698197957321976,0.056270618450083805,0.03301446751547748,0.0329934962132568,0.01923861521778696,0.093744363123926,0.050781472008720685,0.08157651623760641,0.018677042797207832,0.09149309247732162,0.05076676607131958,0.08709849417209625,0.004852368962019682,0.052002746611833565,0.024109255522489548,0.018097199499607086,0.004852368962019682,0.052002746611833565,0.0237582977861166,0.018097199499607086,0.0024467386134356464,0.0017991454501080676,0.0059147465374927675,0.012863838237528196,0.008313907258364431,0.021475630677880837,0.012844127304306159,0.026522995860531043,0.02224765345454216,0.1093308925628662,0.059464409947395325,0.10049591958522797,712.6433481750267,716.2423781841001,713.7332657885236,712.8992751631403,241.25829025973903,248.27732857447015,244.1494004266648,241.72299421977704,0.0,0.0,0.0,0.0,715.672326612148,247.23965291216683,0,728.0,703.0,745.0,722.0,235.0,258.0,211.0,238.0,0.0,0.0,0.0,0.0,6
583,30,7,31455,1114.0,348.0,1.0,1.011782060029119,0.3991483413133301,1.0,0.8030790441176471,0.7722069273057712,209.4051247517247,220.91174708466727,92.19544457292886,32.19175373844201,28.16025568065745,187.0412393466116,192.00070310971626,82.59823782732035,715.4559999999979,0.9696213066999584,0.8056768225309029,0.05764109954740323,0.14067717754065914,0.025339504948896682,0.017842831689739484,0.017411809547285106,0.06831733495425317,0.0047186226775526,0.017251787760120794,0.01437545902383304,0.010861412852762582,0.0026250785606769353,0.016096288463154387,0.009742185590332644,0.004286827238551109,0.007693347431828414,0.01929882649716053,0.006894084849920525,0.0018116013174483648,0.008989746649140377,0.002885837735928634,0.004223456724323868,0.004912666923798958,0.003996193871171546,0.0031723998976593702,0.007354373424970809,0.007824559541634048,0.002234898212618289,0.0038238919968852383,0.006789941655816571,5.277851606253535,34.787884443998344,24.658716827631,19.205630657263104,396.4388685487212,2932.1889849342406,2082.9085556585337,1955.211141938344,0.010193026624619959,0.07366674393415451,0.051224537193775184,0.04658197984099388,0.0021972991526126857,0.016365304589271545,0.014312960207462309,0.013900972902774809,6.499834517383037,0.7712571947238467,8.384179320558305,6.1619586387507415,0.01576256938278675,0.05970855429768562,0.06684977561235428,0.09130998700857162,0.03392080590128898,0.18442054092884064,0.1446860432624817,0.1250782012939453,0.008444562570005655,0.05566061511039734,0.0394539469242096,0.030729009051620963,0.012603365714472138,0.09321853393528026,0.06621867924522443,0.06215899354437589,0.012268253602087498,0.09093613922595978,0.06800945848226547,0.06607156246900557,0.005294880829751492,0.05111772194504738,0.019363699480891228,0.01425192691385746,0.004882887005805968,0.05111772194504738,0.019363699480891228,0.013992522843182087,0.0017835949718524148,0.0013526576011424474,0.011044844206111643,0.010424764747841948,0.003667769290479125,0.02573881380385056,0.020472442219231283,0.020567213438951886,0.01463340222835541,0.10611123591661452,0.08036927133798599,0.07673761993646623,1114.4887441938845,1113.9575731143325,1114.7911697161521,1114.36955358181,343.8999902091581,350.88362172348747,342.0400712199085,344.223188996294,0.0,0.0,0.0,0.0,1113.437354951518,350.3142266730249,0,1095.0,1131.0,1097.0,1076.0,289.0,344.0,317.0,323.0,0.0,0.0,0.0,0.0,7
584,30,8,32503,1298.0,466.0,1.0,1.0111326589607486,0.4874356821203846,1.0,0.7689923581044313,0.8261841892969425,217.46902365513387,221.35265979879256,94.36630754670864,33.20479809596939,29.206163733020468,191.71727033027688,189.88501237627958,5.353279806838494,703.1179999999974,0.9817116450458342,0.8446252815994244,0.07114349396193535,0.11130651491964892,0.042790348428523126,0.027049203373884632,0.009985196612936656,0.053391317680990084,0.012570156827936843,0.010993534198703258,0.00969628635836588,0.010621868531660365,0.0018416100034708664,0.014376008572118853,0.00976407143083726,0.006486303361546007,0.005741134501060017,0.020245688385298558,0.00724245693888969,0.003839870778045185,0.0022485429662010693,0.003456693683097076,0.0065154192550489366,0.001118686956176681,0.0008002638225967705,0.001094442511712039,0.011063090027740809,0.0019042266406413566,0.004602471937241295,0.0032338471171556365,0.0031717169247748745,6.522743644658476,33.432852763682604,23.90809497982264,20.003967428579926,658.4865985140203,2977.114582784474,1754.5769773256036,2378.763564139605,0.01573205180466175,0.07586785405874252,0.04552910756319761,0.05882352963089942,0.004135193303227425,0.015518426895141603,0.00794995203614235,0.014709703624248503,4.392918808292645,0.6528368116157145,1.7022332090302588,3.7619323833173577,0.02667277120053768,0.05992217734456062,0.0640878900885582,0.07512016594409943,0.07478446513414383,0.15352101624011993,0.11361867934465407,0.15577936172485352,0.010871239407764128,0.055721421272804335,0.03984682496637106,0.03333994571429988,0.020259256022952355,0.09159507069453507,0.05398200096377576,0.07318596942250268,0.02020294591784477,0.09170672297477722,0.05320820957422257,0.07638666033744812,0.006164644844830036,0.051926452666521065,0.031036850064992905,0.019897764548659325,0.006164644844830036,0.051926452666521065,0.030136568471789364,0.019897764548659325,0.003397972108297753,0.0013260745104583976,0.005082547779720942,0.01154487695048022,0.006805625194072365,0.020328575675802773,0.01109881470238184,0.023672139449030124,0.0240939948707819,0.10701151937246324,0.06146334111690521,0.08986037969589232,1297.4218249161004,1295.3609424555466,1296.4943775198199,1298.0712502635115,460.11276351435714,464.40574313527685,462.89245516417884,461.55601684830606,0.0,0.0,0.0,0.0,1295.0684244531274,463.82210872842506,0,1287.0,1251.0,1354.0,1329.0,467.0,476.0,476.0,465.0,0.0,0.0,0.0,0.0,8
585,30,9,39745,562.0,519.0,1.0,1.0263100005305847,0.5665247928562707,1.0,0.719757334299167,0.8468713242199306,248.2060358468289,250.28783430282826,98.79271228182778,35.976184546792176,32.01562118716424,202.06954248475944,204.53286706461896,-77.10072891149791,767.9579999999969,0.9852259487865944,0.8072913054705617,0.048292401160194384,0.1326663322033184,0.061777947365772114,0.008769892948899129,0.017526490297563074,0.05981363128663516,0.012356061245182305,0.014760796881584182,0.019277814436222326,0.01195211998853872,0.004415762427714111,0.01607059138861949,0.01244645631194354,0.014214879525075426,0.00380212094463201,0.011283901613046972,0.010010488301496551,0.0034113269344526248,0.0027966281222407004,0.002593883778855282,0.007756530757584363,0.0011628914542988384,0.005072163550623343,0.004016070123854214,0.004702166264248558,0.0018567485486444641,0.006420816308948691,0.003518191956703903,0.002072079139665269,5.249103603884579,35.848157539963715,27.328664178028703,19.943694315850735,523.083593330346,3234.554410059005,2696.298485482112,2200.4195961616933,0.01033035758882761,0.06999313086271286,0.05741969868540764,0.0471046008169651,0.00234988983720541,0.010208278894424437,0.010208282619714735,0.008682381361722946,0.3884537070014198,1.1457425986441794,3.201071777472503,2.737028997768131,0.01892118714749813,0.059678032994270325,0.058701455593109124,0.07353322952985764,0.04568551108241081,0.1597161889076233,0.15120165050029755,0.1089036390185356,0.008150781993609593,0.05566484090056478,0.04243581394103836,0.03096846943455083,0.013160991151851705,0.08138267480334646,0.06783994176580982,0.05536343178165035,0.012497139163315296,0.0798504650592804,0.06852826476097107,0.05648889765143395,0.006210422143340111,0.05082780122756958,0.030807964503765106,0.020172426477074627,0.005844205617904663,0.05082780122756958,0.030807964503765106,0.020172426477074627,0.0014410759180231558,0.001449019508454672,0.005807691728566473,0.007316816523220848,0.0040988851860859965,0.015833654390840817,0.014836237853424437,0.013146778661048191,0.015091172419488432,0.09044022113084793,0.07794308662414551,0.0646219551563263,555.0930221649904,556.3752527612144,554.3432076208951,553.9884395540344,520.9376898097689,521.3147548496376,518.2254414605653,518.8619041959062,0.0,0.0,0.0,0.0,555.2295886275003,521.3013460812682,0,568.0,518.0,547.0,556.0,469.0,488.0,514.0,494.0,0.0,0.0,0.0,0.0,9
586,30,10,30941,1121.0,623.0,1.0,1.0653779620408208,0.71334574875188,1.0,0.7274757829399041,0.848198682192695,236.77829326031903,238.53720883753127,82.02438661763951,31.238959864209736,28.0178514522438,165.42157583824724,165.93713402355596,37.01697287518918,677.0539999999972,0.987378935107622,0.6923603647390275,0.015423277232537802,0.18097057292343727,0.08684976282763293,0.0033253875797266325,0.006211908169992151,0.04186537823081138,0.006538904702750086,0.021169251921887258,0.007518522659455407,0.004144865658536686,0.0009562351641130867,0.015986940348100918,0.030215642828705383,0.012407835206681048,0.007425959828184639,0.0007418339829520269,0.004023229541448358,0.00286155712039421,0.002022589209450082,0.005820434526896267,0.007522559019272691,0.008989332809985559,0.007888595713415061,0.002790635785210379,0.004325522289336456,0.0038990234829504094,0.0008537797247456791,0.0015007284848940958,0.001406529524395368,4.60964376060292,31.664179515093565,24.137728014960885,13.209735327400267,484.86012409767136,3022.3743062354624,2521.5897184573114,1897.69569223281,0.010086213238537313,0.08426032215356828,0.05706874281167984,0.04171816632151604,0.0037689777091145524,0.013641566038131714,0.023376822471618645,0.01934844255447388,8.966175476986809,1.224315408851221,8.580701923478134,7.84037566823862,0.011825742200016977,0.06111238151788712,0.06866560131311418,0.03808651864528656,0.08917372673749924,0.20274662971496585,0.2297398298978805,0.13330282270908356,0.008115570001061482,0.055746794920939376,0.04249600002633959,0.023256576280634274,0.01567047361422292,0.09768185599157954,0.08149671046369902,0.06133272008767687,0.01350423414260149,0.09687952697277068,0.08096437156200409,0.06207370012998581,0.005371175706386565,0.051544975489377975,0.025864042341709137,0.014206149615347384,0.005020218435674907,0.051544975489377975,0.02523842267692089,0.013916227966547012,0.0012365121259213859,0.0014894687767100336,0.00920146096794828,0.0057159781514978655,0.008734960397411432,0.021999226764531483,0.030302353763874287,0.024311043286608845,0.017837796360254288,0.1112840473651886,0.10383383184671402,0.08064011484384538,1134.4551248656885,1130.217468326868,1135.0575895573,1133.0540517766196,623.349884879775,629.8843541884067,624.3276823360596,623.7995238315387,0.0,0.0,0.0,0.0,1129.2799521670274,630.6717623864773,0,1109.0,1151.0,1172.0,1108.0,576.0,682.0,639.0,575.0,0.0,0.0,0.0,0.0,10
588,30,12,31558,1664.0,630.0,1.0,1.1555398831119816,0.7925112442715085,1.0,0.6356348694811472,0.6706222391245372,259.6278906197193,280.8077634254438,81.21576201698781,29.12189177701101,25.632011235952593,163.3249543823047,158.33596466325537,48.274631616392774,768.9899999999969,0.9412571769442994,0.509567087526819,0.05449211296369859,0.19786663885824185,0.06898192375822687,0.029840950548930118,0.013656573127453593,0.016342072485882708,0.02786529045788893,0.028496816687844994,0.01209592823158123,0.0017950782816048,0.00175032370932081,0.021518266540429012,0.012716228582997173,0.009454549304736968,0.014776753754454744,0.01903014115676154,0.008161493340524469,0.005187680593790479,0.002718618238042629,0.01197433886987517,0.007849640278421803,0.009952135005166068,0.0031387092645270725,0.008660995096542423,0.007019362507558979,0.004536285295916447,0.0049350214293204155,0.0093833123138053,0.0032596133017929697,5.873579076491296,36.2626994252205,29.944655602797862,21.887022259645168,655.7556149903685,3079.6225251816213,3112.733916208148,3037.6917397063226,0.012375066988170149,0.08063630014657974,0.06993972510099411,0.06854352355003357,0.0061493851244449615,0.01451133191585541,0.027252614498138428,0.02928205579519272,8.246023578061862,2.676748703964785,7.431645931242531,7.980614610546148,0.017639430239796642,0.06158541142940521,0.11685358732938765,0.08690012991428375,0.10016021877527237,0.1909666657447815,0.2530251145362854,0.21182574331760406,0.0090501988851946,0.05587472946875268,0.04613968505824016,0.03372422536154879,0.02077937812885381,0.09758611208510112,0.09863533545244148,0.09625742251430136,0.018097199499607086,0.09744411706924437,0.10258640348911284,0.09790188819169998,0.004898146260529757,0.050125885754823685,0.023254750296473503,0.011825742200016977,0.004669260699301958,0.050125885754823685,0.023254750296473503,0.011825742200016977,0.0029631730227958467,0.001700687791020248,0.01807861831827389,0.014740387609982104,0.012930063490619766,0.024913619424151143,0.03966296113999943,0.04251191312548835,0.02481116913259029,0.1101396232843399,0.1271686851978302,0.1271534264087677,1675.2279085174512,1668.7456890635651,1674.4182205762024,1674.8493202055538,638.0735147855426,640.4104055572402,638.5382633181856,639.766442214922,0.0,0.0,0.0,0.0,1666.9880220546295,638.391596425629,0,1626.0,1667.0,1704.0,1709.0,647.0,683.0,667.0,638.0,0.0,0.0,0.0,0.0,12
591,30,15,41492,1097.0,959.0,1.0,1.0547853143918289,0.6925711145347627,1.0,0.7556089743589743,0.8392012251337962,270.1773901996654,270.49029557453633,96.33275663033837,36.31312382757246,32.55764119219941,194.61437009062007,194.89235345296447,-70.95044405297526,788.2319999999969,0.9855230811253756,0.7219968861565407,0.01795938380370909,0.171282234422821,0.08629726295724613,0.0033478405362035914,0.0022870508467433275,0.04851782870163504,0.0014070872009792148,0.016922355850019083,0.009085401349672409,0.0035045156650379567,0.0023922422000047065,0.010236128175783078,0.028470331975602226,0.014888181254250722,0.005000938675393146,0.000926146777245447,0.003653995117085979,0.0020391908557167537,0.002254144652100664,0.007370132957578797,0.011808855119439613,0.004149224583109573,0.009297497415070173,0.002526479113457573,0.004905154920791814,0.004812513309604428,0.00114746513100134,0.0008051710172256997,0.0011952143213667338,6.6249485802836725,37.08267345651984,35.00918592885137,21.998275784775615,743.0026442138478,3362.883547026664,3816.8937553912397,2581.829088095576,0.013153277337551115,0.06889448314905168,0.07605096697807312,0.051926452666521065,0.003570610657334328,0.01107805222272873,0.014953844249248503,0.010330356657505035,2.4197406408316184,1.4083934690904567,2.7610626559134785,2.6475866974617253,0.016540780663490295,0.05917448550462723,0.08183413743972777,0.05513084679841995,0.05972381308674812,0.16336308419704434,0.2260929346084595,0.12072937935590745,0.009932456642104456,0.0555962120787404,0.05248753512571419,0.032980923215555645,0.017907130150724183,0.08104896237893243,0.09199107672301264,0.06222474424215694,0.016418708488345146,0.0791027694940567,0.09324788302183153,0.0630655363202095,0.006118868011981249,0.051575493067502975,0.03659113496541977,0.018616007640957832,0.006118868011981249,0.051575493067502975,0.03659113496541977,0.018616007640957832,0.001829631751589869,0.0013459932292875878,0.007799184974056949,0.006144643147360953,0.00719279845328624,0.016030265781969782,0.022946694147903055,0.015722338317753003,0.020431829616427418,0.09114214032888412,0.10669108480215073,0.07286182790994644,1098.6608367037556,1097.3299978211294,1099.0207899747031,1098.675750786123,956.3741697140739,959.532497708384,956.0736702936864,956.1468016106827,0.0,0.0,0.0,0.0,1098.5268967511806,958.7902005205824,0,1062.0,1118.0,1071.0,1105.0,971.0,932.0,979.0,973.0,0.0,0.0,0.0,0.0,15
592,30,16,45994,1679.0,1072.0,1.0,1.0592599855220648,0.6883877104846237,1.0,0.7237906398514462,0.8170542452743338,284.5143197881713,282.93108701590216,100.9554357129917,37.85985182981192,34.0,203.6992358565064,206.37044915609886,32.66438498074678,841.0659999999964,0.9853358612637508,0.7315600202442107,0.09056363921942537,0.142242501564974,0.07700687683199486,0.011850945615895874,0.00740460852442157,0.03428180733754708,0.005870115665025006,0.016214349488537026,0.033771944470686543,0.019853215559733614,0.0020858247096008733,0.010203055648828566,0.010863860296414495,0.0062107542741749525,0.0014075766966458502,0.003912767233121581,0.0071068683142947705,0.009976954951290749,0.00349816724775943,0.010223986599707469,0.0005542269135197512,0.007228170500470147,0.00555705220828766,0.0012358529707841971,0.008125918674878756,0.010665074753744626,0.004693994035866403,0.003001031002330153,0.002803144555049991,8.155565814580767,39.533379159867756,31.791744954884052,26.369237910956144,1170.8092063819058,3732.566860869527,3964.5718814283614,3748.283470638096,0.01730373129248619,0.06991683691740036,0.0641947016119957,0.06105134636163712,0.006790263578295708,0.010131992399692535,0.01994354277849197,0.019272148609161373,7.232137716686973,2.845084209526372,5.160841993589589,6.9026856857580015,0.01947051286697388,0.060807202011346824,0.08790722489356995,0.06749065220355988,0.11779964715242384,0.17969024181365967,0.21559472382068634,0.21135270595550534,0.011519160755057585,0.055838106158005316,0.04490359456904528,0.037244686314909806,0.025455694359740526,0.08115334306365019,0.08619758841214856,0.08149505306427135,0.022980086505413052,0.08087281882762909,0.08494697511196136,0.08032349497079849,0.006469825282692909,0.051483940333127975,0.027817197144031525,0.02142366766929626,0.006469825282692909,0.051483940333127975,0.027817197144031525,0.02142366766929626,0.0029608066221331977,0.001457326424180527,0.011160199859768924,0.011633603065879706,0.012250093929208679,0.015358324418690618,0.029343056031948082,0.027779868869874574,0.0313267707824707,0.09021133929491043,0.10426490008831024,0.09958800673484802,1667.9493278697062,1667.5850452283646,1670.7300060217615,1667.9020099246625,1066.0180386649622,1071.1426066158763,1067.9725781757381,1066.3709282371412,0.0,0.0,0.0,0.0,1669.7121363656129,1073.0320476583902,0,1619.0,1595.0,1638.0,1621.0,1040.0,1081.0,1064.0,1040.0,0.0,0.0,0.0,0.0,16
593,30,17,38022,1328.0,1074.0,1.0,1.1873128609697785,0.8361471642808975,1.0,0.6717193131227475,0.777426300750746,296.6427121518744,293.47061181658376,80.62257748298549,32.201859179531525,29.5296461204668,161.42771032377732,162.7100607574024,30.97760788251853,783.9579999999968,0.9891387765189452,0.5621029198249099,0.024711782646523864,0.1847871006288895,0.09979328853857997,0.015154683776098556,0.009873394365701586,0.00630803502120536,0.03599135685729817,0.03261972242946806,0.0032651426465193155,0.0016996484243124131,0.00487034373221896,0.01445137966157893,0.019763944364992875,0.0018558050811007122,0.012430575886362908,0.008860299599980028,0.007931107286908969,0.0030677324562929185,0.002523999397616773,0.013335497358374571,0.010636876485035477,0.016466012523057717,0.0063295234109049855,0.004986343521240928,0.0037786308775899897,0.004315568013822049,0.005868102932583278,0.0036094588895232743,0.0012739926350877895,6.040619586594403,36.86999318748713,26.69547583162785,20.901823561638594,670.9688300262205,3312.790146753192,2591.485057353973,2691.624143199995,0.012726024724543095,0.07449454814195633,0.05461204051971436,0.057923246175050735,0.00314335897564888,0.009842067956924437,0.01257343590259552,0.013244830071926115,5.128406575028874,0.7753948893211158,2.8679997179294205,3.565855028690556,0.01348897535353899,0.061387043446302414,0.0644083321094513,0.05320820957422257,0.07739376276731491,0.19517815113067627,0.19649042189121246,0.1592431515455246,0.009166342316531718,0.055948396339130686,0.04050906802978429,0.03171748643647738,0.017646857872448067,0.0871282454040606,0.06815751557924289,0.0707912298984797,0.015487907454371452,0.08491645753383636,0.06750591099262238,0.07035934925079346,0.006027313880622387,0.050095368176698685,0.027771420776844025,0.01818875409662724,0.006027313880622387,0.050095368176698685,0.027771420776844025,0.01818875409662724,0.001304548220953491,0.0016954477600125393,0.00544940035476826,0.007731508519501211,0.008652424050338656,0.02056698578768849,0.018608652188809204,0.021535496708444037,0.019226368516683582,0.0941786840558052,0.0797741636633873,0.08441291004419328,1339.0444179344095,1333.5015578271946,1336.7542395771359,1337.5744861920075,1076.5458093866064,1076.1544071772985,1074.7357768060808,1075.6645972252593,0.0,0.0,0.0,0.0,1334.0099153121878,1075.56890747462,0,1396.0,1423.0,1317.0,1384.0,1098.0,1117.0,1059.0,1095.0,0.0,0.0,0.0,0.0,17
