,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_gr,Intensity_IntegratedIntensityEdge_h3k4me1,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_gr,Intensity_IntegratedIntensity_h3k4me1,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_gr,Intensity_LowerQuartileIntensity_h3k4me1,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_gr,Intensity_MADIntensity_h3k4me1,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_gr,Intensity_MassDisplacement_h3k4me1,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_gr,Intensity_MaxIntensityEdge_h3k4me1,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_gr,Intensity_MaxIntensity_h3k4me1,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_gr,Intensity_MeanIntensityEdge_h3k4me1,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_gr,Intensity_MeanIntensity_h3k4me1,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_gr,Intensity_MedianIntensity_h3k4me1,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_gr,Intensity_MinIntensityEdge_h3k4me1,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_gr,Intensity_MinIntensity_h3k4me1,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_gr,Intensity_StdIntensityEdge_h3k4me1,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_gr,Intensity_StdIntensity_h3k4me1,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_gr,Intensity_UpperQuartileIntensity_h3k4me1,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_gr,Location_CenterMassIntensity_X_h3k4me1,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_gr,Location_CenterMassIntensity_Y_h3k4me1,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_gr,Location_CenterMassIntensity_Z_h3k4me1,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_gr,Location_MaxIntensity_X_h3k4me1,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_gr,Location_MaxIntensity_Y_h3k4me1,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_gr,Location_MaxIntensity_Z_h3k4me1,Number_Object_Number
1275,60,1,12149,909.0,0.0,1.0,4.033844648687726,0.9879335706681344,1.0,0.5943737769080235,0.24744834667460225,348.33661522340446,364.0,55.90169943749475,19.01967949056063,17.0,55.0,53.949751459122886,-1.7664452432965745,785.4759999999983,0.8835957671188043,0.11674757901361167,0.013553903223172532,0.05861918533248312,0.025199591226145943,0.019614001193230382,0.006479148487040428,0.02099181804645525,0.026630709004195858,0.010667954325316585,0.017129701628832678,0.0127431040424887,0.0037604600205005134,0.010120980176279866,0.01560615786693304,0.013141170587946465,0.0059730781728881905,0.01227272540949656,0.013302355368249079,0.008741879559666923,0.0023964453588890978,0.006565816172503141,0.008087166931628927,0.008277779059656517,0.007531067851312446,0.003902877781639482,0.009608382310293902,0.010354080613567605,0.010330307919109584,0.006051033202854669,0.0016641636314942588,6.431952447630465,23.437094748020172,8.618326138705015,12.668970823287964,401.95999220199883,1037.004166971892,544.8507223576307,657.6574971284717,0.01893644593656063,0.07515449821949005,0.027710383757948875,0.03882276639342308,0.011635005474090576,0.009185932576656342,0.012863356620073318,0.012199586257338524,16.994453819192707,1.299647843783583,6.628865217264781,2.841617753171591,0.06143282353878021,0.06732280552387238,0.029694056138396263,0.0637979730963707,0.09842069447040558,0.14830243587493894,0.13765163719654086,0.10774395614862442,0.01752575598809391,0.06386129359133562,0.02348317748965944,0.034520356466724696,0.033085850045435745,0.08535716248019526,0.04484737199420782,0.05413264442575288,0.029503319412469864,0.08676280081272125,0.03889524564146996,0.048455024138093,0.01110856793820858,0.06001373380422592,0.019256886094808582,0.027115281671285633,0.01110856793820858,0.06001373380422592,0.019256886094808582,0.02691691555082798,0.007801160475030788,0.001474486342511801,0.001994953525590256,0.004872369990903587,0.016391603055245944,0.012656983589204968,0.020500214656891967,0.01818648274527547,0.0437895767390728,0.0944838672876358,0.05791943147778511,0.06774624437093735,933.131300731432,948.9208432160376,943.961431147511,949.4112560778616,16.47087003135541,18.591890403507982,16.460411545082053,16.689306733910005,0.0,0.0,0.0,0.0,949.8543089966253,19.49617252448761,0,924.0,1076.0,915.0,1060.0,1.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,1
1276,60,2,1411,1746.0,0.0,1.0,2.5546505633944037,0.9727697569340212,1.0,0.6523347202958854,0.3540046373927442,93.21105575738676,102.0,21.0,7.965614346416262,7.071067811865476,20.0,21.603861618404316,1.2551018907970275,223.8019999999996,0.974784110535406,0.17267791211277533,0.02722001000691055,0.08792257714824142,0.030949680880635294,0.03619976083311875,0.010020120772404424,0.029160383100668194,0.02783308969221707,0.013191295985462129,0.031071676306057044,0.018961636700574318,0.0053107470565371285,0.006421989649567298,0.009899059864599371,0.013132446460904286,0.007598109699602342,0.02100915154765332,0.018878505677643168,0.011202974942950968,0.003451416359208105,0.003353050064964545,0.0006163073689754733,0.003449667706187535,0.008077920987777806,0.0049867683165279895,0.011211893461930652,0.013175118967381305,0.01128441854949182,0.007783617574837471,0.0024620593334205372,1.8352331016212704,6.601998928934336,2.977462435141206,4.443915460258721,34.88575590401888,108.73891821131109,52.14877561293542,79.68175800517201,0.019439993426203728,0.06945525109767914,0.030823225155472755,0.04627680033445358,0.0045242998749017715,0.007133588194847106,0.004707407206296921,0.0069886334240436545,1.1213759733698658,0.5192478285496248,0.7473223143676458,0.7932880321955302,0.02063019759953022,0.06787212938070297,0.03366140276193619,0.0481116957962513,0.04023804143071175,0.09845121204853058,0.06150911748409271,0.10260166227817537,0.017817797103119128,0.064097076979945,0.028907402282924332,0.043144810293774,0.024724136005683118,0.07706514401935585,0.036958735374156934,0.05647183416383559,0.023292897269129757,0.07749294489622116,0.03469138592481613,0.051789119839668274,0.0158236064016819,0.06163118779659271,0.025986114516854286,0.03723201528191567,0.0156404972076416,0.06163118779659271,0.025970855727791783,0.03723201528191567,0.0010206693272802351,0.0012497563585247538,0.0015242001790186678,0.002547438966584672,0.006090793154837338,0.008566306481184347,0.007737744526209726,0.013732197311008987,0.029617762193083763,0.08387503027915955,0.041416801512241364,0.06371022947132587,1738.2886720446618,1737.8328039878575,1737.6626910410157,1737.3850596617078,6.932257274654992,7.325648927158247,6.948941212498536,6.869619242629244,0.0,0.0,0.0,0.0,1737.4365698086465,7.661233167965982,0,1736.0,1754.0,1742.0,1730.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2
1280,60,6,41648,1441.0,389.0,1.0,1.056293772920838,0.6826118270085632,1.0,0.7731491794757556,0.6743719891600276,269.66622247896566,271.9301380869726,95.34149149242424,35.34571411664761,31.304951684997054,199.857530466271,197.0669929971934,-82.52715453809162,880.9519999999973,0.9542116779123184,0.7171162815991405,0.02903270938129992,0.17156032394731432,0.08140374684596911,0.006919561914609373,0.005737692067220954,0.04856617445622632,0.00597781243936124,0.010630061465493376,0.014627520811531432,0.008159408492381906,0.0060386699152095965,0.00585326830177709,0.028691690193277813,0.012036929932238434,0.0014820052391936582,0.0030220597944642397,0.0037689682048423732,0.005406298755652587,0.002469075874532413,0.0032525449012589572,0.010961506787362315,0.003063107057918948,0.007998438660217141,0.0054765266087809785,0.008904728328827495,0.006774446463340094,0.0009522033517974471,0.0016358913490708345,0.00362081253958614,23.384710524231195,51.41902807354927,32.244510672986515,43.24789815396071,2865.189994494431,4511.330025598407,4074.178427396342,5005.074940916151,0.05033951252698898,0.0941634252667427,0.06506446748971939,0.09272907674312593,0.018219273537397385,0.013565272092819214,0.031097888946533207,0.028183408081531525,7.048699430926057,1.3499376956651117,6.213187584454437,4.912378896721712,0.06803997606039047,0.10698100179433824,0.10099946707487106,0.11812008917331696,0.17093156278133392,0.21414510905742645,0.2605020105838776,0.226657509803772,0.03109668952690318,0.06837636711908147,0.04287833866088631,0.05751050286430945,0.06879538019819513,0.10832044817514423,0.09782410745765324,0.12017563726748345,0.07017624378204346,0.10841535031795503,0.09877164661884308,0.1253833770751953,0.01441977545619011,0.05975433066487312,0.02246128022670746,0.0319371335208416,0.014175631105899809,0.05975433066487312,0.02246128022670746,0.0319371335208416,0.012123405022077273,0.009114620833770442,0.01558372452874781,0.019524257303137702,0.02672002034405969,0.02304408431317704,0.040458438845702695,0.039715338722441415,0.08720531314611435,0.12123292684555055,0.1278400868177414,0.15089647471904755,1445.4337097464593,1438.5718533802687,1444.9362510550532,1443.8756224956644,399.7175113436765,404.20393517762136,400.6198517703154,401.4997658138111,0.0,0.0,0.0,0.0,1439.2010180560892,403.00958029197085,0,1476.0,1425.0,1423.0,1394.0,324.0,430.0,500.0,431.0,0.0,0.0,0.0,0.0,6
1282,60,8,44926,2043.0,547.0,1.0,1.549340290207278,0.9114690560689536,1.0,0.6956212064907717,0.5647329491574994,388.49422206191736,413.00484258662146,152.27934856703322,53.3784882379607,47.4236228055175,155.0,159.81434065260183,87.41356101453573,999.8439999999972,0.9922477195927288,0.3353494385792119,0.10037145863147033,0.10102862158767772,0.03736677592941332,0.08556072684758187,0.02974866351651382,0.020975228713009976,0.007906732132790245,0.012323548660351796,0.024338323972757068,0.031131910589724157,0.01422294475484594,0.010539453529341422,0.014636034042385462,0.0026100656520563893,0.00644205655964391,0.003134037383584445,0.0067270892905749455,0.015953178683286186,0.008645911097124714,0.0058074691300590425,0.0041009985941359295,0.005686300493981045,0.0010699170608145096,0.003679769245061191,0.006055372853339026,0.006850627567390312,0.005301011671091738,0.010281187869531394,0.0056388506874809185,7.436575931496918,30.76050971448421,16.011474810540676,19.771557223051783,2666.445262578316,5703.63285535574,6071.05905587785,5830.883622672409,0.031204700469970707,0.09739833325147627,0.07464713603258133,0.0869535356760025,0.022812239825725555,0.025940343737602237,0.050171658396720886,0.03697261959314346,12.126012705330211,6.456299996000433,10.976109696483366,8.906392660175984,0.02587930113077164,0.06770428270101547,0.058350499719381325,0.06170748546719551,0.2105897665023804,0.2999008297920227,0.3809109628200531,0.2826733887195587,0.015396637539331091,0.06368635551653047,0.033150051367579036,0.04093490108292296,0.0593519401366317,0.12695616915273428,0.13513464487997706,0.12978862179300202,0.05996795743703842,0.1251850128173828,0.1422140896320343,0.13728542625904086,0.010681315325200558,0.05975433066487312,0.026260776445269585,0.029770351946353912,0.010376134887337685,0.05975433066487312,0.026260776445269585,0.029770351946353912,0.0027362971395396337,0.0014086485981987436,0.0048324398763145105,0.005428898826623057,0.03220919544272722,0.041199419583907625,0.066764651956248,0.0539790110922365,0.08004119992256165,0.14900435507297516,0.18493933975696564,0.1691691428422928,1993.0429230678976,1987.6215135684515,1991.914695904996,1989.633521156104,564.5460597122933,568.1271657536303,564.7709806012555,564.3245441810252,0.0,0.0,0.0,0.0,1981.2240128210833,567.2578017183813,0,2010.0,2001.0,2010.0,2019.0,639.0,504.0,594.0,603.0,0.0,0.0,0.0,0.0,8
1286,60,12,1927,1125.0,870.0,1.0,1.2778354465740944,0.8533259702076854,1.0,0.5947530864197531,0.7013951545020917,70.15359779797556,65.80273550544841,18.788294228055932,6.873959587026312,6.324555320336759,37.476659402887016,36.57652701779232,39.64552230130949,185.80799999999982,0.9202483285577844,0.5666357050126232,0.042631375452894166,0.14993855876033624,0.11595664864952265,0.02326192141959737,0.01831320332713568,0.002258314356386827,0.0436083656279463,0.025258309116779117,0.0027232645739125984,0.016419917086979176,0.003651762604043192,0.004294738457906802,0.010665469723173813,0.012700915908309636,0.006965945379162478,0.0034347201781809193,0.014861165148575368,0.008634516334645721,0.0025007771880204317,0.0036701751125825313,0.004154055434264204,0.015978053285206982,0.010894785813851034,0.003417391784048655,0.004237052098144726,0.006158595716126834,0.009411597769970066,0.007223294093814863,0.003268927234432905,1.6137483967468145,10.145403213799,2.8309910958632827,2.323659128509462,20.673472428694367,176.82685604691503,34.75513875391334,28.17296122200787,0.010162509046494959,0.07515449821949005,0.01728847250342369,0.013809414580464365,0.0005493247881531714,0.013893336057662964,0.0006866548210382463,0.00077058095484972,0.4774848855369419,1.8783088940786865,0.32224774420244834,0.8309298193878738,0.012115663848817348,0.06967269629240036,0.023270009085536003,0.01890592835843563,0.01304646395146847,0.14608988165855408,0.023270009085536003,0.01890592835843563,0.01034454100478727,0.06503463598589103,0.018147378819636427,0.0148952508237786,0.010728319890344768,0.09176276909544114,0.018035878958958664,0.014620114801249544,0.01075761020183563,0.0870145708322525,0.017959868535399437,0.014564736746251585,0.008255130611360073,0.05975433066487312,0.015320057980716228,0.011657892726361752,0.008255130611360073,0.05975433066487312,0.01472495589405298,0.011459525674581528,0.0008442431723603052,0.002119561191495947,0.0012123592907219846,0.0013568176134678266,0.0007810682370547528,0.02065543808597711,0.001081774186905527,0.0011241081537451544,0.011276417411863804,0.10744258761405943,0.018677042797207832,0.015369649976491928,1115.5298323800114,1117.3647099606187,1115.6302712717918,1115.0699398566076,862.2103199181556,863.6478492051198,862.3297248546977,862.2141714628018,0.0,0.0,0.0,0.0,1115.8059159314998,862.599896211728,0,1109.0,1131.0,1140.0,1090.0,847.0,868.0,859.0,841.0,0.0,0.0,0.0,0.0,12
1288,60,14,67935,1125.0,1084.0,1.0,1.134905418311826,0.6827626739843845,1.0,0.7332513033060258,0.44209574208523306,356.9855746980561,369.5456670020635,106.60675400742676,37.380773317460815,33.376638536557266,262.22242657237814,260.82801881761293,1.5083043239431226,1389.6119999999944,0.8617037469240721,0.5819424496237512,0.05202821348520133,0.1883018475891569,0.06013498107594016,0.018375061653811676,0.0256352332123838,0.016455979574121066,0.032737610222279286,0.01505470245882351,0.015320134088649953,0.005128241896013275,0.021237834500093224,0.007973145045165463,0.008548496548962867,0.03105923896116905,0.003256361136028907,0.008366711935395664,0.013064947670764769,0.015102346024087738,0.0016786143376147215,3.612064324875382e-05,0.006877663803679142,0.012873960333601558,0.0064887418279064146,0.008114101903325012,0.0021050033704441765,0.007146245507309619,0.006043006743175703,0.0045699409019987315,0.0043250759874439056,40.91787606664003,86.03483633324505,74.96762045845391,61.945449117571115,4037.190774524584,7216.383496358991,6422.485686047004,6516.803363343701,0.0477607399225235,0.08979934453964232,0.07391088455915451,0.06686503440141678,0.01110856980085373,0.013366900384426115,0.02018768340349197,0.02656595408916473,6.883284153790588,0.31420749371465323,10.314919946392587,20.38736077459471,0.08464179188013078,0.10704203695058824,0.24728770554065704,0.0962081328034401,0.15086594223976135,0.2340123653411865,0.3206530809402466,0.20202945172786715,0.03554984888500436,0.07474790298283669,0.0651325981394039,0.05381880896400618,0.05942725803377617,0.10622482514696388,0.0945386867748142,0.09592703854189594,0.059311818331480026,0.10286106914281844,0.09277485311031343,0.08741893619298935,0.016235599294304848,0.05809109658002853,0.023193713277578357,0.025955596938729286,0.016235599294304848,0.056870374828577035,0.023193713277578357,0.025955596938729286,0.01613007836928101,0.013019858615259559,0.03890230992781903,0.016716790766574938,0.018243417751930842,0.025184667606290567,0.0312470983742526,0.035868852935845824,0.07001220434904099,0.11663996428251265,0.11429007351398468,0.1266651451587677,1090.1871102821042,1083.0129960624029,1073.0134698308502,1103.7114561747608,1073.3240762519267,1073.8811721818734,1073.7259268640207,1073.5399995835953,0.0,0.0,0.0,0.0,1083.3270920733053,1073.8895414734673,0,1126.0,1137.0,1033.0,1154.0,1034.0,1025.0,1019.0,1065.0,0.0,0.0,0.0,0.0,14
1289,60,15,11360,1317.0,1073.0,1.0,1.0025458925741688,0.1647156335587648,1.0,0.7329032258064516,0.8052852293182751,121.03709569329672,125.60254774486064,57.4543296888929,19.73062539867179,17.464249196572982,117.14470689254885,119.38386177021412,43.43826029172431,421.03599999999864,0.974020406413444,0.9039630297422511,0.0026517110797438692,0.0847319200098896,0.005624988974275449,0.0023050449943985045,0.003047301001517854,0.06503329755157307,0.0037106733541170172,0.017028260249065626,0.0017981627514159356,0.0020176056786088154,0.006055700449505985,0.04176935286750103,0.0016375131192076016,0.008343843632208506,0.008568392913601466,0.001212794003545041,0.002519765547619217,0.002387157531222409,0.009758747770541148,0.020092514022855282,0.0010240532174227925,0.0009165753234753381,0.0021328573124739982,0.005081721593289863,0.0006535629029993836,0.0027540622299256604,0.0009370698303604887,0.002650504118014144,0.0029951971971229428,4.261097162030636,22.082459736615423,7.001678542234004,7.553398966789246,135.92025766707957,1682.0593280196192,223.20529622025788,229.17767727654427,0.010833906009793282,0.10304417461156844,0.018310826271772385,0.018173495307564732,0.0009155413135886193,0.037476152181625366,0.0011139083653688429,0.00157167948782444,3.18268567889611,0.6546960990746146,1.567698970242469,2.9350951623570967,0.021881436929106712,0.06968795508146286,0.028351262211799618,0.03454642742872238,0.021881436929106712,0.2646677494049072,0.037201493978500366,0.035873960703611374,0.012386910354740224,0.06419319690876575,0.02035371669254071,0.021957555136015248,0.011964811414355596,0.14806860281862844,0.019648353540515657,0.020174091309554956,0.011657892726361752,0.1569543033838272,0.019302662461996082,0.019485771656036373,0.008407721295952797,0.059372853487730026,0.015335316769778728,0.013824674300849438,0.008407721295952797,0.059372853487730026,0.015213244594633581,0.013824674300849438,0.0030826269434008078,0.0019642389292177614,0.0028866116210270265,0.004607416226726056,0.0016658898880056257,0.05102237012248592,0.00199258625781773,0.002852804093117425,0.012771801091730595,0.186587318778038,0.02056916244328022,0.021622033789753917,1313.9185965825995,1317.65801259132,1315.4787797768565,1314.2221368335702,1073.3768408757373,1072.89358452404,1072.933300037127,1073.562089064969,0.0,0.0,0.0,0.0,1317.0301936619721,1072.707922535211,0,1258.0,1313.0,1346.0,1257.0,1061.0,1062.0,1074.0,1079.0,0.0,0.0,0.0,0.0,15
1290,60,16,52967,816.0,1101.0,1.0,1.0514271382445457,0.5293120592740217,1.0,0.7397729018561712,0.5373447448982378,286.5414266150469,303.4616944525289,103.7304198391195,36.68878036953426,32.449961479175904,246.63508526549305,243.1095453679952,-81.1450295971091,1112.9639999999963,0.9284963012305858,0.693770624171381,0.06765435718765242,0.1745248425975028,0.04027617957746947,0.016914350054940918,0.03275270225742874,0.04943931809651105,0.01893363226715053,0.0007840688609227949,0.026066020862252282,0.017483301086345455,0.00834396494961814,0.0036388169121061367,0.011982826147374668,0.0014289735818554358,0.012546707771422529,0.0138020982704553,0.0076237476081215325,0.007138626699159554,0.0057057568155542545,0.0024493733800998755,0.006569031836851961,0.00945082838677517,0.0073777991501166205,0.009041322000152374,0.008561081920063256,0.0007087437695535862,0.007286126687221547,0.005010014066921796,0.0021124296172196147,37.915083605796106,70.49237817153335,72.8966354764998,48.43001457303762,3217.973515545949,5368.069067232311,6291.1666782367965,3577.729584805668,0.0474097803235054,0.08431754261255264,0.0949263721704483,0.05702296644449234,0.011963069438934326,0.014404512941837309,0.023514151573181152,0.010330356657505035,1.0614901249178363,4.247823658966122,1.4785222395297268,3.1206260008701165,0.08789196610450745,0.10611123591661452,0.21882963180541992,0.0950637087225914,0.16287480294704434,0.21683070063591006,0.3065537512302399,0.14785991609096527,0.04007936956215232,0.07451625599527838,0.07705775420348816,0.051194518576149706,0.06075430958041704,0.10134742513701572,0.11877521245750745,0.067546388974374,0.05900663882493973,0.09768825769424437,0.11728084087371825,0.06727702915668488,0.01715114153921604,0.05995269864797592,0.02935835905373096,0.02151522040367126,0.01715114153921604,0.05995269864797592,0.02935835905373096,0.02151522040367126,0.017116065560639132,0.013568251443010907,0.03744705504083976,0.01898227428392221,0.019237731017729232,0.02491176315391496,0.0366600289319366,0.015552778438541703,0.07144273817539215,0.11334401369094847,0.1422293484210968,0.07766842097043991,834.7814457483321,838.5363600357542,835.4146315761366,836.491860361143,1092.6173060534886,1093.7161188480602,1094.5204324338451,1091.346133428581,0.0,0.0,0.0,0.0,834.2914456170822,1093.5589329204977,0,815.0,822.0,909.0,861.0,1119.0,1065.0,1121.0,1072.0,0.0,0.0,0.0,0.0,16
1291,60,17,41570,994.0,1284.0,1.0,1.1075979692022175,0.7706620841572891,1.0,0.725517915423146,0.6685478907920394,288.15475513386,291.4875640571995,88.68483523128404,34.36408166050962,31.01612483854165,181.9861027056637,183.6248970344056,-23.565086667415944,883.9519999999973,0.9704794032847356,0.6229455408066937,0.0198878489260313,0.19185994356295716,0.0902253510715426,0.009334935122234702,0.012555455840258248,0.02056115670203001,0.02527780116465469,0.021548123342049315,0.008739675410617107,0.0011350230924271247,0.005312383052103379,0.01874239761528896,0.028974789253367,0.007725380425636889,0.008321784420541035,0.0034635298600109226,0.006721602372161292,0.004693802366405295,0.0019028745308302113,0.004580769798860704,0.0054502807783733224,0.016589988773556212,0.004672861294298702,0.004746206107307676,0.004341505176599532,0.0008721286741108394,0.0052808733405700975,0.004161757492063021,0.001195143742268592,21.10676748491824,50.68062873929739,41.17340360581875,35.555886214599006,2873.2654190100734,4178.104756545275,6216.569805178791,4092.7823189329356,0.05053025111556053,0.08406195044517517,0.10807964950799942,0.08227664977312088,0.0157625712454319,0.014023043215274809,0.04042115062475205,0.017196916043758392,1.2753506187503885,2.963958000545099,0.9489514916661496,1.0276626876644024,0.05149919912219048,0.09364461898803712,0.1420004516839981,0.08896009624004364,0.19395743310451508,0.24531929194927216,0.4026092886924744,0.186709389090538,0.02829325400123088,0.0679364996505327,0.05519223003460958,0.047662045864073736,0.06911872549940036,0.10050769200253247,0.14954461883999978,0.09845519169913244,0.06919966638088226,0.09715419262647627,0.15017929673194885,0.10151827335357666,0.01882963255047798,0.058243688195943825,0.035950254648923874,0.03109788708388805,0.018173495307564732,0.05728236958384514,0.035950254648923874,0.02993820048868656,0.005892010309186607,0.0076198231070181985,0.01608127256117045,0.011721508927313771,0.02636642576095928,0.02430967500682191,0.05687893230741695,0.026975227271803875,0.08290989696979523,0.11230640113353728,0.1890440285205841,0.11729609966278075,998.5790785288747,1001.4319605175513,998.4540790111748,998.6285934046733,1280.7298408550776,1277.6112390717512,1280.0749891678886,1280.451443509259,0.0,0.0,0.0,0.0,999.3232379119555,1279.694106326678,0,1003.0,1004.0,985.0,1031.0,1292.0,1296.0,1258.0,1290.0,0.0,0.0,0.0,0.0,17
1295,60,21,33904,673.0,1477.0,1.0,1.0885842429187509,0.7446812789842772,1.0,0.6896243109655635,0.6673775498093789,254.46322207413849,261.4517163837331,83.00602387778855,30.566485178275574,27.202941017470888,174.0329015791917,169.83390779203586,52.387925165694504,798.9959999999968,0.957753640588144,0.6314695941251296,0.012506693922779156,0.19692034801984246,0.08309553930697469,0.0063198728109246,0.008213311179627477,0.026218821198734782,0.01915719272497117,0.024349401718277156,0.004927495264167826,0.0005510074145791401,0.005100184113087033,0.024989681794451404,0.02809856885380688,0.006531093541992155,0.012214706657477977,0.0026737874208871155,0.005615599655911419,0.0016249874333148662,0.0015832965548643785,0.0021491406702244874,0.005291141667139853,0.014049036129566685,0.005954908256681522,0.006312331333502365,0.002315827115384881,0.0012772138324063115,0.002808415140984119,0.0027149180174744136,0.000812009595130375,21.202960351482037,42.994552578777075,43.89939735457301,36.16955840401352,1851.8316504945974,3044.168981075287,3982.756880663335,3058.869248608127,0.043366141617298126,0.07714961469173431,0.09175249934196472,0.07478446513414383,0.010696571320295334,0.010101467370986937,0.02481117844581604,0.0160219743847847,4.337731621245138,0.8378438017323702,5.470606395899021,2.693822211404794,0.09143205732107162,0.07281605154275894,0.17875944077968595,0.1100938394665718,0.11982909590005875,0.2067902684211731,0.28114748001098633,0.15031662583351135,0.031836276804027085,0.06455638525341903,0.06591501104290241,0.05430864625227255,0.05461985755352165,0.08978790057442446,0.11747159275198606,0.09022148562435486,0.05387960746884346,0.08815137296915054,0.11642633378505708,0.09057755768299104,0.013946746475994587,0.05973907187581062,0.03360036760568619,0.02934309840202332,0.013946746475994587,0.059250783175230026,0.03360036760568619,0.02934309840202332,0.011968055897497764,0.001803258870682845,0.025121323399886302,0.017095541626822534,0.01566243550448132,0.018021489678060557,0.036453497168773136,0.02221707171461983,0.06475929170846939,0.09742885828018187,0.1414206176996231,0.10678263753652573,662.5705301614728,664.7017230038642,662.2753592733418,663.0060303865267,1470.395385708014,1466.7418959184693,1471.4914622197055,1468.8040862725427,0.0,0.0,0.0,0.0,663.9917118924021,1466.2970740915525,0,708.0,643.0,659.0,735.0,1462.0,1453.0,1515.0,1511.0,0.0,0.0,0.0,0.0,21
