,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_gr,Intensity_IntegratedIntensityEdge_h3k4me1,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_gr,Intensity_IntegratedIntensity_h3k4me1,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_gr,Intensity_LowerQuartileIntensity_h3k4me1,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_gr,Intensity_MADIntensity_h3k4me1,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_gr,Intensity_MassDisplacement_h3k4me1,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_gr,Intensity_MaxIntensityEdge_h3k4me1,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_gr,Intensity_MaxIntensity_h3k4me1,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_gr,Intensity_MeanIntensityEdge_h3k4me1,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_gr,Intensity_MeanIntensity_h3k4me1,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_gr,Intensity_MedianIntensity_h3k4me1,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_gr,Intensity_MinIntensityEdge_h3k4me1,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_gr,Intensity_MinIntensity_h3k4me1,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_gr,Intensity_StdIntensityEdge_h3k4me1,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_gr,Intensity_StdIntensity_h3k4me1,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_gr,Intensity_UpperQuartileIntensity_h3k4me1,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_gr,Location_CenterMassIntensity_X_h3k4me1,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_gr,Location_CenterMassIntensity_Y_h3k4me1,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_gr,Location_CenterMassIntensity_Z_h3k4me1,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_gr,Location_MaxIntensity_X_h3k4me1,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_gr,Location_MaxIntensity_Y_h3k4me1,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_gr,Location_MaxIntensity_Z_h3k4me1,Number_Object_Number,pred,day
8,1,9,42565,1562.0,642.0,1.0,1.2175835934631236,0.8485576953317783,1.0,0.6409426291221202,0.6520750785673521,320.41737048793806,325.7376244771242,81.43709228600933,32.61027522553072,29.681644159311663,164.3771815008553,169.533747492204,-60.72918219159575,905.695999999996,0.971393361251526,0.5107477945672941,0.028904804013767323,0.1898715859070734,0.08963722328464131,0.016151193548213292,0.010187426847722805,0.0132177315989521,0.049416460374286535,0.02631521748270791,0.004935114798467319,0.0036588395313937455,0.0034021854468470965,0.0081356033737592,0.013441393910758766,0.008506798116792284,0.00867309044070458,0.007828311789547496,0.007236294871787689,0.0046958470815688,0.0017478831586411332,0.01311579737708711,0.013098148707174531,0.015117212542942071,0.003922250998293011,0.0037728613505698576,0.0068246947912315795,0.006170195011544782,0.0065677487442465255,0.003630360165945004,0.001201380194213986,12.744609812274575,44.48020150139928,18.709712442941964,57.76588082313538,1354.7114871954545,3954.083164785057,1330.919040100649,6036.238897178321,0.022709239274263385,0.07368581742048264,0.02682536095380783,0.11297779530286788,0.007141223177313805,0.017807282507419586,0.003860533237457275,0.028610661625862118,1.1624102425243044,1.7687416674572345,2.9155052993183936,0.7140876033102204,0.06768902391195297,0.06526283919811249,0.048508431762456894,0.18345922231674194,0.13284504413604736,0.20244143903255465,0.08583199977874756,0.26314184069633484,0.016947619431216192,0.059149204124201174,0.024879936759231336,0.07681633088182896,0.0318268879876766,0.09289517596111964,0.031267920594400304,0.1418122611812128,0.028870070353150368,0.08999770879745482,0.030457008630037308,0.1419699341058731,0.008209354244172573,0.05345235392451286,0.014465552754700184,0.038727398961782455,0.00804150477051735,0.05345235392451286,0.014465552754700184,0.038727398961782455,0.009873130963247509,0.001759662528559068,0.004830057536594861,0.03358046790167607,0.01438744972360045,0.023081681530977068,0.006402745081633143,0.04025943961689329,0.03776608034968376,0.10992217808961867,0.03471427410840988,0.1701495349407196,1562.2673832026917,1560.4821495864896,1563.3243038629184,1561.7822054934784,637.6271650430733,638.6357522588373,639.1060403472735,637.534254178397,0.0,0.0,0.0,0.0,1561.2599788558675,637.0472218959237,0,1572.0,1551.0,1539.0,1578.0,637.0,650.0,622.0,633.0,0.0,0.0,0.0,0.0,9,1.0,-3.0
9,1,10,28609,1114.0,823.0,1.0,1.0658907498167192,0.7097815839326669,1.0,0.7399389613076764,0.8374102086205358,227.3532293938612,229.0021833957048,79.69943538068509,29.94658422339199,26.925824035672523,159.25226739840426,160.15257605497038,-61.7280861573131,655.2199999999979,0.9881186750941184,0.6942151968953418,0.03235952096769749,0.1775086608992793,0.0863841557448515,0.00535147869195413,0.01190469277245896,0.037964846902907134,0.002388805060442324,0.021664863961962873,0.012822488085701777,0.007140022887524124,0.006748044032009671,0.017370023757641125,0.02774305924873814,0.010607074481278995,0.007162663105305319,0.0056430212878342545,0.006804194015677529,0.006899076175948178,0.004398532942270741,0.0038839410432832634,0.007724815397277906,0.006177085983191796,0.006925963203612512,0.0029996694704929523,0.005863702012499182,0.005047100727597447,0.0048952100566279815,0.0024335578809970442,0.0018509502768074366,8.09140160586685,33.04669264703989,11.677241219207644,33.245655067265034,1002.3048020545392,2998.8916787616913,764.5680202282965,4318.945223003626,0.024124514311552048,0.08332952111959457,0.023086899891495705,0.1144617348909378,0.008133061230182648,0.02122530341148376,0.00323491171002388,0.03209735453128815,2.36311823685814,0.6732940022542564,0.635905061916095,2.8515969500198755,0.0240787360817194,0.06584268063306807,0.03778133913874626,0.08883802592754364,0.15352101624011993,0.2054779827594757,0.06608682125806807,0.32463568449020386,0.014474779259153575,0.0591175181521286,0.020889519175684514,0.05947344376970489,0.03503459757609631,0.1048233660303293,0.026724737677943883,0.15096456440293704,0.03450064733624458,0.10188449174165726,0.026535438373684883,0.15946440398693085,0.008911268785595894,0.05500877276062965,0.01579308696091175,0.03764400631189346,0.008911268785595894,0.05500877276062965,0.01579308696091175,0.03764400631189346,0.002324163950558923,0.001675562445989935,0.003452095502893893,0.01044082865354462,0.015825695303654123,0.027541212918861226,0.0051136729178271395,0.04923965146272162,0.04136720672249794,0.1261463314294815,0.029571983963251117,0.18583962321281436,1116.4998255812004,1115.918029695331,1115.150202140726,1115.804435344981,825.8214456190509,822.9176657402227,823.7213688927911,826.4255997862808,0.0,0.0,0.0,0.0,1115.7688489636128,823.574224894264,0,1131.0,1081.0,1137.0,1130.0,826.0,822.0,767.0,819.0,0.0,0.0,0.0,0.0,10,1.0,-3.0
10,1,11,31886,1693.0,838.0,1.0,1.0229289168834903,0.5673314531110425,1.0,0.7023348017621145,0.7041184002352968,222.0210903720554,229.65408770583642,88.23831367382311,31.732718514148893,28.0178514522438,185.36858826002185,182.8320455567198,-24.570178663239172,754.3659999999973,0.9556005094777856,0.7697714514974193,0.06098136246469898,0.15397498025323975,0.053508570420100716,0.010842626494051516,0.0192635393324004,0.05973043767530504,0.008635797923470573,0.010443972752769443,0.02106785271576964,0.009488194329727776,0.005916399053225498,0.0041564189031950026,0.014197947537179297,0.006771795043518872,0.007665932030670617,0.0165516271914459,0.004736962827965632,0.0059572448202355075,0.0033792718447750087,0.005416975149096039,0.010115311834158912,0.002236634177395684,0.003955059368178422,0.001463336371645266,0.001825421983877061,0.01073849522560752,0.005647378117359003,0.0042318565280894315,0.0013025956052143276,16.129289761185643,37.39511713385582,22.15440607815981,62.15623724833131,1121.6622601635754,2698.477610088885,1322.7040090747178,4387.113682102412,0.027740901336073875,0.06927596032619476,0.034256502985954285,0.11497672647237778,0.006301974877715111,0.013168536126613615,0.005767911672592163,0.021957732737064358,5.881603950938258,1.263955612758406,2.7527469624136547,3.4687258731388946,0.07167162746191025,0.06578164547681807,0.06965743750333786,0.1805905252695084,0.11920347809791565,0.16752880811691284,0.16415655612945554,0.2739146947860718,0.02532070606151593,0.05870505044561354,0.034779287406844286,0.0975765105939267,0.03517726463537526,0.0846289158279146,0.0414822809093244,0.1375874578844136,0.03329518437385559,0.08078125864267349,0.03971923515200615,0.13665980100631714,0.00860608834773302,0.05406271293759346,0.021362630650401115,0.04269474372267723,0.00860608834773302,0.05406271293759346,0.02081330679357052,0.04269474372267723,0.013710194081265826,0.0016073087735597167,0.009070000116103441,0.03541344435575185,0.01259595155156435,0.01928840056203479,0.011152517879133244,0.03329983993950855,0.04029907658696175,0.0967421978712082,0.04597543179988861,0.1589379757642746,1699.4404382388714,1692.9942215667618,1696.0467018009463,1697.1023552496624,837.2431924423703,839.3787841216232,836.9387134769023,837.9187847179666,0.0,0.0,0.0,0.0,1693.6547701185473,838.3011666562128,0,1706.0,1717.0,1686.0,1694.0,857.0,785.0,824.0,857.0,0.0,0.0,0.0,0.0,11,1.0,-3.0
12,1,13,87733,635.0,1374.0,1.0,1.0148195340064674,0.5010413358923645,1.0,0.73983842676921,0.6957068118779564,359.24582841556634,368.19560019098543,150.52574530624318,51.58362428261039,45.122056690713904,313.6979438887032,310.8997293391087,-86.68463793546258,1258.847999999995,0.9642366491916428,0.8239785567261451,0.011685973776991022,0.13464484080355107,0.04941671922322866,0.007609379904458147,0.01845393552103717,0.07336730883348119,0.018125832033114343,0.00481196649331765,0.004413609873578429,0.004791933252039787,0.001631193394884317,0.02042303398430737,0.00591229553551952,0.008338060102618141,0.004474507406614218,0.00284159882170155,0.003886377282053436,0.0057334613200783905,0.003291209581848815,0.0069210302152209425,0.013951161182837304,0.006261131504066698,0.0039236204829185255,0.0010155528973534956,0.002098616974314883,0.004658437583187025,0.003744686744749471,0.002424304567572043,0.0002491295430327543,34.311421500518925,62.84464808553457,42.83540104702115,99.58570236712694,3824.751851761713,7339.704243224114,3311.928352419287,10987.053933549672,0.0317845419049263,0.07205310463905333,0.03463798016309738,0.10342565178871156,0.00790417566895485,0.010284580290317535,0.0027771443128585807,0.018844887614250183,13.58567071659699,3.8097192046537565,4.363643850550384,9.757387398405395,0.09117265790700912,0.0643778145313263,0.06167696788907051,0.15097276866436005,0.1728847175836563,0.1572594791650772,0.09660486876964568,0.24802014231681824,0.031977093663111765,0.05856910352799121,0.0399211566141856,0.09281053342695894,0.04359536151461496,0.08365956074936585,0.037750086654044515,0.12523285347075416,0.03886472806334496,0.08261234313249588,0.037140458822250366,0.12126344442367555,0.0161593034863472,0.05368123948574066,0.029816128313541405,0.057755399495363235,0.01594567857682705,0.05349813029170036,0.026092927902936932,0.057755399495363235,0.012798027266588779,0.0015169775723348565,0.004972640566080928,0.020068311412095027,0.018760849399665276,0.015509162924935153,0.004669191542386944,0.02986344500745652,0.0485542081296444,0.09262226521968843,0.040268559008836746,0.1414358764886856,635.7718018906043,636.4188959362755,633.3098675519169,635.812734649979,1356.9780245940876,1366.7556756597949,1373.8477127555416,1360.807061249748,0.0,0.0,0.0,0.0,636.1763988465002,1370.5576692920565,0,669.0,705.0,672.0,597.0,1213.0,1395.0,1525.0,1302.0,0.0,0.0,0.0,0.0,13,1.0,-3.0
13,1,14,32956,1540.0,1506.0,1.0,1.0526285654074934,0.6564888674611896,1.0,0.6546162402669633,0.4626023626505192,236.7925722730216,244.20073709962463,83.24061508662703,29.34378001601209,25.495097567963924,181.91162361980025,178.62109368051185,37.99456784192371,946.1679999999968,0.9174449842016624,0.7036402461061144,0.01565140932414766,0.1817774587210877,0.07133175196057524,0.010154924466951978,0.0163537886308502,0.05260554590747768,0.008038869909988419,0.0045527704374987476,0.010541546039160105,0.0054780278824565895,0.00725734015660637,0.008069456409223453,0.028226027689892113,0.011641541062860741,0.006262174481211828,0.003016891396406225,0.00350476763164023,0.005017741207352979,0.002047840546073498,0.007868641500039155,0.007531655282205405,0.005429371774157446,0.0026923718447976557,0.005900764183847184,0.008303480504679238,0.0017421645259094946,0.005127425025731369,0.0026338138200062405,0.0023657932768684823,24.50800342671573,46.195544477552176,29.855024123564363,93.1646905913949,1118.992770765908,2431.392526011914,1306.5250052195042,4242.671690188347,0.02673380635678768,0.0634317547082901,0.03395132347941398,0.10995651036500932,0.0061341244727373114,0.007965214550495148,0.0044403746724128714,0.018722817301750183,4.572446717915131,0.8072115182795049,1.1841419926646393,4.5015105527692825,0.06932173669338226,0.06243991851806641,0.08882276713848114,0.1955596208572388,0.10458533465862274,0.13785000145435333,0.14645609259605408,0.2238040715456009,0.03094444877110572,0.05832770767367699,0.037695737529752985,0.11763218509014507,0.03395414403343573,0.07377693063514729,0.03964452619309092,0.12873745873857104,0.0320897214114666,0.07116807997226715,0.038284886628389365,0.13076981902122498,0.013275349512696266,0.05406271293759346,0.02218661829829216,0.0644235908985138,0.013275349512696266,0.05375753343105316,0.021194782108068463,0.050125885754823685,0.010836867483567944,0.0014278006972254901,0.007715817773088019,0.022767958697071197,0.01095161857649074,0.013609336612942634,0.00888974378817964,0.027953312279918915,0.03926146402955055,0.0795300230383873,0.04289311170578003,0.14792095124721527,1526.3757235333146,1529.771890725896,1529.6812795466954,1526.464368491533,1490.4213480321253,1493.3934661708256,1492.897482948441,1490.441750453067,0.0,0.0,0.0,0.0,1529.2310353198206,1493.9926872193228,0,1539.0,1478.0,1606.0,1568.0,1428.0,1496.0,1474.0,1515.0,0.0,0.0,0.0,0.0,14,1.0,-3.0
15,1,16,35349,1296.0,1610.0,1.0,1.1699408916178269,0.8204824473652671,1.0,0.6457617829740592,0.6110116324379722,281.1403779538269,297.30960293942746,78.74642849044012,29.350242772827343,26.305892875931807,168.2914139223983,160.72000296348025,41.75950543021314,852.6459999999968,0.9332206924772628,0.5091777026104246,0.017818832696816073,0.20460941451760886,0.07635410771437857,0.011070463811264556,0.009823278288076259,0.011836040412597414,0.042655379408460384,0.025202665646627258,0.0044411973570484325,0.00795036448135051,0.0057114828789538,0.019012376082894616,0.015997723111045883,0.011121401655985791,0.011446667242343249,0.007143153877513831,0.0038335073269100775,0.001475795269302245,0.004986950581833044,0.014153719703493812,0.015051145899930032,0.013843073893384213,0.003895210565391319,0.005881814517165066,0.0016473911294038865,0.0055107080290565475,0.005657652830109061,0.002909713203038433,0.0035241033805232906,15.988082774914801,42.623621050268405,27.86411845497787,61.101625081151724,1322.5242883861065,2923.7777256444097,1645.5033988058567,4649.524576567113,0.02613870427012444,0.06868086010217668,0.03949034959077835,0.10116731375455856,0.008285649120807648,0.01289387047290802,0.006408791989088058,0.027191579341888428,7.614642193737098,1.514851413571662,6.025344061332098,5.319627738472958,0.06605630367994307,0.06547646224498749,0.07052719593048096,0.1590600460767746,0.15121690928936005,0.14575417339801788,0.10292210429906844,0.2833905518054962,0.021991860763294086,0.05862946499349163,0.03832753570148263,0.08404625183102025,0.037413343754734416,0.08271175211871368,0.046550210721826836,0.13153199741342367,0.03326466679573059,0.08166628330945969,0.04547188431024552,0.12423895299434662,0.012298772111535072,0.05377279222011566,0.02537575364112854,0.043106738477945335,0.012298772111535072,0.05377279222011566,0.02537575364112854,0.043106738477945335,0.008483063002805935,0.001633155963394465,0.007569096062848365,0.027095759313033468,0.01718163055713616,0.016155209904080096,0.009928099602219572,0.0400711524932303,0.04301518201828003,0.0944380834698677,0.05227740854024887,0.15966659411787987,1297.2325386755738,1294.13089476645,1296.4308599583158,1295.9029192631622,1614.9379810712949,1606.5807510849747,1613.5588349441489,1613.017748769432,0.0,0.0,0.0,0.0,1293.9212141786188,1608.08102067951,0,1306.0,1277.0,1316.0,1300.0,1640.0,1590.0,1579.0,1639.0,0.0,0.0,0.0,0.0,16,1.0,-3.0
16,1,17,36995,330.0,1879.0,1.0,1.2751064416374256,0.871041600860498,1.0,0.7582185604197409,0.6075208154527332,310.4211988515582,320.30610359467084,74.00675644831355,29.49179686227405,26.925824035672523,148.9835299978776,152.48176499392378,-2.1325534512271167,874.7739999999973,0.9577869542141848,0.4585620443962209,0.031472252410670615,0.18612743082914016,0.08379687447517115,0.01008222289140872,0.014626127121127276,0.02876480148177598,0.054033848572273516,0.027475923567085375,0.0046890323343973936,0.005060924046766104,0.0072782066597595185,0.005347642992862266,0.003544891650768767,0.011429587851261904,0.011501835100991837,0.004814431545126495,0.0069212654594009385,0.004243504147446117,0.0038146859845471157,0.010770608501365618,0.014391968014446553,0.010363298696433088,0.0031955901799271256,0.005625148996693553,0.003472190289393802,0.0036631019474114117,0.004080474034519221,0.0057398058542021116,0.002251001543649448,16.80067149270326,45.079285956919186,30.669398121535774,66.73179217427969,1421.6505721537396,3137.263480808586,1915.4386090673504,5434.933260079473,0.028366521000862118,0.07305638492107391,0.043533988296985626,0.11773861199617384,0.008438240736722946,0.01094071567058563,0.0075379572808742515,0.030258640646934513,6.444389729702298,1.1678273416372709,4.0449388578472485,5.565563763530731,0.08433661609888078,0.063141830265522,0.06010528653860092,0.1769893914461136,0.125642791390419,0.14946211874485016,0.1122911423444748,0.24422064423561096,0.021847427168664838,0.058620657941377365,0.039882182212660315,0.08677736303547423,0.03842818143407865,0.08480236466572742,0.051775607759625634,0.1469099408049594,0.03695734962821007,0.08497749269008636,0.05070573091506958,0.14926375448703766,0.01110856793820858,0.054505225270986564,0.026428626850247383,0.05065995454788208,0.010772869922220709,0.05258258804678917,0.026428626850247383,0.05065995454788208,0.010718227708115095,0.0015456586317014953,0.006402684036562356,0.026950119829817692,0.015423814622024412,0.015368698299189769,0.010957635354583382,0.04009160050667559,0.045151446014642715,0.0951552614569664,0.058701455593109124,0.17827115952968595,315.01003395796846,311.07638710154066,313.88570511401304,314.80613757212717,1885.093070334244,1881.1265063987469,1881.8942936178,1883.7993248245596,0.0,0.0,0.0,0.0,309.90890660900124,1881.1549668874168,0,319.0,263.0,242.0,319.0,1929.0,1903.0,1867.0,1884.0,0.0,0.0,0.0,0.0,17,1.0,-3.0
18,1,19,27836,1220.0,2047.0,1.0,1.3318049576338369,0.8756083903865585,1.0,0.8152052949100921,0.6907569821024949,276.08975944538355,272.8021260914218,125.15989773086264,43.61403217637336,38.48376280978771,125.0,133.3573403911258,-1.3501891338768877,711.6159999999985,0.9929371477491618,0.4762351482410607,0.1220963554922718,0.11157618418236298,0.06392314607235676,0.07983912230568949,0.0387934787330069,0.017510796353961033,0.013279289935860158,0.02038298972231901,0.004531905359524521,0.02166878329180812,0.01392100786210629,0.0136852768186996,0.002028225181126489,0.008445250185985088,0.00981301361808107,0.004142547870959384,0.0066029156131506075,0.004641206658178928,0.004813352356379251,0.013287249980117556,0.017891969676964894,0.0071162891864725185,0.007667135559515567,0.00582855626307278,0.006013940093168004,0.002720284482812235,0.003837519888733135,0.0002762481941021306,0.0010857953127953396,4.833676704671233,22.66369118541479,8.993484437465668,23.74624247848988,886.8748029209672,2712.6356176659465,905.4062134101988,3981.6816532649104,0.02087434194982052,0.0789806991815567,0.027939269319176674,0.11230640113353728,0.008438238874077797,0.01916533708572388,0.0044403746724128714,0.031189441680908207,9.440423034599217,3.723715661071905,4.928656719742081,7.156088399718584,0.023346303030848503,0.062272068113088615,0.035370413213968284,0.10258640348911284,0.13984893262386322,0.15133897960186005,0.08882276713848114,0.2830243408679962,0.012457929651214521,0.05841157522014121,0.023179083601715642,0.061201655872396586,0.03186071285101909,0.09745062572445562,0.032526448247240936,0.1430407261555148,0.02815289609134197,0.0959487333893776,0.0319676510989666,0.1422751247882843,0.0070801861584186545,0.05520714074373245,0.016571298241615295,0.041016250848770135,0.0070801861584186545,0.05508507043123245,0.016571298241615295,0.041016250848770135,0.003573581385690123,0.001379618454702716,0.0040988271009469975,0.013211336969020852,0.01722001600875122,0.021881248653557558,0.0069681521417001065,0.04573616255304319,0.038452737033367164,0.11720454692840575,0.03691157326102257,0.1745174378156662,1222.300043922534,1219.9636851054386,1217.9791888251502,1221.6576843250973,2001.91995047862,1996.3943015961795,1997.022361492196,1999.7193175740342,0.0,0.0,0.0,0.0,1220.3259088949562,1992.688245437563,0,1187.0,1283.0,1116.0,1241.0,2039.0,2018.0,2039.0,2029.0,0.0,0.0,0.0,0.0,19,1.0,-3.0
22,2,4,44584,1230.0,290.0,1.0,1.0927843043200638,0.7520132157437279,1.0,0.7633200931379263,0.718749682747669,293.46457035225274,298.22474746405607,93.43446901438463,35.61583226221907,31.953090617340923,194.82685200568082,193.4365929536462,-2.5689490119726863,882.887999999997,0.9728656374447662,0.6382661164234915,0.012757416671030829,0.19257369321319784,0.08784534516362623,0.0036233149103410025,0.010290060373107862,0.026366805640325484,0.019653103673200598,0.02178932559991606,0.00794515223068578,0.0055348329805623925,0.007927945632501912,0.0209918396366621,0.03045747012225324,0.007776454637726925,0.008118150436730741,0.0025160541452799823,0.0033171905465970626,0.002349221181481561,0.004282267535404571,0.0014504241096341994,0.002529884627112545,0.013693588871038656,0.0071152956120812735,0.00458115329189962,0.002076093875877381,0.005132881509696478,0.004192262375912359,0.001470347321669304,0.0018026751720345675,12.093400561250744,34.968444414436824,23.50627920590341,49.19128712639213,1440.5970138860864,3159.491344720125,2013.6323083583263,5605.638807222247,0.022003509104251858,0.05758754909038544,0.035477224737405784,0.0961470976471901,0.008178835734724998,0.012237735092639923,0.008300907909870148,0.02961775660514832,3.949458477609213,2.1942290850234425,3.394435855440064,2.315881754297015,0.05021744221448898,0.05094987526535988,0.06861982494592668,0.16733042895793915,0.11529716849327087,0.125673308968544,0.1603265404701233,0.2347142696380615,0.015996561588956012,0.046254556103752405,0.03109296191257065,0.0650678401142753,0.032311973216537025,0.07086603590346592,0.045164909123414816,0.12573207444873155,0.029755093157291405,0.06936751306056976,0.04287785291671753,0.1282978504896164,0.0076905470341444016,0.042298007756471634,0.020157167688012127,0.034149691462516785,0.0076905470341444016,0.042298007756471634,0.020157167688012127,0.034149691462516785,0.007949126809279977,0.0013182744826856427,0.006046920345967474,0.027254616410344847,0.01588802621463823,0.016001894367253633,0.013058468725578785,0.04051213568639197,0.038651101291179664,0.08238346129655838,0.05239948257803917,0.15590143203735352,1231.1607953126402,1234.0877874544794,1230.542460151709,1232.0429694231348,286.41314154141435,291.42513193705213,289.55733188217954,287.8831495043921,0.0,0.0,0.0,0.0,1233.9217656558408,289.2371927148753,0,1151.0,1173.0,1169.0,1220.0,331.0,332.0,303.0,300.0,0.0,0.0,0.0,0.0,4,1.0,-3.0
23,2,5,42224,1350.0,835.0,1.0,1.01747636377131,0.5324135771879601,1.0,0.7778637485722707,0.823896505146807,251.92692464251843,251.43189932862538,103.39245620450264,37.358071396393974,33.06055050963308,209.3067141255499,213.2522032247518,-16.101577249623187,802.5059999999969,0.9849197000268248,0.8492916351832673,0.05030087080850185,0.10943968496904598,0.05828947016788465,0.01675961114776188,0.012401968907150477,0.055065850445100435,0.01965280788964197,0.0024096733832796122,0.011583568920348562,0.00966814321806885,0.010266140311098744,0.017080432184668797,0.009127861574669148,0.009365336304478887,0.004475522398015741,0.013775510269530151,0.00868282945559693,0.008257732991575065,0.003573422537929157,0.0030089497267197143,0.009414543486034807,0.004308383334132439,0.00265774610294092,0.0023394682656559143,0.0034332945175777037,0.00128231505745935,0.0018413563451207453,0.004111251198884556,0.0015712442505827545,11.12494095787406,31.71192501112819,24.59104299359024,37.182894688099616,1683.5977158071473,3181.021092299372,2229.852906839922,5446.085332550108,0.029633020982146263,0.061341267079114914,0.042038604617118835,0.10218966752290726,0.008697643876075745,0.013046462088823318,0.008789196610450745,0.027222096920013428,0.6528025270396474,3.559144880434045,3.8277355684203656,1.8840153016075007,0.029495690017938614,0.051270313560962684,0.0643930733203888,0.1128709837794304,0.12138552218675612,0.14663919806480408,0.3366445302963257,0.2535896897315979,0.01631223014351035,0.04649842376998268,0.03605724779118803,0.054520373442961324,0.03987300387947962,0.0753368011628309,0.05281008210590949,0.12898080078983773,0.03944457322359085,0.07435721158981322,0.05037003010511398,0.12965591251850128,0.010116731747984886,0.04264896735548973,0.0240939948707819,0.032700084149837494,0.010116731747984886,0.04264896735548973,0.0240939948707819,0.032700084149837494,0.003463836546228569,0.0014182229179222525,0.00591242065520029,0.014245375232989544,0.015645969617821817,0.01805760334724453,0.015395262550238532,0.040523545520524035,0.0471046008169651,0.08743419498205185,0.05999847501516342,0.1567406803369522,1365.2241802523888,1364.7122238944169,1365.3841400608442,1364.0867520250324,830.9378666649321,833.8946550578796,834.1471762040817,832.0163871620517,0.0,0.0,0.0,0.0,1364.9537466843499,830.34371447518,0,1375.0,1372.0,1336.0,1322.0,827.0,849.0,875.0,881.0,0.0,0.0,0.0,0.0,5,1.0,-3.0
