,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_gr,Intensity_IntegratedIntensityEdge_h3k4me1,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_gr,Intensity_IntegratedIntensity_h3k4me1,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_gr,Intensity_LowerQuartileIntensity_h3k4me1,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_gr,Intensity_MADIntensity_h3k4me1,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_gr,Intensity_MassDisplacement_h3k4me1,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_gr,Intensity_MaxIntensityEdge_h3k4me1,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_gr,Intensity_MaxIntensity_h3k4me1,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_gr,Intensity_MeanIntensityEdge_h3k4me1,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_gr,Intensity_MeanIntensity_h3k4me1,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_gr,Intensity_MedianIntensity_h3k4me1,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_gr,Intensity_MinIntensityEdge_h3k4me1,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_gr,Intensity_MinIntensity_h3k4me1,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_gr,Intensity_StdIntensityEdge_h3k4me1,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_gr,Intensity_StdIntensity_h3k4me1,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_gr,Intensity_UpperQuartileIntensity_h3k4me1,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_gr,Location_CenterMassIntensity_X_h3k4me1,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_gr,Location_CenterMassIntensity_Y_h3k4me1,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_gr,Location_CenterMassIntensity_Z_h3k4me1,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_gr,Location_MaxIntensity_X_h3k4me1,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_gr,Location_MaxIntensity_Y_h3k4me1,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_gr,Location_MaxIntensity_Z_h3k4me1,Number_Object_Number,pred,day
1,1,2,55610,1363.0,223.0,1.0,1.0410108532505622,0.6580781503182743,1.0,0.7555501209206271,0.8621454501733051,306.0642706440109,307.09281984442424,115.43396380615197,42.78275874685309,38.15100164458271,231.44284770235896,230.45097989787712,-53.3069001488965,900.3079999999965,0.9915749119600588,0.7506151981570964,0.012421752360252886,0.1636872687050919,0.08096873095014494,0.0016664557361460086,0.004026526209574433,0.056665349189580376,0.009977034985036952,0.017497466111292603,0.005806331959951557,0.003341251072614108,0.002061299307285889,0.0060803018787333706,0.023517483461759917,0.014902613238152259,0.004916437616944951,0.002817611159851976,0.0027171907435693267,0.0009673708236877373,0.0013594162692954098,0.012748588230696377,0.015856060782693037,0.0011853161143111882,0.00824307961999661,0.0017616922761677636,0.002679715510769264,0.0031069688918931807,0.002095423434775795,0.0010288996957812265,0.0004613796732229576,9.84090951969847,48.217639461159706,15.826367694884539,15.627771496772766,1800.7733482965268,6241.892672352493,2136.4017609208818,2787.3204299099743,0.023071641102433205,0.0965896099805832,0.031601432710886,0.04153505712747574,0.00796520709991455,0.014206148684024809,0.006546121090650559,0.008896011859178543,8.167343406158933,0.9929678778146775,6.93993736817975,6.725234953506066,0.022980086505413052,0.06747539341449738,0.04126039519906044,0.04002441465854645,0.1114671528339386,0.2206149399280548,0.11267261952161788,0.10846112668514253,0.012847140365141606,0.06294731000151398,0.02066105443196415,0.02040179046576079,0.0323821857273247,0.11224406891480836,0.03841758246575944,0.05012264754378663,0.0318608395755291,0.1100328043103218,0.03978027030825615,0.05214007943868637,0.007431143894791603,0.057953763753175735,0.011261158622801304,0.01307698152959347,0.007431143894791603,0.057953763753175735,0.011261158622801304,0.01307698152959347,0.0034819467861971283,0.0014983730861424644,0.0048681669310060285,0.005596251341216355,0.014263360613668775,0.026600148684523033,0.010676332354969195,0.01550845779770936,0.039078354835510254,0.1250171661376953,0.045082781463861465,0.05995269864797592,1371.800248798252,1368.1361498925141,1369.2706373054784,1369.1502011298676,209.24282956859952,216.58574982235524,209.40286582552486,209.59137896667266,0.0,0.0,0.0,0.0,1367.296277647905,216.05603308757415,0,1380.0,1372.0,1391.0,1378.0,131.0,292.0,164.0,138.0,0.0,0.0,0.0,0.0,2,1.0,-2.0
2,1,3,86040,198.0,307.0,1.0,1.0224471298180948,0.5787995323679369,1.0,0.7545978372405083,0.8439359618899916,365.9911374547574,373.2090566961097,151.00331122197287,53.36139906790783,47.296934361541865,303.9195714039373,298.4547435877624,-75.1668313700554,1131.8799999999953,0.987523959277836,0.7862068701060261,0.02103480281422173,0.1530913019198001,0.06340427342071152,0.008335910691488715,0.006235769171683606,0.06931657823826809,0.01624587484239699,0.017208925614246667,0.010105817444372195,0.003570854171369403,0.004264655040386191,0.007110588651912677,0.013846923308288142,0.009045240049355195,0.0026266408931426943,0.006182440366658742,0.002480232013862265,0.0011634423130015509,0.0049262036340046965,0.01423482054082822,0.01733932749987847,0.0009981635464947763,0.005996001219356367,0.0009330602520658246,0.0036994466522541174,0.0018125458879618796,0.003316500994595641,0.0011154344493978288,0.002582109754942372,16.164492375217378,60.23442456126213,21.703334173187613,46.6440223865211,2386.858252671547,7793.583528198302,2733.506989935413,6626.908255795017,0.0237582977861166,0.08104066550731659,0.02864118479192257,0.06897077709436418,0.003936829045414925,0.009246967732906342,0.00323491171002388,0.008545055985450745,3.356297811748953,2.1264380480257192,3.8430558607372727,1.7101036492303143,0.030350195243954662,0.06707865744829178,0.031601432710886,0.0793163925409317,0.04957656189799309,0.14932478964328766,0.06591897457838057,0.1107194647192955,0.01689079663032119,0.06294088250915582,0.022678510107824047,0.04873983530461975,0.027741262815801342,0.09058093361457813,0.031770188167543165,0.07702124890510248,0.027908751741051674,0.09071488678455353,0.032516974955797195,0.0793926939368248,0.01120012253522873,0.05767910182476044,0.016403447836637497,0.028259709477424618,0.01120012253522873,0.05767910182476044,0.01574731059372425,0.028259709477424618,0.00360712577591845,0.001396790333683832,0.0035421548560003453,0.012356745604842814,0.006157553957541714,0.014208072176530712,0.004857411555115047,0.014169982999933382,0.0316472128033638,0.09951934218406676,0.035355154424905784,0.08686961233615875,193.115317839844,196.09825772593018,193.19670814567775,194.72739101205437,305.9945256262608,306.88191258060107,302.40838508440066,305.56471008513415,0.0,0.0,0.0,0.0,196.23630869363086,304.75996048349606,0,172.0,140.0,182.0,170.0,389.0,265.0,272.0,395.0,0.0,0.0,0.0,0.0,3,1.0,-2.0
3,1,4,37055,1855.0,512.0,1.0,1.1724461661161285,0.8103957999191241,1.0,0.7320952286871479,0.7568045358190202,286.3802891358286,284.39760899135564,84.59905436823746,31.463662253961807,28.79236009777593,171.44274759094807,167.78528374213386,-22.10804455815381,784.397999999997,0.9781561406982116,0.5830881432566846,0.05136687921729087,0.17541579825035625,0.09675993712278363,0.02605646561526672,0.007166523019506634,0.0015726649085739193,0.030998325880334507,0.030919950678382182,0.011940047248298129,0.017325524423027396,0.0048257791968282365,0.007661814815834477,0.018012143189418843,0.0061469675440916785,0.01256073638011404,0.012808276192715686,0.0132906478618143,0.006480762523745696,0.0035748146365048275,0.008041100868637607,0.004807802131085334,0.011890244311609713,0.00508078225099119,0.005559181173364566,0.0037209838150506383,0.007705511233929116,0.005867427453375963,0.003277238028466079,0.0017579493198239366,8.423117504920809,42.66991693899036,16.109788738191128,25.43312736786902,1147.4495347584598,3510.7915041968226,1611.3065884131936,3121.6099060904235,0.020050354301929474,0.08174257725477219,0.03489738330245018,0.06517127901315689,0.008361944928765297,0.010452426970005035,0.008606087416410446,0.01938658207654953,4.432360015382712,2.049405179517971,3.6713050844194304,2.29263289845964,0.030716411769390106,0.06884870678186418,0.05056839808821678,0.07775997370481491,0.14578469097614288,0.1820553839206696,0.1263294368982315,0.1891050636768341,0.012460232995444985,0.06312117890383187,0.023831048429276816,0.03762296947909618,0.03096611887082606,0.09474541908505796,0.0434841880559491,0.08424260979868907,0.028412299230694767,0.0952468141913414,0.04232852533459664,0.08570230007171631,0.005584802012890577,0.05873197689652442,0.012115663848817348,0.02127107605338097,0.005584802012890577,0.05873197689652442,0.012115663848817348,0.02127107605338097,0.004346429979379664,0.0015258533623352442,0.007517589568691356,0.013748281149890185,0.016844114471768385,0.01851939384134226,0.013292821479792369,0.02764730896707516,0.03675898537039757,0.10376135259866713,0.052311740815639496,0.10420385748147963,1882.2127998020007,1878.2436448601609,1882.4914016656205,1878.057208874407,506.3867790529277,511.3293752459214,507.5470527567277,508.9127633494338,0.0,0.0,0.0,0.0,1879.9540682768854,510.2004317905816,0,1825.0,1800.0,1853.0,1858.0,466.0,500.0,524.0,473.0,0.0,0.0,0.0,0.0,4,1.0,-2.0
4,1,5,53516,1360.0,719.0,1.0,1.066476346108831,0.6825235114422812,1.0,0.7568056792951791,0.7465620361844917,307.12588508071974,311.0064308016797,105.07616285342743,38.84738763039661,34.88552708502482,236.3593500434057,224.4671414793104,29.532346127808665,949.1039999999962,0.9453787450537028,0.7044315430029208,0.004302574157326093,0.17518113853257414,0.08037866198160634,0.0044730344888549226,0.0083442440652256,0.041250321123824325,0.005747437171297119,0.03536732841726405,0.001353783296107159,0.003269390489591464,0.003970122283495949,0.016666683807731283,0.02228155048659775,0.004957473361339363,0.002727750058023789,0.003581977598797728,0.0009774083125571752,0.00442171956257508,0.00040553327974366077,0.008012893401465883,0.009769417159711856,0.008585210706841605,0.020903688703432455,0.0027861760548475788,0.0024468519564158327,0.0017746847234347352,0.002150184617037532,0.005057397256992887,0.0017072559811083525,9.380010775756089,50.967788241803646,15.506950582377613,17.993057240732018,1291.3189193606374,5790.230415988714,1667.7917047534138,2931.764268537052,0.01727321371436119,0.08842603117227554,0.02532997727394104,0.041046768426895135,0.0055390242487192145,0.01748684048652649,0.005813686177134514,0.014114595949649809,4.220815412229289,1.9269134782835085,0.7096568590644996,1.903185674467452,0.023102158680558205,0.06698710471391678,0.03404287621378898,0.05717555433511734,0.10870527476072313,0.2294956892728805,0.08972305059432982,0.13533227145671844,0.011608924227420905,0.06307894584381639,0.01919177052274457,0.02226863519892576,0.024129585906282936,0.10819624814987504,0.03116435654296685,0.05478294843667412,0.02240024507045746,0.10775921493768692,0.030670633539557457,0.05387960746884346,0.007507438771426678,0.058609902858734124,0.013275349512696266,0.014038300141692163,0.007507438771426678,0.058609902858734124,0.012191958725452423,0.014038300141692163,0.0026331042106207893,0.0014564596874496927,0.0028851024814464453,0.0064006537270379325,0.010782248160608457,0.02714078232361732,0.008316694719831649,0.02009778325576748,0.028412299230694767,0.12416265904903412,0.03700312972068786,0.06985580176115036,1368.8869835244548,1363.526760498445,1365.1342137451602,1366.6241618144556,717.7459983484674,719.9592133514477,717.8704106880257,718.321187012289,0.0,0.0,0.0,0.0,1364.725371851409,718.4504634128111,0,1327.0,1403.0,1322.0,1328.0,808.0,767.0,658.0,809.0,0.0,0.0,0.0,0.0,5,1.0,-2.0
5,1,6,48873,1168.0,948.0,1.0,1.0284471434895053,0.6083668056854241,1.0,0.7317193675889329,0.8012838765237495,279.63512393812874,281.51909349100987,108.23123393919151,39.89255792287093,35.355339059327385,218.6262153497853,221.9340910005592,62.42458767248142,875.4799999999964,0.9820461555464016,0.7848173987880674,0.028227143642777636,0.14933341707033668,0.07092336017461796,0.0048337990982343535,0.009547558829218516,0.06344996643870922,0.012919230156952564,0.008228853704430331,0.009446836750095002,0.008320219777698014,0.001747018893992327,0.00665009596985186,0.01986588504935794,0.011457557444131858,0.004014859420885517,0.0070629677620979514,0.0009600190564185816,0.003604711475415232,0.0035483362674372226,0.007617303091900528,0.0181056773613794,0.0028046535572288675,0.0038611009491084244,0.002733043339332309,0.0013143358747966908,0.008122187852140972,0.003937215746585315,0.0008394127231491472,0.0015892043332626725,12.055237750522792,46.05694664269686,16.86852833814919,30.31705206073821,1236.9121745750308,3908.0001876391466,1435.5947867315265,3063.3173625823106,0.02085908316075802,0.07035934925079346,0.02540627121925354,0.05314717441797257,0.004013122990727425,0.008148320019245148,0.0036011300981044774,0.009384296834468842,6.335710666033044,0.7349261390916482,3.4219715779045465,6.700229678666452,0.031204700469970707,0.06694132834672928,0.038666360080242164,0.06469825655221939,0.058350499719381325,0.13614098727703094,0.07342641055583954,0.126283660531044,0.016446436221722774,0.0628334879163668,0.023012999097065744,0.04136023473497709,0.02530870162615413,0.07996235523989006,0.029373985364752036,0.06267913495349807,0.024872206151485443,0.07769893854856491,0.02903791889548302,0.0625467300415039,0.010223545134067535,0.05893034115433692,0.016632333397865295,0.028305485844612118,0.010223545134067535,0.05893034115433692,0.01594567857682705,0.028305485844612118,0.004808859353303288,0.0014234496882320929,0.0034293752048553602,0.00863155621035133,0.0065813515133897145,0.012726707150995595,0.0052938596412577844,0.013164834333226726,0.028900587931275368,0.08702220022678375,0.032593272626399994,0.07193102687597275,1182.395279139208,1177.4743362484785,1180.1595924303094,1182.057861155682,968.2981404398153,963.7304030493649,966.3577360413286,969.0304946955197,0.0,0.0,0.0,0.0,1178.1892251345325,963.5599615329527,0,1173.0,1232.0,1132.0,1234.0,957.0,945.0,1042.0,966.0,0.0,0.0,0.0,0.0,6,1.0,-2.0
6,1,7,40503,815.0,1006.0,1.0,1.053074108468408,0.6733480448579195,1.0,0.7691124530021648,0.8249736227600492,264.44914926075177,262.90872941003687,94.89467845985884,35.605680186403156,31.953090617340923,193.92823699970842,195.51403804924286,80.09022962137145,785.4679999999972,0.9837391462748194,0.7460464229585629,0.07221780621500573,0.14595590774131165,0.0795847843095941,0.006399142666585274,0.01231784839518334,0.040873858529969234,0.005609267270198071,0.013464101664681935,0.02694043954417575,0.01828951395216032,0.0028124278869123315,0.005719793252604184,0.01709101815796105,0.011276024863475016,0.0036772052451564336,0.0046870497839276645,0.006442531839268708,0.007980534463423651,0.0011904378415328867,0.0064071335276160895,0.006736815485577722,0.006763600954691657,0.00807500595161542,0.0006848906055573239,0.00837932838497814,0.012181847806261914,0.006793567025509454,0.00047078073351999275,0.0015900784012619228,10.544884482398631,42.410483006387956,17.375021064653993,31.200656171888113,1132.9356721676884,3494.799760054797,1572.011540170759,3135.7187042105943,0.02148470282554626,0.07248035073280333,0.032990004867315285,0.0639200434088707,0.0055085066705942145,0.01162736862897873,0.005172807723283768,0.01287861168384552,5.047143081310934,1.1851829646434102,3.605879015178717,4.751128240807403,0.02249179780483246,0.06640726327896118,0.03718623518943786,0.07038986682891846,0.09791714698076248,0.16562142968177795,0.08621347695589067,0.14770732820034027,0.015622051085035006,0.0628303451946488,0.025740771947635542,0.046223194328723134,0.027971648326486645,0.08628496062155389,0.03881222477768953,0.07741941841865033,0.026504920795559883,0.08220034837722777,0.03898680210113525,0.07724116742610931,0.008422980085015297,0.05888456478714942,0.016311895102262497,0.024399176239967343,0.008422980085015297,0.05888456478714942,0.0158541239798069,0.024399176239967343,0.002691783484063347,0.0014049373209001645,0.0035648236186611023,0.00859897951898848,0.00967081541657162,0.017661895130215818,0.00844923217172033,0.01920888288359993,0.032532233744859695,0.09736781567335127,0.043305102735757835,0.08961623907089232,812.0642326888692,808.3797182152531,810.3274480634101,811.5719508149907,989.8678559122673,988.2428462186093,986.6439515879563,986.5694720064247,0.0,0.0,0.0,0.0,807.2157124163643,988.4658914154508,0,810.0,822.0,804.0,810.0,969.0,954.0,1015.0,969.0,0.0,0.0,0.0,0.0,7,1.0,-2.0
7,1,8,38862,1498.0,987.0,1.0,1.0443548336594448,0.6604691510221096,1.0,0.7637671475177863,0.8427675103199103,256.5439497477509,254.0255892621844,94.36630754670864,35.48744058361525,31.764760348537177,189.3438761837199,192.62684092750027,-22.981266022076827,761.2259999999973,0.9890437106317996,0.766724366167407,0.04937258177016507,0.14644090577284172,0.08261012521635548,0.004872665338262331,0.0004452924521461463,0.04907470936344222,0.009205377250517364,0.011952603454725685,0.02210509685869607,0.013390800941159357,0.004466366266429973,0.0022386504340544265,0.017924419581889704,0.016115999108469132,0.0037490845640158477,0.005824133389686958,0.003053297910203837,0.004236643260571241,0.0022134616764707573,0.0018735440158714168,0.009817878699446787,0.002654610025853577,0.0063785173488437935,0.0013273569065248689,0.009245832429677464,0.010632431149947748,0.007522729567900909,0.0006157711659719687,0.00042311516415028094,7.569298917427659,41.03466859459878,13.535484917461872,19.4931259136647,1042.5221374938264,3761.3885431922968,1406.700942531228,3074.3481538631017,0.019424734637141228,0.08368047326803207,0.029617762193083763,0.0631265714764595,0.0060730893164873114,0.013107500970363615,0.0060425717383623114,0.016769662499427795,7.2885900950151825,0.9234626862068992,2.86128155281421,4.688845686309068,0.02241550385951996,0.06819257140159607,0.03643854334950447,0.06576638668775557,0.10368505120277403,0.16639962792396545,0.10705729573965073,0.15165941417217255,0.011645075257581013,0.0631302593763058,0.020823822949941343,0.029989424482561075,0.02682626054999296,0.09678834190706337,0.03619733782438444,0.07910936528905106,0.02590981870889664,0.0951552614569664,0.03639276698231697,0.08291752636432648,0.008010986261069775,0.05871671810746192,0.01438925787806511,0.018173495307564732,0.008010986261069775,0.05871671810746192,0.01438925787806511,0.018173495307564732,0.002680351564515352,0.0015250950201757488,0.0041350426114788825,0.009955005890200123,0.011462222002274921,0.01855133090443446,0.009779699511308028,0.025224788001341508,0.0316166952252388,0.10995651036500932,0.04184023663401604,0.09774929285049437,1512.7479821528002,1505.507162879067,1509.2345101681055,1510.1447776806351,976.5308211955916,980.2765764054336,979.6247249281404,977.3003488035769,0.0,0.0,0.0,0.0,1506.4220575369254,980.1510730276362,0,1564.0,1530.0,1456.0,1502.0,905.0,968.0,980.0,973.0,0.0,0.0,0.0,0.0,8,1.0,-2.0
8,1,9,73874,477.0,1159.0,1.0,1.0317606650813143,0.6239559227147877,1.0,0.8000216590859865,0.8481390634520235,346.37418474042124,341.6460156360674,133.0,49.23599295019957,43.84062043356594,267.79839594155914,270.6774097126326,-1.3018271566199686,1046.2059999999963,0.9881619604328576,0.8048580131852435,0.018194711413712983,0.13567083170746272,0.08066645285407915,0.0068945375011324065,0.005957563638911885,0.05674595280163355,0.021676279406675214,0.0072635002710446156,0.004840784320196976,0.005579299987823575,0.0041613116815295,0.003161072972043157,0.014123988367123091,0.015564165853761844,0.003261004789539017,0.003590146327136494,0.003910952088955727,0.00414896827745036,0.002915037874572003,0.010257098723238118,0.016956578835680476,0.0074924952602903935,0.0036222383900679275,0.0023695961489845047,0.0012376701295224145,0.002971666286433941,0.003829282303444939,0.0033194184623470194,0.002000974597275154,10.972945872694254,56.95379579812288,19.66787220723927,27.222171483561397,1722.7502486929293,6874.353268545121,2536.360395412892,4265.969871124253,0.018417639657855037,0.08047608286142349,0.02906843647360802,0.04937819391489029,0.0044403765350580215,0.01112382858991623,0.005249105393886565,0.008667126297950745,1.3977020817943049,2.688809689066008,1.058187949658513,4.681234887468476,0.019165331497788433,0.06721599400043488,0.03364614397287369,0.04435797780752182,0.05627527460455895,0.16406500339508054,0.10539406538009644,0.10186923295259476,0.012111419285534495,0.0628629092694513,0.02170846821991089,0.030046546891348117,0.023320115990645283,0.09305511098011644,0.034333600392734816,0.057746566736933874,0.02278172038495541,0.0948195606470108,0.03456168621778488,0.05996795743703842,0.008972304873168468,0.05772487819194794,0.016708629205822945,0.01969939656555653,0.008682383224368095,0.05772487819194794,0.016708629205822945,0.019424734637141228,0.001856175523868314,0.0014211200024569946,0.002699265723900972,0.006465508330975372,0.006932114873917342,0.016188229062854446,0.007206006298349043,0.013194504991768193,0.027313649654388428,0.10385290533304213,0.03964293748140335,0.06764324754476547,463.9802107789277,467.3105016421076,464.3240747589024,460.5193874325191,1159.570101057224,1157.2018674936098,1159.4571833177065,1159.6443638971066,0.0,0.0,0.0,0.0,465.11526382759837,1158.7544873703873,0,548.0,357.0,386.0,407.0,1125.0,1123.0,1149.0,1123.0,0.0,0.0,0.0,0.0,9,1.0,-2.0
10,1,11,41533,1540.0,1398.0,1.0,1.0691362876501975,0.7195460266850288,1.0,0.7606776556776557,0.8294069592356453,275.6170360957901,273.33678859604686,93.30058949438637,35.98200411926953,32.280024783137954,188.28308733290348,191.4008046558469,14.154145988944009,793.2639999999969,0.9863680623174292,0.7072329769857976,0.04001376682678109,0.1679605850471644,0.09162302117928006,0.008633134928747347,0.00955577269404506,0.03758153640104176,0.0032022014015381703,0.017638339890473403,0.016059695504917506,0.01015177868107128,0.0015568909708830732,0.011328812674138608,0.025891822062638768,0.014471258064653563,0.0047262095174155855,0.0022945731543722674,0.008106588168711145,0.00828421689427817,0.0004213782664288272,0.0025268999168645808,0.00712949207095877,0.006331286203538399,0.005981535944456561,0.002721463486938363,0.00813274951718215,0.007324832724644145,0.0039372181071796785,0.0030352173949740016,0.0005787143644052571,8.645365145057442,42.75020983442664,15.335118729621172,27.53545439243317,952.3673807987944,3601.999332156033,1408.8965174835175,2876.654997682199,0.018677042797207832,0.07670710235834123,0.02876325696706772,0.06147859990596771,0.0037842374294996257,0.009521625936031342,0.004959180951118468,0.008392468094825745,4.9420234488464745,1.018062758352611,2.2087265704910557,5.342604626107661,0.01956206560134888,0.06750591099262238,0.04155031591653824,0.0634622722864151,0.07571526616811752,0.13159380853176114,0.07421988248825072,0.11581597477197647,0.012751276025158466,0.06305340683543753,0.02261816921773034,0.04061276459060939,0.022930377791124997,0.08672620162656279,0.03392233928402758,0.0692619121585775,0.02244602143764496,0.08659494668245317,0.03431754186749458,0.07159533351659775,0.008514534682035446,0.058686196804046624,0.016495002433657646,0.0235599298030138,0.008133058436214924,0.05812161415815354,0.01597619615495205,0.0235141534358263,0.0019230946220105075,0.0014321198194850366,0.003832007587542272,0.007630774912117023,0.006695819802590207,0.013248987111172205,0.007231432235939034,0.014526866756912744,0.026245517656207085,0.0957808792591095,0.038757916539907455,0.0789806991815567,1566.6660581844906,1562.1375993230047,1563.9126884900775,1567.0165909961652,1404.506753453131,1403.135452101492,1403.6603865954305,1404.930043602367,0.0,0.0,0.0,0.0,1561.7430236197724,1404.0739412033804,0,1650.0,1580.0,1639.0,1651.0,1460.0,1431.0,1436.0,1458.0,0.0,0.0,0.0,0.0,11,1.0,-2.0
11,1,12,43039,341.0,1616.0,1.0,1.0283801982608325,0.6069899653323055,1.0,0.7416042043594383,0.8042937106984638,262.2780958602087,266.18038996139444,103.46496991735901,37.71059227882582,33.52610922848042,207.79308342012104,208.43489320018693,-76.27905015157674,820.0279999999968,0.984164732515464,0.7734285096519034,0.015451330321873985,0.15764268782716392,0.06926898577641181,0.00233368591548274,0.005007090087630779,0.06648927090676504,0.01285761848189032,0.015860097775081797,0.007930378155296488,0.005189253825794389,0.0026630659306217342,0.004363691343460435,0.019348296865234583,0.013201021402961135,0.007159833939468762,0.002973133211614536,0.0034181666364970914,0.0014656789921587724,0.001335147329597044,0.012689147200115072,0.0172165976192615,0.0012707977107598591,0.004608677446450977,0.0019034485964794894,0.004733871978756899,0.002550457107163782,0.0032206744544670627,0.0011526332801961314,0.0013474455794035554,7.3676509470678875,43.158861856907606,14.573556155897677,24.05023277178407,889.822313466575,4005.4603839106862,1339.5909408722073,4039.061818247661,0.013916227966547012,0.0795605406165123,0.025635156780481342,0.06696803122758865,0.005691615864634514,0.01277180016040802,0.0054627303034067145,0.028870075941085812,9.386607773499398,1.1080700661429774,3.653080119479496,10.255855798254382,0.014343480579555038,0.06880293041467668,0.0320744626224041,0.06001373380422592,0.058701455593109124,0.14766155183315274,0.0635690838098526,0.17897306382656095,0.01080300725376523,0.06328278864649209,0.02136885066847167,0.0352642709263696,0.020674790619358605,0.09306583294014,0.03112504800000481,0.093846553550214,0.01890592835843563,0.0943770483136177,0.030640115961432457,0.09105058014392853,0.007537956815212966,0.058518350124359124,0.014221408404409884,0.015091172419488432,0.007446402683854103,0.058518350124359124,0.014221408404409884,0.015091172419488432,0.00129466687333105,0.0016902024056343395,0.002913237822136641,0.00974715834805905,0.008111891610539698,0.016618082803246625,0.006853505406894725,0.03359316400403047,0.026337072253227237,0.10574502497911452,0.03663691133260727,0.12355230003595352,343.2656416226633,343.0008018773485,341.3028557241168,345.010586035304,1607.0440036643508,1615.3227399084753,1613.1173445059408,1606.3939736366644,0.0,0.0,0.0,0.0,342.86017333116473,1616.4218499500453,0,382.0,296.0,373.0,375.0,1570.0,1662.0,1603.0,1541.0,0.0,0.0,0.0,0.0,12,1.0,-2.0
