,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
0,1,2,32190,39831,99,609,32375,0.6421886269796304,202.44895886377108,0.8081644949913384,99,94,232.40321222738086,178.14790389610326,689.3868683519032,0.9942857142857144,3375.703315850317,1983.5422289109522,0.16648790135946778,0.0018704109115911477,6.785422936035626e-05,6.590985091399441e-07,-6.142724712800165e-13,-2.214355536058781e-08,-4.364706299089457e-12,1.0
1,2,3,30958,38280,71,1170,31080,0.7000396082364915,198.53702381649413,0.8087251828631139,71,121,239.4073581855189,170.96175614687618,693.3452377915606,0.996074646074646,3582.2426970855827,1826.7451290514975,0.17472019594731836,0.0032155455982194755,0.0006116232728089661,2.958019604612953e-05,1.415125988861242e-09,4.031771460210671e-07,3.7185542318342322e-09,1.0
2,3,4,10394,13664,161,2021,10495,0.9535077399784332,115.03934904187038,0.7606850117096019,115,34,216.31233202064016,65.1897291368,508.76450198781714,0.9903763696998572,2924.439061512979,265.60629905808463,0.3069121955523441,0.06543598107846528,0.0022901808823099327,0.00025244170842503484,-7.779859751127087e-08,-4.018546388311089e-05,1.7547142119923063e-07,1.0
3,5,6,30222,36582,386,1967,30380,0.401110802854505,196.16280361216823,0.8261440052484829,99,101,208.25214766758558,190.7651196776935,671.2031021678298,0.9947992100065832,2710.559813010116,2274.458180352795,0.1649466611528989,0.0002082231550129297,0.00043376453260129873,4.711304856864244e-06,-1.4409858013253572e-10,-4.421027355704454e-08,-1.5683137807791586e-10,1.0
4,6,7,38780,50826,463,167,39046,0.7201363026952518,222.20762710768867,0.7629953173572581,98,128,266.8168689660324,185.12624744032144,754.76659402887,0.9931875224094656,4449.452597802306,2141.982968208445,0.16996997333704875,0.0035404329812624507,3.7175717268329353e-06,9.348363641189242e-08,-2.8172985799378387e-14,-3.2635458409739142e-09,-4.7364883901377503e-14,1.0
5,8,9,90386,122130,668,1097,90940,0.6499918295771226,339.23889737238625,0.7400802423646934,178,171,389.2497871160038,295.80694879059143,1147.4255403194154,0.9939080712557732,9469.712298115894,5468.859434549973,0.16527528303792471,0.0019593085125090568,2.683284100480513e-06,4.541034521656039e-08,9.218999239088045e-15,1.0511583035659527e-09,-1.2894747574632484e-14,1.0
6,9,10,37527,48000,635,575,37755,0.5719683368383031,218.5883354510859,0.7818125,117,98,241.4436691546143,198.0503743796223,731.3107499061545,0.9939610647596344,3643.440335927678,2451.4969244942845,0.1624147216783106,0.001008842989198087,8.946680841340836e-06,9.294187519034512e-08,6.960268710199304e-14,2.3993624531612844e-09,-4.835604073118389e-14,1.0
7,10,11,32540,41990,725,365,32742,0.5110251366314735,203.5465911915063,0.7749464158132888,109,94,219.60010997900483,188.7607372142413,676.8254685319159,0.993830554028465,3014.0130189244373,2226.913494603992,0.1610610483567434,0.0005850920574568441,2.744062384563825e-06,9.564171340428651e-09,-1.8059174064633455e-16,-5.123310843251851e-11,1.5388555146132534e-15,1.0
8,12,13,37489,46805,962,1464,37708,0.681372966719712,218.47763568058065,0.8009614357440444,92,124,255.44726446104355,186.97114879741957,735.9970414071698,0.9941922138538242,4078.3315575393945,2184.888155164176,0.16706819901047162,0.002550920617846449,6.113859079883557e-06,1.753407080546413e-07,1.7541482414360143e-13,8.510925281381986e-09,4.677451454396284e-14,1.0
9,13,14,35714,44919,992,930,35922,0.33576089077849725,213.24276564674264,0.7950755804893253,101,107,219.79388022183582,207.03424132658685,707.1686142824235,0.9942096765213518,3019.334361435669,2678.9485676047125,0.15955319843871818,9.083764449177136e-05,5.884446635468658e-06,5.2075599109402566e-09,9.034923366296286e-16,4.7346163103251145e-11,-1.213087578855483e-16,1.0
10,15,16,56517,71832,1393,1951,56779,0.7683343865330903,268.2530136826,0.7867941864350151,172,122,339.04676825213545,217.00642527474628,932.3229432149742,0.9953856179221192,7184.544441388577,2943.2367881577525,0.1791988468875972,0.005631723843772349,0.0003524022887419534,2.010281536641505e-05,1.4150627697659178e-09,1.22610138562184e-06,9.276413152549879e-10,1.0
11,16,17,53770,86961,1385,641,56009,0.8396402468854994,261.6526138230033,0.6183231563574476,141,145,357.7369165571733,194.30228144128537,1002.6143571373724,0.9600242818118516,7998.481341739624,2359.586035830529,0.1926365515635141,0.010997855007842424,0.00011497810822066448,2.448703179329063e-05,1.2047784293392054e-09,2.1567293665882344e-06,4.86526220114886e-10,1.0
12,17,18,35517,47477,1434,1679,35977,0.6380752621860862,212.65382411411926,0.7480885481390992,98,118,242.58785155687718,186.7863382744781,731.5533905932738,0.9872140534230204,3678.054107686341,2180.571010374235,0.16495270203171933,0.0017776706720788985,1.851186830201493e-05,2.6319873514354603e-07,-1.2545399288337931e-13,-3.355049867520115e-09,-5.672591590047815e-13,1.0
