,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
2,3,57645,72158,281,820,58498,0.760945567158172,270.91676499666545,0.7988719199534355,109,163,336.69744214991965,218.4545947266864,964.6488450227788,0.9854183048993128,7085.322971893655,2982.65062232505,0.1746547592023368,0.005065360761589493,3.2192781143871142e-06,1.601050892219818e-07,1.1477723744729295e-13,1.1383219964787226e-08,-6.192601038785016e-15
3,4,41470,52205,404,1144,41707,0.6697623560323961,229.78521257941554,0.7943683555215018,131,97,266.7036940589437,198.0476313456112,772.6244584051392,0.9943175006593618,4445.678776542915,2451.429017600445,0.1663155966757502,0.002312549436984001,3.376989394814961e-06,8.471786424033819e-08,3.8307609642381026e-14,3.277278180044247e-09,2.420408742646416e-14
4,5,31560,38688,493,86,31730,0.45543782815495126,200.45807549670266,0.81575682382134,103,86,213.0892849973381,189.7064845542042,668.0142853498728,0.9946422943586511,2837.940211292299,2249.2843926196574,0.16119216108719764,0.0003478955658294639,4.97783344257545e-05,5.266619109966495e-07,-1.059330928914465e-12,-3.908632457191586e-09,2.4798226390119154e-12
5,6,41795,58420,627,596,42080,0.7295324711356337,230.6838676028433,0.7154228004108182,115,125,279.28611892684035,191.01667343653793,787.0924958366746,0.9932271863117871,4875.046014076075,2280.460595672561,0.1712048477030419,0.0038537832687288993,3.441923570516406e-05,1.5179269777767619e-06,1.0943831007074187e-11,9.384448218222191e-08,-7.825793862814379e-13
6,7,37841,47718,717,1918,38096,0.6031500537457172,219.50092849991157,0.7930131187392598,123,98,246.10432087953922,196.29963342921846,739.8965363437815,0.9933063838723225,3785.4585472237,2408.3466302778465,0.16367974359825443,0.0013243819819691932,3.7994342821324845e-05,4.539928614362544e-07,2.232456459135291e-13,1.5925286626058157e-09,1.872265345737534e-12
7,8,81610,109744,761,177,82167,0.688546699088186,322.34931246372565,0.7436397434028283,155,177,378.8965264819738,274.77273148113153,1093.685424949238,0.9932211228352015,8972.661111256568,4718.753372850125,0.1677663826014789,0.0027169983650883332,2.4353187696962867e-05,4.668174342270699e-07,-3.1774369953913896e-14,-3.354335346027442e-09,-1.573656708209416e-12
8,9,48008,62160,936,1705,48316,0.6761906167657374,247.2360897273003,0.7723294723294724,141,109,288.1907794560024,212.3178456949035,835.8792924010783,0.9936253001076248,5190.870335216139,2817.4292250328035,0.16681177220981802,0.002444160343723117,1.2419043226534363e-05,2.414904468752143e-07,-1.6807654648024883e-13,-5.6600386483374205e-09,3.8294849197279835e-13
9,10,40593,53800,1057,1171,41375,0.7546110991583102,227.34250117264583,0.7545167286245353,132,97,281.4209842331756,184.66065486563102,782.7665940288703,0.9810996978851964,4949.86064792308,2131.2223409627313,0.17444098708855743,0.0048214359565942316,5.760528400080199e-06,3.757160588226912e-07,-5.489388605646482e-13,-2.605013929847361e-08,-6.471089358519764e-14
10,11,44390,56419,1090,654,44669,0.5276099552713633,237.7374673685111,0.7867916836526702,110,126,258.022913596528,219.18704579137233,796.1808075912431,0.9937540576238555,4160.9889963025835,3002.685065171822,0.16138035732089218,0.0006808865737672584,2.85514555007835e-07,2.063951363682063e-09,3.311967707496901e-17,4.458366014828154e-11,-3.7595116606796495e-17
11,12,25969,37887,1255,834,26373,0.7896054019858118,181.8371736945651,0.6854329981260063,103,81,233.70788883723824,143.4066549598161,638.4823227814082,0.9846813028476094,3413.711081547432,1285.3417929227344,0.1809485492113738,0.006717126303555858,0.0002077017690179653,1.6923935578847888e-05,9.334023893988157e-10,1.2738089873562045e-06,-3.681881057378851e-10
