,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,41884,57024,90,937,44799,0.7840374438235739,230.92935086663962,0.7344977553310886,90,159,298.5653212724898,185.3235345886191,935.9381669041239,0.93493158329427,5571.328191659066,2146.550779526194,0.18426795366214443,0.006686031203780774,6.59961395638645e-05,7.281735849190626e-06,-1.345858858444617e-10,-5.338149180619962e-07,8.583728692816932e-11
2,3,3728,5535,365,16,3950,0.9300597596651051,68.89584183949484,0.6735320686540198,60,16,118.89555967067085,43.683212955127225,291.0304832720494,0.9437974683544303,883.5096318376284,119.2639433801872,0.26898432811636686,0.04202562561057693,0.0024348584920455916,0.00019547910879062023,-8.293968176865718e-08,-2.995985661505046e-05,-1.0634182315510233e-07
3,4,638,899,404,552,671,0.634826707225739,28.501347854812654,0.7096774193548387,11,16,33.41037970250202,25.814681854524054,99.84062043356596,0.9508196721311475,69.76584199158495,41.64986245314334,0.17463276558734844,0.001942070895053279,0.0009680812624633099,3.680670827333291e-05,5.490153506191946e-09,6.862880454731526e-07,-4.2579257850717725e-09
4,5,21271,43844,554,1303,28294,0.8445241679487484,164.56937247271026,0.4851519021987045,88,129,255.78865979654353,136.979288563374,878.6904755831213,0.7517848307061568,4089.2399050319923,1172.7078434580053,0.24737660422594132,0.01879999331511854,0.0031248188268383826,0.0003821444997809239,5.080736950020002e-08,-2.148827370126211e-05,-4.1449129244820386e-07
5,6,179,240,553,1398,185,0.564141722446104,15.09668435477122,0.7458333333333333,6,7,16.61760670170488,13.720791836676039,48.04163056034262,0.9675675675675676,17.259053280784183,11.76625803908724,0.16215257720598558,0.0009416310217286782,5.312434979077249e-06,2.3887842223475738e-08,7.69573630150935e-15,6.748074531931823e-10,3.631797378057777e-15
6,7,7777,11074,612,958,8111,0.6923285815849861,99.50871288186457,0.702275600505689,60,49,118.64942154725775,85.61533231406389,351.6051224213831,0.9588213537171743,879.8553270936794,458.1240704529745,0.17204312685439804,0.0029406773875090136,0.0002917110481841197,6.659960848452568e-06,-2.923880472845816e-10,-3.600768620887562e-07,2.610696716760375e-11
7,8,28337,39248,807,528,30400,0.6325099152255098,189.94680565663722,0.7219985731757033,108,87,217.56672799519498,168.51680138496684,744.8254685319159,0.9321381578947369,2958.4550706584478,1774.8695218137725,0.1670368984886269,0.0017445827241684214,1.912648213576216e-05,8.154955393673424e-07,1.7658675066189498e-12,5.7837346889050766e-09,-2.693437255618648e-12
8,9,21742,28836,825,1218,22712,0.49967540191277593,166.38141176715598,0.7539880704674712,80,87,179.7303173728679,155.68468878290784,579.5290039756343,0.9572912997534343,2018.9366864344884,1514.8576450894295,0.1625330848828957,0.0005375245428726703,2.2826605968432606e-05,2.0965326086218252e-07,-1.8419272257708517e-13,-4.6145408858394425e-09,-4.200295567293408e-13
12,13,521,700,1068,184,532,0.6573196056171837,25.75573339679963,0.7442857142857143,11,13,29.69542960502458,22.378829918960452,83.84062043356593,0.9793233082706767,55.11365871418564,31.300751783859965,0.165862592126767,0.0020890526356458746,2.854707741305957e-05,5.028370513689016e-07,-1.8783172426586025e-12,-2.2836671552737146e-08,3.184281165212002e-13
13,14,526,660,1230,1043,537,0.791108921270857,25.879026267050612,0.796969696969697,16,9,33.18919923996252,20.301013457630976,86.76955262170047,0.9795158286778398,68.84518413687053,25.758196712932122,0.17985433621635485,0.006709972983817268,0.00010989224468959855,4.245003310614182e-06,-8.951380547413318e-11,-3.431731061732938e-07,-1.983699140030163e-11
