,label,area,centroid-0,centroid-1,day,cebp_integrated,gr_integrated,vdr_integrated
0,1,61663,157,1733,-2.0,180057130,110984314,135321163
1,2,40022,162,1371,-2.0,128393951,76588645,88255259
2,3,64618,429,1194,-2.0,248798920,123383742,151212449
3,4,39031,428,82,-2.0,148618226,69004208,90074409
4,5,35555,542,931,-2.0,161047836,93022765,83419322
5,6,46561,656,649,-2.0,182072442,130873486,103045425
6,7,44841,719,1759,-2.0,141716182,70039896,98906880
7,8,30701,858,890,-2.0,131120370,80118308,75338588
8,9,39399,928,490,-2.0,144182214,66335571,91573271
9,10,43689,953,1693,-2.0,140296612,136904314,98705038
10,11,45799,1007,237,-2.0,167312650,119982207,98898933
11,12,44589,1018,1239,-2.0,150178261,190410292,101789808
12,13,33389,1084,972,-2.0,137713190,87586205,79448953
13,14,39372,1138,1976,-2.0,127825757,115134421,85485794
14,15,48902,1381,351,-2.0,166483628,186603918,108848090
15,16,63588,1526,982,-2.0,199015468,122865257,130130869
16,17,68968,1527,1927,-2.0,217965079,180522433,153774730
17,18,76060,1795,660,-2.0,287764024,188327001,178337584
18,19,44845,1942,1590,-2.0,151618360,86130662,97222627
0,1,30359,72,1479,-2.0,136036187,92116367,89611236
1,2,44172,257,389,-2.0,163284285,128244578,125677462
2,3,90803,335,1448,-2.0,396718654,259055608,289874120
3,4,43116,388,632,-2.0,186435881,127185616,136028522
4,5,33170,660,1108,-2.0,139044072,90596716,109813332
5,6,44780,908,694,-2.0,158708585,153385803,132339411
6,7,42505,909,1226,-2.0,163805993,84540398,131419045
7,8,35313,997,1527,-2.0,147154106,87063964,111466083
8,9,42966,1147,594,-2.0,158802787,130996034,129456621
9,10,38934,1416,1251,-2.0,165981735,106169866,120161065
10,11,37694,1434,112,-2.0,147614815,128756720,113872055
11,12,50048,1520,843,-2.0,215130690,102626535,140401966
12,13,38041,1573,1705,-2.0,142677122,126775006,116359968
13,14,75952,1707,248,-2.0,313112030,202648220,226402114
14,15,38064,1807,1364,-2.0,120722809,96291469,105064847
15,16,36978,1870,998,-2.0,142595591,49075115,108887674
16,17,38634,1926,665,-2.0,138721991,154814552,113746232
0,1,54641,296,116,-2.0,219637678,171309655,172508622
1,2,42522,354,1623,-2.0,171847313,170621956,126264956
2,3,31607,558,1411,-2.0,151522244,104856214,111914846
3,4,37237,638,463,-2.0,163603029,150181758,126501865
4,5,37245,656,1062,-2.0,195674390,126514148,133350145
5,6,38806,844,1900,-2.0,170100620,145858438,120413809
6,7,49542,979,1446,-2.0,217221332,214771826,161189123
7,8,37848,1161,646,-2.0,203985167,133164211,134107279
8,9,46964,1434,1631,-2.0,193602713,206783967,151740898
9,10,62819,1537,676,-2.0,293572597,214621741,213678528
10,11,37921,1784,1681,-2.0,146452524,98746801,121012515
11,12,46014,1779,396,-2.0,195684823,184310061,170877949
0,1,30195,147,244,-2.0,195843989,149459966,121961169
1,2,38425,189,1223,-2.0,205319620,233917504,145420225
2,3,34346,343,781,-2.0,199445698,144409600,133906420
3,4,32007,604,1390,-2.0,184509663,140754407,133365386
4,5,49166,650,1820,-2.0,260136431,197746746,183902275
5,6,70717,703,871,-2.0,506989832,330476064,286960955
6,7,88652,851,1167,-2.0,549259072,313240245,383889159
7,8,33245,818,1530,-2.0,185332718,123091366,139491306
8,9,40094,844,422,-2.0,181485193,142868114,135140779
9,10,40357,1091,878,-2.0,203066822,266904736,146782556
10,11,39981,1097,488,-2.0,238029015,158693555,149265427
11,12,27255,1328,68,-2.0,123473031,80703934,135666376
12,13,36343,1366,599,-2.0,193597072,179044209,139889897
13,14,78977,1525,1286,-2.0,412092812,503868328,292605048
14,15,49923,1701,334,-2.0,185158501,367438737,234887044
15,16,47563,1769,1674,-2.0,234120959,212115862,161693177
16,17,49043,1918,749,-2.0,201593654,195671530,166707729
0,1,44468,182,1008,-2.0,216658628,229602226,164271671
1,2,24761,201,1320,-2.0,83392460,42164248,102211475
2,3,38205,375,123,-2.0,236257451,173106610,148977554
3,4,146352,513,1866,-2.0,983212469,771977818,593242790
4,5,67085,490,430,-2.0,445917936,367938712,280813180
5,6,36450,516,848,-2.0,222375621,220805871,155044652
6,7,37933,543,1344,-2.0,260662812,132110698,162544954
7,8,64681,830,683,-2.0,399023513,249378970,280776988
8,9,34691,902,953,-2.0,245947018,132274394,149592137
9,10,47061,1138,1502,-2.0,267475710,197295703,192238441
10,11,51551,1206,812,-2.0,258168065,334268822,192838808
11,12,36096,1292,1785,-2.0,234413792,119877721,151854001
12,13,40426,1326,218,-2.0,257734138,150954254,162343083
13,14,38617,1391,1092,-2.0,218289071,122949161,153705853
14,15,60049,1518,435,-2.0,288482276,344193909,211998533
15,16,47335,1649,1511,-2.0,228557553,199349006,176004143
